Binomial	ID	year	popvalue
Desmognathus_fuscus	8615	1957	15
Pulchrana_signata	720	1962	183
Pulchrana_signata	719	1962	67
Pulchrana_signata	718	1962	50
Limnonectes_ibanorum	717	1962	129
Limnonectes_ibanorum	716	1962	92
Limnonectes_ibanorum	715	1962	132
Odorrana_hosii	714	1962	28
Odorrana_hosii	713	1962	35
Odorrana_hosii	712	1962	36
Chalcorana_chalconota	711	1962	97
Chalcorana_chalconota	710	1962	77
Chalcorana_chalconota	709	1962	77
Limnonectes_blythii	708	1962	205
Limnonectes_blythii	707	1962	208
Limnonectes_blythii	706	1962	185
Rentapia_hosii	705	1962	50
Rentapia_hosii	704	1962	37
Rentapia_hosii	703	1962	30
Ingerophrynus_divergens	702	1962	0
Ingerophrynus_divergens	701	1962	40
Phrynoidis_aspera	700	1962	52
Phrynoidis_aspera	699	1962	82
Phrynoidis_aspera	698	1962	83
Meristogenys_phaeomerus	697	1962	214
Meristogenys_phaeomerus	696	1962	62
Meristogenys_phaeomerus	695	1962	56
Desmognathus_fuscus	8615	1963	17
Salamandra_salamandra	4885	1965	40
Salamandra_salamandra	4884	1965	37
Salamandra_salamandra	4885	1966	45
Salamandra_salamandra	4884	1966	89
Atelopus_ignescens	5797	1967	0.38
Salamandra_salamandra	4885	1967	53
Salamandra_salamandra	4884	1967	81
Salamandra_salamandra	4885	1968	50
Salamandra_salamandra	4884	1968	93
Rana_aurora	4343	1968	67
Salamandra_salamandra	4885	1969	38
Salamandra_salamandra	4884	1969	56
Rana_aurora	4344	1969	1770
Rana_aurora	4343	1969	46
Plethodon_cinereus	6324	1970	34
Eurycea_bislineata	6072	1970	611
Desmognathus_fuscus	6071	1970	626
Salamandra_salamandra	4885	1970	37
Salamandra_salamandra	4884	1970	68
Rana_aurora	4344	1970	3600
Rana_temporaria	1163	1970	563
Rana_temporaria	1162	1970	582
Aneides_aeneus	919	1970	95
Pulchrana_signata	720	1970	35
Pulchrana_signata	719	1970	27
Pulchrana_signata	718	1970	10
Limnonectes_ibanorum	717	1970	44
Limnonectes_ibanorum	716	1970	23
Limnonectes_ibanorum	715	1970	56
Odorrana_hosii	714	1970	8
Odorrana_hosii	713	1970	4
Odorrana_hosii	712	1970	54
Chalcorana_chalconota	711	1970	64
Chalcorana_chalconota	710	1970	22
Chalcorana_chalconota	709	1970	40
Limnonectes_blythii	708	1970	33
Limnonectes_blythii	707	1970	55
Limnonectes_blythii	706	1970	35
Rentapia_hosii	705	1970	35
Rentapia_hosii	704	1970	4
Rentapia_hosii	703	1970	4
Ingerophrynus_divergens	702	1970	5
Ingerophrynus_divergens	701	1970	9
Phrynoidis_aspera	700	1970	17
Phrynoidis_aspera	699	1970	24
Phrynoidis_aspera	698	1970	14
Meristogenys_phaeomerus	697	1970	102
Meristogenys_phaeomerus	696	1970	14
Meristogenys_phaeomerus	695	1970	26
Chiropterotriton_dimidiatus	21236	1971	15.4545
