"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Acris_crepitans","Acris_crepitans",21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0713986700857431,0.0681939601048161,0.0610893222870578,0.0470677487283851,0.0250955151954496,-0.00120953112520333,-0.0239577548555344,-0.0347990420599768,-0.0302934642446129,-0.0145748892147133,0.00341817747220774,0.0160886670189543,0.0214532814011117,0.0222963835223173,0.0220739784013467,0.0220749987477714,0.0219603173323795,0.0217029579692998,0.0220221303224006,0.0231493986971613,0.0241879787308658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acris_gryllus","Acris_gryllus",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0847137346475859,-0.490694061908936,0.321233381752268,0.0641174996117488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenomera_andreae","Adenomera_andreae",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.572760874265025,NA,0.0155540629323528,0.0155540629323528,0.0155540629323528,0.0155540629323527,0.0155540629323528,0.0155540629323528,0.0155540629323528,0.0155540629323528,0.0155540629323528,0.0155540629323528,0.0155540629323528,0.0155540629323527,0.0155540629323528,0.0155540629323528,0.0155540629323528,0.0155540629323528,0.0155540629323528,0.0155540629323528,0.0155540629323527,0.0155540629323528,0.0155540629323528,0.0155540629323528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenomera_araucaria","Adenomera_araucaria",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,NA
"Adenomus_kandianus","Adenomus_kandianus",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839420907122566,-0.977723605288848,0.8372727025023,NA,NA,NA,NA
"Agalychnis_callidryas","Agalychnis_callidryas",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494511701140444,0.403372973144053,0.18039576838997,-0.121493787956557,-0.328284821718512,-0.29365907720587,-0.0611404190555794,0.173919613708552,0.455005828614897,-0.247743661624063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agalychnis_lemur","Agalychnis_lemur",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.400864274756529,-0.400864274756529,-0.400864274756528,-0.400864274756529,-0.400864274756528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allobates_marchesianus","Allobates_marchesianus",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.276677064363124,NA,-0.0216873297599847,0.0476535695299818,0.0476535695299817,0.0476535695299817,0.0476535695299818,-0.0216873297599846,-0.0216873297599848,-0.0216873297599846,-0.0216873297599848,-0.0216873297599846,-0.0216873297599847,-0.0216873297599848,-0.0216873297599846,-0.0216873297599847,-0.0216873297599847,-0.0216873297599847,-0.0216873297599847,-0.0216873297599847,-0.0216873297599847,-0.0216873297599847,-0.0216873297599847,-0.0216873297599847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allobates_talamancae","Allobates_talamancae",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.400864274756529,-0.400864274756529,-0.400864274756529,-0.400864274756529,-0.400864274756528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alytes_obstetricans","Alytes_obstetricans",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00617111596404429,0.00617111596411535,0.00617111596433118,0.00617111596477793,0.00617111596550424,0.00617111596647213,0.00617111596754283,0.00617111596851183,0.00617111596920883,0.00617111596957876,0.00617111596968334,0.00617111596965358,0.0061711159696114,NA,NA,NA,NA
"Ambystoma_californiense","Ambystoma_californiense",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0936541457495612,-0.683279498826176,0.596774394866279,-0.633291228692041,0.147215131319452,-0.00546289570150216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_cingulatum","Ambystoma_cingulatum",3,1,NA,-0.0799625600647713,-0.0799625600647713,-0.0799625600647712,-0.0799625600647713,-0.0799625600647713,-0.0799625600647713,-0.0799625600647712,-0.0799625600647713,-0.0799625600647714,-0.0799625600647712,-0.0799625600647713,-0.0799625600647711,-0.0799625600647714,-0.0799625600647712,-0.129691875063941,-0.129691875063941,-0.129691875063941,-0.129691875063941,-0.129691875063941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_gracile","Ambystoma_gracile",16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,0.25054017172283,0.25054017172283,0.25054017172283,0.25054017172283,0.25054017172283,0.25054017172283,0.25054017172283,0.25054017172283,NA,NA,NA,-0.149886129067317,0.284062811041488,0.183988392647297,-0.0590496560389973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_jeffersonianum","Ambystoma_jeffersonianum",3,1,NA,NA,NA,NA,NA,-0.0850672245706079,-0.199572354905204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_laterale","Ambystoma_laterale",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0147232568207065,-0.0894859949288493,-0.163396988427476,0.205458333428187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_macrodactylum","Ambystoma_macrodactylum",30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0195250691248274,-0.0195250691246018,-0.0195250691241993,0.490237465438096,0.0313543050412797,-0.202201302478097,0.343299596515716,0.0191350709792178,-0.104400207768607,0.104985473221187,-0.150270539503811,0.18506853419315,-0.0195250691239344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_maculatum","Ambystoma_maculatum",29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125408541194811,-0.0259848907181671,0.401039522076753,-0.117966204941807,-0.422535413392344,0.338960249573275,-0.361027925339267,0.045757490560675,-0.301029995663981,-0.0299632233774434,NA,NA,NA,-0.0964501987968625,0.103749437538362,0.0347621062592118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_mavortium","Ambystoma_mavortium",18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.131473336725181,-0.13147333672515,-0.131473336725093,-0.131473336725034,-0.131473336724982,0.312523705120052,-0.485231948639629,-0.485231948639642,-0.485231948639668,0.434263331637451,-0.137587608916939,0.189612727262399,-0.131473336725278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_opacum","Ambystoma_opacum",27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209924694816303,0.220206771471309,0.241438279805354,0.265974095118176,0.278866376898037,0.26809642292716,0.231537476228038,0.172898146028166,0.0961937531907244,0.0109917696083768,-0.0588959018107249,-0.0826154167106328,-0.0465490374262449,0.0290041957769218,0.101570991535705,0.136563751687225,0.127168485844666,0.0905007275407197,0.0511014824987766,0.0274340129421211,0.025409942452316,0.0373313253281524,0.0482717735186449,NA,NA,-0.312981616198705,-0.146128035678238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_talpoideum","Ambystoma_talpoideum",37,1,NA,NA,NA,NA,NA,NA,NA,0.438557859580302,0.066202686456594,-0.0349375992484801,-0.356925974319186,0.00233175762697924,0.000146352687741658,-0.00322437051823066,-0.00767472012621173,-0.012735050945119,-0.0176887590714951,-0.021886943425721,-0.0250786330217578,-0.027516713568196,-0.0297337650156244,-0.0321208138172069,-0.0346034476050709,-0.0366675670805163,-0.0377719224473245,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0162155442381913,0.00352609094152845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_tigrinum","Ambystoma_tigrinum",28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292528481187662,0.293332009299695,0.293368750432882,0.138585734170234,0.0113868479338175,0.139511168476177,0.0140645394090457,0.12026154907182,-0.0057210023338623,0.0435605035659217,-0.00516522008978626,-0.03439128967557,-0.0590475307349431,-0.274741292765713,-0.0952620406958779,0.301029995663981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameerega_planipaleae","Ameerega_planipaleae",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0339766935714981,0.0339766935714981,0.0339766935714981,0.0339766935714981,0.033976693571498,0.0339766935714981,0.0339766935714981,NA,NA,NA
"Anaxyrus_americanus","Anaxyrus_americanus",72,1,NA,NA,NA,NA,NA,-0.143422142302313,-0.603320643829706,NA,NA,NA,NA,NA,NA,NA,0.0012769476184423,0.00127694761863753,0.00127694761898542,0.00127694761942548,0.00127694761998481,0.00127694762077091,0.00127694762185232,0.239199101171415,0.088684103340107,0.000638473812868412,-0.126997778738338,-0.0586853912085504,0.0196332620588918,0.00333674657943893,-0.0477628738779976,0.0123470609617219,-0.051374695370398,0.00717543336182331,0.0125060377644966,0.00560112588284764,-0.00126823131939526,-0.0102967420084363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaxyrus_boreas","Anaxyrus_boreas",65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147268535464416,0.0807769794172506,-0.284963633759404,0.0209523507888241,NA,NA,NA,NA,NA,NA,NA,NA,-0.00590656695908387,-0.0059065669589371,-0.00590656695865799,-0.367772431253249,0.358452945992016,0.173354677108728,-0.119860167756575,-0.117902104618421,-0.164666881167958,0.145142759342619,0.0955627193105423,0.084359206327751,-0.00590656695732905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaxyrus_canorus","Anaxyrus_canorus",9,1,NA,NA,NA,NA,0.0234982813381115,0.0234982813381119,-0.248641926204293,0.1627272974977,-0.463757293161681,-0.0318345399346884,-0.0318345399346887,0.0636690798693771,-0.19553392880482,-0.19553392880482,-0.19553392880482,-0.19553392880482,-0.19553392880482,-0.19553392880482,-0.19553392880482,-0.19553392880482,-0.477121254719662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
