population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
692,1,-0.0251051304704339,-0.0251051304704344,-0.0251051304704339,-0.0251051304704344,-0.0251051304704339,-0.0251051304704339,-0.0251051304704344,-0.0251051304704339,-0.0251051304704344,-0.0251051304704339,-0.0251051304704339,-0.0251051304704344,-0.0251051304704339,-0.0251051304704344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19785,1,-1,0.00158791577963191,-0.00799828281797987,0.0235045790865653,0.0235045790865649,0.0235045790865653,0.0235045790865653,0.0235045790865653,0.0235045790865653,0.0235045790865653,0.0235045790865649,0.0235045790865653,0.0235045790865653,0.0235045790865653,0.0235045790865653,-0.0102392439852639,0.000861696531367251,0.000861696531366807,-0.080042087720761,0.241261790660491,0.0162829610755142,0.0162829610755142,0.0235679981973673,-0.0484887286584947,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133425,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,-0.0349234273133425,-0.0349234273133421,-0.0349234273133421,-0.0349234273133421,0.15000569074144,-0.052706350516003,-0.00469512120837967
694,1,-1,-1,-1,-1,-1,-0.00695242125184237,-0.00695242125184237,-0.00695242125184237,-0.00695242125184237,-0.00695242125184237,-0.0115983893955374,-0.0115983893955374,-0.0115983893955374,-0.0115983893955374,-0.0115983893955374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
690,1,-1,-1,-1,-1,-1,-0.0630540869557183,-0.0630540869557181,-0.0630540869557183,-0.0630540869557183,-0.0630540869557183,-0.0269397147794912,-0.0269397147794912,-0.0269397147794912,-0.0269397147794914,-0.0269397147794912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10038,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-0.0141796791806599,-0.0141796791806597,-0.0141796791806599,-1,-1,-1,-1,-1
18238,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.05432317301469,-0.0543088014318387,-0.0541637606929917,-0.0537143910250732,-0.0528181253866378,-0.0514437031136288,-0.0497014720446818,-0.0477982505017467,-0.0459357990012699,-0.0442208761505813,-0.0426710073117842,-0.041286192484876,-0.0400664316698591,-0.0390117248667318,-0.0381220720754955,-0.0373974732961491,-0.0368379285286935,-0.0364434377731281,-0.0361513189992008,-0.0357161417288037,-0.0351405886680763,-0.0346364746434481,-0.0343584290418465,-0.0342752498170761,-1,-1,-1
691,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.243680971796905,-0.0174030854781242,-0.0174030854781242,-0.0174030854781242,-0.00822705720545769,-0.00822705720545747,0.296274110107321,-0.0242362597587633,-0.0242362597587635,-0.0242362597587633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6414,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0105412701032006,0.0105412701032006,0.0105412701032006,0.0105412701032006,0.0105412701032007,0.552841968657781,-0.206596252762798,-0.206596252762798,-0.206596252762798,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6413,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.000609538616401062,-0.000609538616401062,-0.000609538616401062,-0.000609538616401062,-0.000609538616401117,0.294869686959163,0.0123806026681889,0.0123806026681889,0.012380602668189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6412,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00109949438224358,0.00109949438224358,0.00109949438224347,0.00109949438224363,0.00109949438224349,0.0213193468271317,0.0444364620151798,0.0444364620151798,0.0444364620151799,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
