Binomial	ID	year	popvalue
Pulchrana_signata	720	1962	183
Pulchrana_signata	719	1962	67
Pulchrana_signata	718	1962	50
Limnonectes_ibanorum	717	1962	129
Limnonectes_ibanorum	716	1962	92
Limnonectes_ibanorum	715	1962	132
Odorrana_hosii	714	1962	28
Odorrana_hosii	713	1962	35
Odorrana_hosii	712	1962	36
Chalcorana_chalconota	711	1962	97
Chalcorana_chalconota	710	1962	77
Chalcorana_chalconota	709	1962	77
Limnonectes_blythii	708	1962	205
Limnonectes_blythii	707	1962	208
Limnonectes_blythii	706	1962	185
Rentapia_hosii	705	1962	50
Rentapia_hosii	704	1962	37
Rentapia_hosii	703	1962	30
Ingerophrynus_divergens	702	1962	0
Ingerophrynus_divergens	701	1962	40
Phrynoidis_aspera	700	1962	52
Phrynoidis_aspera	699	1962	82
Phrynoidis_aspera	698	1962	83
Meristogenys_phaeomerus	697	1962	214
Meristogenys_phaeomerus	696	1962	62
Meristogenys_phaeomerus	695	1962	56
Pulchrana_signata	720	1970	35
Pulchrana_signata	719	1970	27
Pulchrana_signata	718	1970	10
Limnonectes_ibanorum	717	1970	44
Limnonectes_ibanorum	716	1970	23
Limnonectes_ibanorum	715	1970	56
Odorrana_hosii	714	1970	8
Odorrana_hosii	713	1970	4
Odorrana_hosii	712	1970	54
Chalcorana_chalconota	711	1970	64
Chalcorana_chalconota	710	1970	22
Chalcorana_chalconota	709	1970	40
Limnonectes_blythii	708	1970	33
Limnonectes_blythii	707	1970	55
Limnonectes_blythii	706	1970	35
Rentapia_hosii	705	1970	35
Rentapia_hosii	704	1970	4
Rentapia_hosii	703	1970	4
Ingerophrynus_divergens	702	1970	5
Ingerophrynus_divergens	701	1970	9
Phrynoidis_aspera	700	1970	17
Phrynoidis_aspera	699	1970	24
Phrynoidis_aspera	698	1970	14
Meristogenys_phaeomerus	697	1970	102
Meristogenys_phaeomerus	696	1970	14
Meristogenys_phaeomerus	695	1970	26
Philoria_frosti	644	1983	867
Philoria_frosti	643	1983	79
Leiopelma_archeyi	641	1983	38
Pulchrana_signata	720	1984	54
Pulchrana_signata	719	1984	56
Pulchrana_signata	718	1984	9
Limnonectes_ibanorum	717	1984	26
Limnonectes_ibanorum	716	1984	26
Limnonectes_ibanorum	715	1984	59
Odorrana_hosii	714	1984	0
Odorrana_hosii	713	1984	17
Odorrana_hosii	712	1984	10
Chalcorana_chalconota	711	1984	39
Chalcorana_chalconota	710	1984	57
Chalcorana_chalconota	709	1984	54
Limnonectes_blythii	708	1984	54
Limnonectes_blythii	707	1984	44
Limnonectes_blythii	706	1984	37
Rentapia_hosii	705	1984	21
Rentapia_hosii	704	1984	7
Rentapia_hosii	703	1984	16
Ingerophrynus_divergens	702	1984	6
Ingerophrynus_divergens	701	1984	3
Phrynoidis_aspera	700	1984	2
Phrynoidis_aspera	699	1984	15
Phrynoidis_aspera	698	1984	10
Meristogenys_phaeomerus	697	1984	14
Meristogenys_phaeomerus	696	1984	7
Meristogenys_phaeomerus	695	1984	8
Philoria_frosti	644	1984	847
Philoria_frosti	643	1984	55
Leiopelma_archeyi	641	1984	80
Leiopelma_archeyi	641	1985	115
Pseudophryne_pengilleyi	648	1986	500
Pseudophryne_corroboree	646	1986	532
Pseudophryne_corroboree	645	1986	136
Leiopelma_archeyi	641	1986	180
Pseudophryne_pengilleyi	651	1987	1670
Pseudophryne_pengilleyi	650	1987	1479
Pseudophryne_pengilleyi	648	1987	300
Pseudophryne_corroboree	647	1987	1622
Pseudophryne_corroboree	646	1987	55
Pseudophryne_corroboree	645	1987	28
Leiopelma_archeyi	641	1987	178
Leiopelma_pakeka	11325	1988	87
Pseudophryne_pengilleyi	648	1988	140
Pseudophryne_corroboree	646	1988	12
Pseudophryne_corroboree	645	1988	52
Leiopelma_pakeka	642	1988	211
Leiopelma_archeyi	641	1988	189
Leiopelma_pakeka	11325	1989	91
Pseudophryne_pengilleyi	649	1989	75
Pseudophryne_pengilleyi	648	1989	65
Pseudophryne_corroboree	645	1989	11
Leiopelma_pakeka	642	1989	215
Leiopelma_archeyi	641	1989	143
Pseudophryne_corroboree	645	1990	22
Leiopelma_archeyi	641	1990	135
Pseudophryne_pengilleyi	648	1991	25
Pseudophryne_corroboree	645	1991	8
Leiopelma_archeyi	641	1991	178
Pseudophryne_pengilleyi	649	1992	300
Pseudophryne_pengilleyi	648	1992	10
Pseudophryne_corroboree	646	1992	41
Pseudophryne_corroboree	645	1992	13
Leiopelma_archeyi	641	1992	16
Leiopelma_pakeka	11325	1993	97
Ranoidea_genimaculata	6356	1993	22.08333
Ranoidea_rheocola	6254	1993	33.75
Taudactylus_acutirostris	6253	1993	34.91667
Ranoidea_nannotis	6252	1993	2
Pseudophryne_pengilleyi	649	1993	300
Pseudophryne_pengilleyi	648	1993	54
Pseudophryne_corroboree	646	1993	35
Pseudophryne_corroboree	645	1993	20
Philoria_frosti	644	1993	18
Philoria_frosti	643	1993	2
Leiopelma_pakeka	642	1993	266
Leiopelma_archeyi	641	1993	40
Leiopelma_pakeka	11325	1994	100
Ranoidea_genimaculata	6356	1994	11.08333
Ranoidea_rheocola	6254	1994	1.83333
Taudactylus_acutirostris	6253	1994	0.66667
Ranoidea_nannotis	6252	1994	0
Pseudophryne_pengilleyi	648	1994	28
Pseudophryne_corroboree	646	1994	8
Pseudophryne_corroboree	645	1994	9
Philoria_frosti	644	1994	10
Philoria_frosti	643	1994	3
Leiopelma_pakeka	642	1994	275
Pseudophryne_pengilleyi	648	1995	32
Pseudophryne_corroboree	646	1995	47
Pseudophryne_corroboree	645	1995	0
Philoria_frosti	644	1995	11
Philoria_frosti	643	1995	5
