Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alligator_sinensis,1,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0283974170678639,0.0286361074977621,0.0286361074977621,-0.3234238838302,0.0660834241179521,-0.0560180508323309,-0.0194860419127715,-0.194228542996776,-0.0194860419127714,-0.0530098678930206,-0.0517891376098171,0.0234683613061783,0.0234683613061783,-0.090182540593878,-0.120513695261909,0.211462305497225,-0.0322915439221721,-0.0447877763324381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrapene_carolina,1,-0.0293541974271432,-0.0293541974271432,-0.0293541974271432,-0.0293541974271427,-0.0293541974271432,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,-0.0304757868183223,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.0464821710306499,0.0402671186075569,0.0296400383512762,0.0189720167735725,0.0162979448152418,0.0135529833783909,0.0203349178309016,0.0290340770949316,0.0320258641847881,0.0259954761192791,0.0125052051014976,-0.00343520787406737,-0.0162672575400977,-0.0248219573174522,-0.029099307206129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dermochelys_coriacea,1,0.0748106359969533,0.0735494466441364,0.0818017447084188,0.0685351826929835,0.0643302384573667,0.0598286497548101,0.054888194624998,0.0493149523066391,0.0426930539868786,0.0387562412695302,0.0362686195663946,0.0338931128837795,0.0310848023799747,0.0272884152930512,0.00547265356857749,-0.0062966298572518,-0.0223790465943994,-0.0236984450707903,-0.0230898474936878,-0.0290917553204212,-0.0506570791221035,-0.0305554321048192,-0.00856124797191166,-0.0212404009442512,-0.0125249809486318,0.019586825756122,0.0540341602814593,0.0449880053088422,0.0460665285906055,0.0297908061030786,0.0129766820954913,0.0398166404094619,-0.0139426559070992,-0.0278375806582299,0.0697818908225915,0.078055718200046,0.00924291793119947,-0.0217233023900942,0.0845373011893067,-0.136834932606017,-0.00844983474521088,-0.00401889992172233,NA,NA,NA,NA,NA,NA
Desmognathus_fuscus,1,-0.055144111302054,-0.0238312545054948,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054948,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054945,-0.0238312545054948,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,NA,0.173000182078539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uta_stansburiana,1,-0.142539352240386,-0.00749080584436079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.469729764032726,-0.214652321792702,-1,1,0.212150309723486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173888347548155,NA,NA,NA,NA,NA,NA,NA,NA
Pulchrana_signata,1,0.0109379163752198,0.0109379163752197,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752198,0.0109379163752197,0.0109379163752198,0.0109379163752198,0.0109379163752199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes_ibanorum,1,-0.00363261504586195,-0.00363261504586188,-0.00363261504586195,-0.00363261504586188,-0.00363261504586195,-0.00363261504586188,-0.00363261504586195,-0.00363261504586195,-0.00363261504586195,-0.00363261504586188,-0.00363261504586195,-0.00363261504586188,-0.00363261504586195,-0.00363261504586188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana_hosii,1,-0.0419401340081114,-0.0419401340081112,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,-0.0419401340081114,-0.0419401340081112,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,-0.0419401340081113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chalcorana_chalconota,1,0.00782548991399779,0.00782548991399771,0.00782548991399764,0.00782548991399779,0.00782548991399771,0.00782548991399771,0.00782548991399764,0.00782548991399771,0.00782548991399771,0.00782548991399764,0.00782548991399771,0.00782548991399771,0.00782548991399764,0.00782548991399779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Limnonectes_blythii,1,0.0033596068250891,0.00335960682508918,0.00335960682508903,0.00335960682508918,0.00335960682508925,0.0033596068250891,0.0033596068250891,0.00335960682508918,0.0033596068250891,0.00335960682508918,0.0033596068250891,0.00335960682508918,0.00335960682508918,0.0033596068250891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
