population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1366,1,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,0.102059991327963,0.102059991327962,-0.602059991327962,0.243038048686294,-0.146128035678238,0,-0.698970004336019,0,0,0,0.301029995663981,0.301029995663981,-0.301029995663981,-0.301029995663981,0.698970004336019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1364,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0447877763324382,-0.0447877763324382,-0.044787776332438,-0.0447877763324382,-0.0447877763324382,-0.044787776332438,-0.0447877763324382,-0.0447877763324382,-0.044787776332438,-0.0447877763324382,-0.0447877763324382,-0.0447877763324381,-0.0447877763324381,-0.0447877763324382,-0.0447877763324382,-0.0447877763324381,-0.0447877763324381,-0.0447877763324381,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1367,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.00488292113281386,0.00488292113281386,0.00488292113281386,0.00488292113281386,-0.116441697539312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1365,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0331563913186477,-0.0331563913186477,-0.0331563913186477,-0.0331563913186477,-0.167251695239644,-0.167251695239644,-0.167251695239644,-0.167251695239644,-0.0197953115119063,-0.0197953115119061,-0.0197953115119063,-0.0197953115119061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1077,1,-0.0293541974271432,-0.0293541974271432,-0.0293541974271432,-0.0293541974271427,-0.0293541974271432,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,-0.0304757868183223,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11975,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0847973374161679,0.0723672325699818,0.0511130720574204,0.0297770289020129,0.0162979448152418,0.0135529833783909,0.0203349178309016,0.0290340770949316,0.0320258641847881,0.0259954761192791,0.0125052051014976,-0.00343520787406737,-0.0162672575400977,-0.0248219573174522,-0.029099307206129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8957,1,-0.0426124707682067,-0.0447912425946848,-0.0469361744490415,-0.0489902646813132,-0.0509782041825404,-0.0529370008075816,-0.0548132803337893,-0.05644120448475,-0.0576606199676264,-0.0584669617692648,-0.0590185216911281,-0.0594850735863015,-0.0599161239799995,-0.0602722560080684,-0.0605428029464621,-0.0607750475659232,-0.0609938832919017,-0.0611577050978966,-0.0612275469154806,-0.0612379715940587,-0.0612496857167235,-0.0612534270607408,-0.0611841998357234,-0.0610401874874809,-0.0609227223627418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15313,1,0.069041526285671,0.0690415262855375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8551,1,-0.088525960678842,-0.0894689396281314,-0.090784027146436,-0.0924285003045764,-0.0943535918984093,-0.0964069560405463,-0.0985076701736465,-0.100484389955728,-0.102284090654581,-0.103866017683343,-0.105259726770696,-0.106624195418223,-0.107999168001318,-0.109443141679834,-0.111190105093164,-0.11329855540116,-0.115768492603821,-0.118540070238342,-0.121292646975135,-0.123641354437926,-0.125504937148349,-0.126883395106405,-0.127776728312093,-0.128197756148586,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2028,1,0.105436865402037,0.105436865402036,0.105436865402037,0.105436865402037,0.105436865402036,0.105436865402037,0.105436865402037,0.105436865402036,0.105436865402037,0.105436865402037,0.105436865402036,0.105436865402036,0.105436865402037,0.105436865402037,0.105436865402036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
