Binomial	ID	year	popvalue
Alligator_sinensis	1366	1955	17
Terrapene_carolina	1077	1955	291
Dermochelys_coriacea	8957	1956	12000
Dermochelys_coriacea	8957	1957	9600
Dermochelys_coriacea	8957	1958	8900
Dermochelys_coriacea	8957	1959	8200
Dermochelys_coriacea	8957	1960	7700
Uta_stansburiana	8954	1960	46
Dermochelys_coriacea	8957	1961	7000
Uta_stansburiana	8955	1961	72
Uta_stansburiana	8954	1961	64
Dermochelys_coriacea	8957	1962	6300
Uta_stansburiana	8955	1962	64
Uta_stansburiana	8954	1962	54
Dermochelys_coriacea	8957	1963	5500
Uta_stansburiana	8955	1963	57
Uta_stansburiana	8954	1963	39
Podocnemis_expansa	1089	1963	34300
Pseudemydura_umbrina	672	1963	53
Pseudemydura_umbrina	671	1963	22
Dermochelys_coriacea	8957	1964	4800
Uta_stansburiana	8955	1964	110
Uta_stansburiana	8954	1964	81
Pseudemydura_umbrina	672	1964	75
Pseudemydura_umbrina	671	1964	23
Caretta_caretta	15321	1965	386.79
Dermochelys_coriacea	15313	1965	35.22
Dermochelys_coriacea	8957	1965	4200
Alligator_sinensis	1366	1965	16
Podocnemis_expansa	1089	1965	13800
Terrapene_carolina	1077	1965	230
Pseudemydura_umbrina	673	1965	200
Pseudemydura_umbrina	672	1965	97
Pseudemydura_umbrina	671	1965	18
Caretta_caretta	15321	1966	364.12
Dermochelys_coriacea	15313	1966	10.44
Dermochelys_coriacea	8957	1966	3300
Uta_stansburiana	8953	1966	57
Uta_stansburiana	8952	1966	52
Uta_stansburiana	8951	1966	67
Uta_stansburiana	8950	1966	74
Lepidochelys_kempii	2037	1966	6000
Pseudemydura_umbrina	672	1966	102
Pseudemydura_umbrina	671	1966	17
Caretta_caretta	15321	1967	680.39
Dermochelys_coriacea	15313	1967	25.66
Lepidochelys_olivacea	15285	1967	2675
Clemmys_guttata	10413	1967	127
Dermochelys_coriacea	8957	1967	2700
Uta_stansburiana	8953	1967	50
Uta_stansburiana	8952	1967	70
Uta_stansburiana	8951	1967	88
Uta_stansburiana	8950	1967	94
Lepidochelys_kempii	2037	1967	5500
Eretmochelys_imbricata	2036	1967	10
Crocodylus_niloticus	692	1967	700
Pseudemydura_umbrina	672	1967	76
Pseudemydura_umbrina	671	1967	16
Caretta_caretta	15321	1968	390.41
Dermochelys_coriacea	15313	1968	23.41
Lepidochelys_olivacea	15285	1968	3290
Dermochelys_coriacea	8957	1968	6800
Uta_stansburiana	8953	1968	23
Uta_stansburiana	8952	1968	38
Uta_stansburiana	8951	1968	42
Uta_stansburiana	8950	1968	62
Dermochelys_coriacea	8551	1968	3103
Lepidochelys_olivacea	2039	1968	3065
Lepidochelys_kempii	2037	1968	5100
Eretmochelys_imbricata	2036	1968	4
Dermochelys_coriacea	2028	1968	200
Chelonia_mydas	2022	1968	5000
Pseudemydura_umbrina	672	1968	61
