ID,min_year,max_year
175,1975,1996
176,1975,1996
177,1982,1989
178,1975,1996
179,1975,1996
180,1975,1996
263,1975,1995
264,1968,1991
640,1980,1982
655,1981,1995
656,1981,1995
657,1981,1995
658,1981,1995
659,1981,1995
660,1981,1995
661,1981,1995
662,1981,1995
663,1981,1995
664,1981,1995
665,1981,1995
666,1981,1995
667,1981,1995
668,1981,1995
669,1981,1995
670,1971,1994
671,1963,2001
672,1963,2001
673,1965,2001
690,1975,1985
691,1989,1999
692,1967,1984
693,1990,1995
694,1975,1985
811,1988,1994
812,1985,1995
813,1990,1994
814,1981,1998
815,1980,1990
816,1980,1990
817,1980,1990
818,1980,1990
1077,1955,1995
1085,1980,1997
1086,1985,1990
1087,1985,1995
1088,1971,1985
1089,1963,1981
1364,1981,1999
1365,1986,1998
1366,1955,1997
1367,1985,1996
2017,1988,1996
2018,1982,1993
2019,1971,1981
2020,1999,2003
2021,1998,2003
2022,1968,1989
2023,1988,1997
2024,1988,1998
2025,1982,1993
2026,1980,2000
2027,1971,2005
2028,1968,1985
2029,1989,2002
2030,1970,1989
2031,1981,1995
2032,1987,1998
2033,1987,1998
2034,1991,1997
2035,1974,1998
2036,1967,1992
2037,1966,2003
2038,1988,1999
2039,1968,1995
2235,1981,1986
2236,1985,1992
2237,1977,1999
2238,1973,2002
2239,1981,1999
2240,1985,1992
2241,1984,1995
2242,1973,2001
2253,1981,1985
2254,1981,1985
2255,1980,1997
2256,1984,2000
2257,1970,1999
2258,1970,2001
2259,1977,1981
2260,1984,2001
2261,1984,2000
2262,1979,1999
2263,1980,1997
2264,1984,1999
2368,1999,2003
2369,1999,2003
2370,1985,2003
2371,1986,2003
2372,1971,1989
2373,1983,1986
2374,1983,1986
2375,1983,1986
2376,1983,1986
2377,1983,1986
2378,1983,1986
2379,1983,1986
2380,1983,1986
2381,1983,1986
2382,1983,1986
2383,1983,1986
2384,1983,1986
2385,1983,1986
2386,1983,1984
2387,1983,1986
2388,1983,1985
2389,1983,1986
2390,1983,1986
2391,1983,1986
3500,1976,1983
3501,1976,1983
3502,1974,1983
3503,1974,1983
3506,1975,1983
3507,1975,1983
3508,1975,1983
3509,1975,1983
3510,1975,1983
