"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Acanthodactylus_scutellatus","Acanthodactylus_scutellatus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120176837183676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthophis_praelongus","Acanthophis_praelongus",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113013984856961,0.113013984857122,0.113013984857336,0.113013984857451,0.11301398485744,0.113013984857345,0.113013984857243,0.113013984857179,0.113013984857146,0.113013984857127,0.113013984857116,NA,NA,NA,NA,NA,NA,NA,NA
"Acrochordus_arafurae","Acrochordus_arafurae",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.220833647131842,0.220918329686834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aipysurus_apraefrontalis","Aipysurus_apraefrontalis",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.343252037656094,-0.343252037656094,0.343252037656094,0.343252037656094,-0.305410254168686,-0.305410254168686,-0.305410254168686,-0.305410254168686,-0.305410254168686,-0.305410254168686,-0.305410254168686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aipysurus_foliosquama","Aipysurus_foliosquama",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.49856577806656,-0.49856577806656,0.426021906413877,0.426021906413877,-0.296725842133158,-0.296725842133158,-0.296725842133158,-0.296725842133158,-0.296725842133158,-0.296725842133158,-0.296725842133158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aipysurus_fuscus","Aipysurus_fuscus",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.149081677506189,0.149081677506189,-0.311282421041881,-0.311282421041881,-0.311282421041881,-0.311282421041881,-0.311282421041881,-0.311282421041881,-0.311282421041881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aipysurus_laevis","Aipysurus_laevis",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.286331624826092,-0.286331624826092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alligator_mississippiensis","Alligator_mississippiensis",80,1,0.0414922577779369,0.042450714355069,-0.00661887185775603,0.0772640418943466,0.0282427033264908,0.0605821756775786,0.0399693762919142,0.0367250436765802,0.0326257458415515,0.0282835320351265,0.0246925078633196,0.0224642825634807,0.0213370532053826,0.0241238708952425,0.0318591473424682,0.0298406688729741,0.0262918951204087,0.0213276631126306,0.015752181917045,0.0108018819802516,0.00166599819768676,-0.000571078553882387,-0.0010908060441559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0138986095165589,-0.0246224749083321,-0.139661993429006,0.17107045768063,-0.253257213867981,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alligator_sinensis","Alligator_sinensis",25,1,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0120070578032896,-0.0120070578032898,-0.0283974170678639,0.0286361074977621,0.0286361074977621,-0.3234238838302,0.0660834241179521,-0.0560180508323309,-0.0194860419127715,-0.194228542996776,-0.0194860419127714,-0.0530098678930206,-0.0517891376098171,0.0234683613061783,0.0234683613061783,-0.090182540593878,-0.120513695261909,0.211462305497225,-0.0322915439221721,-0.0447877763324381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alsophis_antiguae","Alsophis_antiguae",21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0204249547972204,0.0204249547959461,0.0204249547936033,0.0204249547911619,0.0876570397799724,0.076988978354002,0.0560934695906585,0.172743663748601,0.0998246809399845,0.12801626955723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
