Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Pterocles_namaqua,1,-0.0124043394892731,-0.00950661417171705,-0.00679990327577273,-0.00429259928501213,-0.00197730885816272,0.000101168183857081,0.00190111421304273,0.003452833817989,0.00483638395532127,0.00613232385348528,0.0074136091553203,0.00871796836267302,0.00996820201080117,0.0109591038807596,0.0114950696507601,0.0115443264939411,0.0112272633512803,0.0106792357186685,0.00998509839027029,0.00924572889393693,0.00863296376707323,0.00830849612698337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Struthio_camelus,1,0.0157227864111993,0.0157227864111992,0.0157227864111994,0.0157227864111992,0.0157227864111993,0.0157227864111993,0.0157227864111993,0.0237195604905011,0.0237185417358354,0.023716504226501,0.0237134479625025,0.0237093729438364,0.00689004185845954,0.00832308082691816,0.00831696829891935,-0.0641317744310502,-0.00745236987829198,-0.0148176473163947,-0.0148251181839488,-0.00108917337685972,-0.0756196512964832,-0.078950762521909,-0.0779562420437264,-0.0769295634426253,-0.0851759655654914,-0.089656638365478,-0.0642575069453983,0.0740188150525184,-0.172058291458389,-0.0287413449876944,0.0820911613604978,0.0732715147026228,-0.0483525922752777,-0.0637318653644998,-0.0683163180248367,-0.0656298880188,-0.0621505987300881,-0.0896151040975267,-0.0896151040975266,-0.0896151040975266,-0.0487093452260794,-0.0487093452260794,-0.0487093452260794,NA,NA,NA,NA
Leptoptilos_crumenifer,1,0.0236304666027327,0.0236304666027327,0.0236304666027323,0.0236304666027327,0.0236304666027327,0.00415608642612098,0.00415608642612142,0.00415608642612098,0.00415608642612098,0.00415608642612142,0.00415608642612098,0.00415608642612142,0.00415608642612098,0.00415608642612098,0.00415608642612142,0.00415608642612098,0.00415608642612142,0.00415608642612098,0.00415608642612142,0.00415608642612098,0.00415608642612098,0.00415608642612142,0.00415608642612098,0.00415608642612142,0.00415608642612098,0.0198323724883496,0.01983237248835,0.0198323724883496,0.01983237248835,0.0198323724883496,0.01983237248835,-0.00490240069854675,-0.00490240069854675,-0.00490240069854675,-0.00490240069854675,0.0712283999877927,0.0712283999877923,0.0712283999877927,-0.107640056775672,-0.107640056775672,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_sechellensis,1,0.136500636031869,0.136500636031869,0.436692597664054,0.0557460064405269,0.0557460064405269,0.00536227329781802,0.00536227329781847,0.00536227329781847,0.00260844583731856,0.00260844583731901,0.00260844583731901,0.051152522447381,-0.0211892990699378,0.0280287236002432,0.00673338265896861,-0.0205216671446018,0.0205216671446018,0,-0.0347621062592118,0.01424043911461,0.0137882844856332,-0.00695004632437302,-0.00695004632437346,-0.00695004632437346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gyps_africanus,1,NA,-0.00481066335348057,-0.00481066335348057,0.0440680076796202,0.0433422117758285,0.041421861296581,0.0380602602543293,0.0335478141004045,0.0285219164133045,0.0234629061110527,0.0183609952512477,0.0129280767639588,0.00717863333826096,0.00178542503149748,-0.00221016065928759,-0.00413547663205693,-0.00423138203534201,-0.00332029204822148,-0.00176682098037129,-0.000318221181407341,0.000586675735505859,0.000933484618098501,-0.00481066335348057,-0.0028698546737646,-0.0028698546737646,-0.00286985467376466,-0.00286985467376466,-0.0028698546737646,-0.0028698546737646,-0.000464522997024375,-0.000464522997024319,-0.000464522997024375,-0.000464522997024319,-0.000464522997024319,-0.000464522997024375,-0.000464522997024319,-0.000464522997024319,-0.000464522997024375,-0.000464522997024319,-0.000929045994048638,-0.000929045994048749,-0.000929045994048638,-0.000929045994048749,-0.000929045994048638,-0.000929045994048749,-0.000929045994048638,NA
Necrosyrtes_monachus,1,NA,-0.0798252648178526,-0.0798252648178526,-0.0798252648178526,-0.0358048434326066,-0.0358048434326069,-0.0358048434326066,-0.0358048434326068,-0.0358048434326068,-0.0358048434326066,-0.0358048434326068,-0.0358048434326068,-0.0358048434326066,-0.0358048434326069,-0.0358048434326068,-0.0358048434326066,-0.0358048434326068,-0.0358048434326068,-0.0358048434326068,-0.0358048434326068,-0.0358048434326066,-0.0358048434326069,-0.0337875481203367,-0.0282922785827177,-0.0282922785827175,-0.0282922785827179,-0.0282922785827176,-0.0282922785827178,-0.0282922785827176,0.0476337205060844,0.0476337205060846,0.0476337205060845,0.0476337205060845,0.0476337205060846,0.0476337205060844,0.0275037165208273,0.0275037165208274,0.0275037165208273,0.0275037165208273,-0.0173017395074797,-0.0173017395074799,-0.0173017395074799,-0.0173017395074799,-0.0173017395074797,-0.0173017395074799,-0.0173017395074799,NA
Torgos_tracheliotos,1,NA,0.00911687518226095,0.0091168751822609,-0.00333507575581669,-0.00333507575583086,-0.00333507575586557,-0.00333507575591618,-0.0033350757559652,-0.0033350757560013,-0.00333507575603813,-0.00333507575611371,-0.00333507575626427,-0.00333507575649799,-0.00333507575678887,-0.00333507575709263,-0.00333507575736523,-0.00333507575757274,-0.00333507575769538,-0.00333507575773426,-0.00333507575771728,-0.00333507575768707,-0.00333507575765936,0.00911687518226094,-0.00155970240018693,-0.00155970240018695,-0.00155970240018688,-0.00155970240018696,-0.00155970240018693,-0.00155970240018696,-0.0188817652464827,-0.0188817652464827,-0.0188817652464827,-0.0188817652464827,-0.0188817652464827,-0.0188817652464827,-0.0188817652464827,-0.0188817652464827,-0.0188817652464827,-0.0188817652464827,-0.0122362799826348,-0.0122362799826348,-0.0122362799826348,-0.0122362799826348,-0.0122362799826348,-0.0122362799826348,-0.0122362799826348,NA
Trigonoceps_occipitalis,1,NA,-0.0170400448114165,-0.0170400448114165,-0.0170400448114166,-0.0170400448114166,-0.0170400448114164,-0.0170400448114165,-0.0170400448114165,-0.0170400448114165,-0.0170400448114165,-0.0170400448114165,-0.0170400448114166,-0.0170400448114165,-0.0170400448114165,-0.0170400448114164,-0.0170400448114166,-0.0170400448114166,-0.0170400448114165,-0.0170400448114165,-0.0170400448114165,-0.0170400448114165,-0.0170400448114165,-0.0170400448114164,-0.0188922235952663,-0.018892223595266,-0.0188922235952662,-0.0188922235952661,-0.0188922235952662,-0.0188922235952661,0.0134838615464252,0.0134838615464253,0.0134838615464252,0.0134838615464253,0.0134838615464253,0.0134838615464253,0.0134838615464253,0.0134838615464252,0.0134838615464253,0.0134838615464252,-0.0207444023791157,-0.0207444023791159,-0.0207444023791157,-0.0207444023791157,-0.0207444023791157,-0.0207444023791159,-0.0207444023791157,NA
Balearica_regulorum,1,NA,-0.0111728931925748,-0.0111728931925748,-0.011172893192575,-0.011172893192575,-0.0111728931925748,-0.0111728931925748,-0.011172893192575,-0.0111728931925748,-0.011172893192575,-0.0111728931925748,-0.011172893192575,-0.0111728931925748,-0.011172893192575,-0.0312351479798585,-0.0312351479798585,-0.0312351479798584,-0.0312351479798584,-0.0348553758287919,-0.0348553758287919,-0.0348553758287919,-0.0348553758287918,-0.034855375828792,-0.0348553758287919,-0.0348553758287919,-0.0643542418621458,-0.0643542418621459,-0.0643542418621458,-0.0643542418621458,-0.0571672065356348,0.296103722816666,0.0551285345744612,0.105232621874985,-0.238656952559845,-0.0614219288490257,0.109557210295428,-0.167086140074839,0.124432017178616,0.187739067817795,-0.0376131912623305,0.131951143480356,NA,NA,NA,NA,NA,NA
Falco_punctatus,1,NA,NA,NA,0.0614109003577172,0.0615137829925419,0.0616803147376963,0.0620154997140732,0.0628753603576651,0.0645945627307883,0.0670924170986908,0.0698471437815028,0.0722955047616178,0.0742146051790639,0.0757236784381422,0.077037542334107,0.0783240580153554,0.0797437836407668,0.184325469115525,0.173126943717018,0.121545910974342,0.0864851825633996,0.0838341629725389,0.0972355492435111,0.0998620545793436,0.0821644174086443,0.0570859153711193,0.042607500120098,0.00485161371279075,0.0192974664895833,0.0258676520124563,0.0252960868186856,0.0247138554664423,0.0252394320591813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
