ID,min_year,max_year
1,1985,2002
2,1958,1987
3,1977,1990
4,1976,1990
5,1973,1997
6,1978,1998
7,1975,2000
8,1975,2000
9,1975,2000
10,1975,2000
11,1975,2000
12,1975,2000
13,1975,2000
14,1975,2000
15,1975,2000
16,1975,2000
17,1975,2000
18,1975,2000
19,1975,2000
20,1975,2000
21,1971,2009
22,1971,2008
23,1975,2001
24,1971,2009
25,1973,1998
26,1971,2009
27,1971,2009
3498,1965,2004
4655,1989,1999
4665,1988,1997
4704,1974,2005
4705,1974,2005
4706,1974,2009
4707,1971,2011
4708,1984,2011
4709,2000,2010
4711,1982,2006
4712,1982,2006
4713,1982,2006
4714,1982,2006
4715,1965,2010
4717,1974,2005
4723,1987,2006
4915,1986,2000
4983,1999,2002
5007,1999,2002
5025,1989,1991
5273,1996,1997
5281,1996,1997
5282,1996,1997
5291,1996,1997
5292,1996,1997
5315,1996,1997
5380,1997,1998
5416,1997,1998
5513,1996,1998
5524,1996,1998
5526,1996,1998
5527,1996,1998
6053,1950,1992
6057,1983,1990
6373,1987,2003
7686,1977,1997
8209,2003,2010
8210,1999,2010
8211,1988,2000
8212,2004,2009
8213,2004,2010
8745,1967,1994
8934,1992,2005
8935,1995,2005
8936,1996,2005
8937,1992,2005
8945,1989,2005
9038,2003,2007
9355,1999,2001
9356,1999,2001
9358,1999,2001
9408,1993,1997
9410,1993,1997
9412,1993,1997
9413,1993,1997
9414,1993,1997
9415,1993,1997
9546,1993,1997
9548,1993,1997
9549,1993,1997
9550,1993,1997
9554,1993,1997
9555,1993,1997
9820,1962,1991
9852,1987,1990
9889,1977,2007
9948,1967,1995
9949,1998,2006
9955,1968,1996
9959,1968,1996
9962,1978,2006
9981,1996,2008
10000,2002,2006
10024,1980,2007
10098,1993,2008
10099,1993,2008
10100,2005,2008
10101,2005,2008
10960,1976,2003
11353,1980,2000
11355,1980,2000
18235,1992,2014
18242,2003,2012
18297,1992,1995
18849,1973,1992
18850,1973,1992
18851,1973,1992
18852,1973,1992
18853,1973,1992
18854,1973,1992
18855,1973,1992
18856,1973,1992
18857,1973,1992
18858,1973,1992
18859,1973,1992
18871,1973,1992
18872,1973,1992
18873,1973,1992
18874,1973,1992
18879,1995,1998
18881,1995,1998
18883,1995,1998
18884,1995,1998
18893,1995,1998
19501,2007,2014
19626,2012,2014
19719,2001,2012
19728,1993,1993
19729,1993,1993
19731,1993,1993
19740,1993,1993
19743,1993,1993
19744,1993,1993
19745,1993,1993
19747,1993,1993
19748,1993,1993
19750,1993,1993
19751,1993,1993
19753,1993,1993
19754,1993,1993
19755,1993,1993
19756,1993,1993
19757,1993,1993
19759,1993,1993
19760,1993,1993
19761,1993,1993
19763,1993,1993
19771,1993,1993
19773,1993,1993
19774,1993,1993
19777,1993,1993
19779,1993,1993
19780,1993,1993
19781,1993,1993
19782,1993,1993
19786,1993,1993
19825,2001,2015
25278,2007,2014
25279,2007,2014
