Binomial	ID	year	popvalue
Branta_leucopsis	300	1950	550
Acrocephalus_sechellensis	2	1958	30
Branta_leucopsis	298	1960	20000
Alosa_pseudoharengus	19863	1970	1.806756
Burhinus_oedicnemus	303	1970	330
Alosa_pseudoharengus	19863	1971	9.206685
Necrosyrtes_monachus	24	1971	4.1
Leptoptilos_crumenifer	22	1971	7.4
Gyps_africanus	21	1971	60
Alosa_pseudoharengus	19863	1972	7.598678
Branta_leucopsis	299	1972	35000
Alosa_pseudoharengus	19863	1973	14.661739
Protopterus_aethiopicus	8660	1973	69
Branta_leucopsis	299	1973	45000
Psittacula_eques	25	1973	59
Falco_punctatus	5	1973	1
Alosa_pseudoharengus	19863	1974	17.239009
Protopterus_aethiopicus	8660	1974	64
Branta_leucopsis	299	1974	45000
Psittacula_eques	25	1974	59
Falco_punctatus	5	1974	1
Alosa_pseudoharengus	19863	1975	2.657746
Aquila_chrysaetos	17897	1975	1.26
Buteo_lagopus	17895	1975	12.02
Protopterus_aethiopicus	8660	1975	50
Branta_leucopsis	299	1975	67500
Branta_leucopsis	298	1975	50000
Psittacula_eques	25	1975	49
Leptoptilos_crumenifer	23	1975	896
Gyps_coprotheres	20	1975	10
Gyps_coprotheres	19	1975	125
Gyps_coprotheres	18	1975	1615
Gyps_coprotheres	17	1975	50
Gyps_coprotheres	16	1975	772
Gyps_coprotheres	15	1975	15
Gyps_coprotheres	14	1975	1522
Gyps_coprotheres	13	1975	20
Gyps_coprotheres	12	1975	835
Gyps_coprotheres	11	1975	2331
Gyps_coprotheres	10	1975	35
Gyps_coprotheres	9	1975	400
Gyps_coprotheres	8	1975	1206
Gyps_coprotheres	7	1975	685
Falco_punctatus	5	1975	1
Acrocephalus_sechellensis	2	1975	274
Alosa_pseudoharengus	19863	1976	3.596125
Aquila_chrysaetos	17897	1976	0.57
Buteo_lagopus	17895	1976	4.13
Protopterus_aethiopicus	8660	1976	39
Branta_leucopsis	299	1976	55000
Psittacula_eques	25	1976	45
Falco_punctatus	5	1976	2
Copsychus_sechellarum	4	1976	46
Alosa_pseudoharengus	19863	1977	1.961268
Aquila_chrysaetos	17897	1977	0.65
Buteo_lagopus	17895	1977	7.12
Protopterus_aethiopicus	8660	1977	40
Branta_leucopsis	299	1977	67500
Psittacula_eques	25	1977	45
Falco_punctatus	5	1977	4
Copsychus_sechellarum	4	1977	39
Copsychus_sechellarum	3	1977	38
Alosa_pseudoharengus	19863	1978	6.58537
Aquila_chrysaetos	17897	1978	0.75
Buteo_lagopus	17895	1978	0.94
Protopterus_aethiopicus	8660	1978	49
Branta_leucopsis	299	1978	45000
Psittacula_eques	25	1978	20
Pternistis_ochropectus	6	1978	5600
Falco_punctatus	5	1978	1
Copsychus_sechellarum	4	1978	38
