ID,min_year,max_year
175,1975,1996
176,1975,1996
177,1982,1989
178,1975,1996
179,1975,1996
180,1975,1996
8552,1975,2008
8557,1975,1982
8558,1975,1982
8566,1975,1982
8578,1975,1982
10403,1995,2008
10404,1995,2007
10405,1995,2008
10406,1995,2008
10490,1998,2001
11778,2003,2011
17695,2001,2006
17741,1974,1997
17742,1974,1997
17743,1974,1997
17744,1974,1997
17745,1974,1997
17789,1995,2005
17791,1995,2005
19801,2002,2014
21266,2007,2015
27149,2009,2015
27150,2009,2015
27151,2009,2015
27152,2009,2015
27153,2009,2015
27154,2009,2015
27155,2009,2015
27156,2009,2015
27157,2010,2014
27158,2009,2010
27159,2009,2015
27160,2009,2015
27161,2009,2015
27162,2009,2015
27163,2009,2015
27164,2014,2015
27165,2009,2014
27166,2009,2015
27167,2010,2015
27168,2010,2011
27169,2009,2015
27170,2009,2011
27171,2009,2015
27172,2009,2015
27173,2009,2015
27174,2009,2015
27175,2009,2015
27176,2011,2015
27177,2009,2012
