ID,min_year,max_year
28,1969,1994
29,1975,1991
30,1983,1990
31,1965,2010
32,1959,1984
33,1970,1985
34,1978,1998
35,1983,1990
36,1970,1990
37,1975,1985
38,1973,1984
39,1965,2011
40,1970,1985
41,1976,1986
42,1984,1997
43,1989,1997
44,1978,1998
45,1978,1998
46,1984,1999
47,1984,2004
48,1976,2005
49,1965,2006
50,1975,2006
51,1976,1995
52,1975,2006
53,1975,2006
54,1972,2003
55,1959,1984
56,1983,1990
57,1963,1992
58,1959,1992
59,1961,1986
60,1961,1994
61,1961,1993
62,1970,1985
63,1983,1995
64,1973,1995
65,1973,1978
66,1975,1996
67,1968,1977
68,1968,1977
69,1962,1994
70,1978,1998
71,1983,1990
72,1965,2010
73,1970,2002
74,1970,1987
75,1965,2006
76,1981,2004
77,1965,2005
78,1983,1990
79,1965,2010
80,1959,1984
81,1977,1988
82,1950,1989
83,1950,1998
84,1965,2011
85,1983,1990
86,1967,1975
87,1959,1984
88,1988,1998
89,1950,1980
90,1965,1991
91,1990,1996
92,1965,2010
93,1972,2010
94,1990,2011
95,1989,2002
96,1978,1990
97,1980,1990
98,1980,1985
99,1978,1998
100,1969,1992
101,1965,2011
102,1983,1992
103,1976,1988
104,1980,1993
105,1978,1998
106,1965,2011
107,1965,2011
108,1978,1998
109,1970,1995
110,1979,1994
111,1967,2004
112,1970,2000
113,1959,1984
114,1983,1990
115,1965,2006
116,1973,1980
117,1970,1992
118,1976,1999
119,1970,2000
120,1987,1996
121,1965,2006
122,1978,1998
123,1977,2008
124,1976,1998
125,1998,2002
126,1975,2004
127,1961,1989
128,1966,1990
129,1959,1984
130,1983,1997
131,1978,1998
132,1975,1985
133,1975,2006
134,1994,2003
135,1978,1991
136,1992,1995
137,1971,1986
138,1983,1997
139,1983,1997
140,1978,1998
141,1976,1995
142,1978,1998
143,1983,1990
144,1991,1997
145,1959,1984
146,1969,1992
147,1964,1992
148,1958,1986
149,1965,1991
150,1965,1991
151,1965,2011
152,1985,1997
153,1980,1997
154,1965,2006
155,1983,1990
156,1965,2010
157,1969,1982
158,1972,1992
159,1991,1997
160,1969,1985
161,1960,1988
162,1965,1986
163,1983,1997
164,1986,1997
165,1984,1997
166,1970,2001
167,1985,1995
168,1959,1984
169,1983,1997
170,1978,1998
171,1969,1980
172,1982,1992
173,1974,1984
174,1974,1984
2392,1964,2005
2393,1964,2005
2394,1970,2005
2395,1970,2005
3495,1987,1993
3496,1992,2000
3497,1975,2006
4473,1959,1984
4474,1959,1984
4475,1959,1984
4593,1980,1993
4594,1987,2000
4635,1967,1975
4703,1997,2008
4710,1962,2008
4718,1989,2002
4719,2003,2006
4720,2003,2006
4721,2003,2006
