Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Atelopus_ignescens,1,-0.0607370113267467,-0.0607370113267467,-0.0607370113267468,-0.0607370113267467,-0.0607370113267467,-0.0607370113267468,-0.0607370113267469,-0.0607370113267467,-0.0607370113267467,-0.0607370113267467,-0.0607370113267467,-0.083113804973443,-0.0831138049734429,-0.0831138049734429,-0.0831138049734428,-0.083113804973443,-0.0831138049734428,-0.0831138049734429,-0.0831138049734429,-0.083113804973443,-0.0831138049734429,-0.083113804973443,-0.0831138049734428,-0.0831138049734429,-0.0831138049734429,-0.0831138049734428,-0.083113804973443,-0.0831138049734432,-0.0831138049734428,-0.0831138049734428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aneides_aeneus,1,-0.0825412372789849,-0.0825412372789851,-0.0825412372789851,-0.0825412372789849,-0.0825412372789851,-0.0825412372789849,-0.0825412372789851,-0.0825412372789851,-0.0825412372789849,-0.0825412372789851,-0.0825412372789851,-0.0825412372789848,-0.0101966652650703,0.1261476604221,-0.082541237278985,-0.0825412372789851,-0.0825412372789849,-0.082541237278985,-0.0825412372789849,-0.082541237278985,0,-1,0.952531001876861,0,-0.952531001876861,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiropterotriton_dimidiatus,1,NA,-0.154899952741074,0.252118238378966,0.252118238378966,-0.940428797670165,-0.940428797670165,0.0680599000044827,0.0680599000044825,0.0680599000044827,0.320479644965386,0.320479644965386,-0.182339614883821,-0.0215607218508411,-0.0215607218508411,-0.0215607218508411,-0.021560721850841,-0.021560721850841,-0.0215607218508411,-0.021560721850841,-0.0215607218508412,-0.021560721850841,-0.021560721850841,-0.0486024913077081,-0.0486024913077081,-0.0486024913077081,-0.0486024913077081,-0.048602491307708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiropterotriton_multidentatus,1,NA,0.171223436069125,-0.0346629633006823,-0.0346629633006823,-0.413349524016509,-0.413349524016509,-0.187310932277183,-0.187310932277183,-0.187310932277183,-0.265767560920669,-0.265767560920669,0.204179700013448,0.0640959289930772,0.0640959289930772,0.0640959289930771,0.0640959289930773,0.0640959289930772,0.0640959289930772,0.0640959289930772,0.0640959289930773,0.0640959289930771,0.0640959289930773,-0.128191857986154,-0.128191857986154,-0.128191857986154,-0.128191857986154,-0.128191857986154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambystoma_cingulatum,1,NA,-0.0799625600647713,-0.0799625600647713,-0.0799625600647712,-0.0799625600647713,-0.0799625600647713,-0.0799625600647713,-0.0799625600647712,-0.0799625600647713,-0.0799625600647714,-0.0799625600647712,-0.0799625600647713,-0.0799625600647711,-0.0799625600647714,-0.0799625600647712,-0.129691875063941,-0.129691875063941,-0.129691875063941,-0.129691875063941,-0.129691875063941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudoeurycea_nigromaculata,1,NA,NA,-0.458035398616793,-0.458035398616793,-0.0325177872352653,-0.0325177872352653,0.120696664089201,0.120696664089201,0.120696664089201,0.120696664089201,0.120696664089201,0.120696664089201,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parvimolge_townsendi,1,NA,NA,-0.583295241071364,-0.583295241071364,0.583295241071364,0.583295241071364,-0.194431747023788,-0.194431747023788,-0.194431747023788,-0.194431747023788,-0.194431747023788,-0.194431747023788,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thorius_pennatulus,1,NA,NA,0.265608320531462,0.265608320531462,-0.265608320531462,-0.265608320531462,-0.209288070349748,-0.209288070349748,-0.209288070349748,-0.209288070349748,-0.209288070349748,-0.209288070349748,-0.613982038896541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craugastor_bransfordii,1,NA,NA,NA,0.166331421766525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.280881210184254,-0.280881210184254,-0.280881210184254,-0.280881210184254,-0.280881210184253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craugastor_talamancae,1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0513624336170047,0.0513624336170048,0.0513624336170047,0.0513624336170048,0.0513624336170047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypopachus_pictiventris,1,NA,NA,NA,-0.1249387366083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
