"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" -99 NA NA
"1972" -99 NA NA
"1973" -99 NA NA
"1974" -99 NA NA
"1975" 1.28110863082486 1.28110863082486 1.28110863082486
"1976" 1.64123932397395 1.64123932397395 1.64123932397395
"1977" 1.84145709796661 1.84145709796661 1.84145709796661
"1978" 1.83634719227606 1.83634719227606 1.83634719227606
"1979" 1.83125146619154 1.83125146619154 1.83125146619154
"1980" 1.82616988036571 1.82616988036571 1.82616988036571
"1981" 1.82110239556039 1.82110239556039 1.82110239556039
"1982" 1.81604897264632 1.81604897264632 1.81604897264632
"1983" 1.8110095726028 1.8110095726028 1.8110095726028
"1984" 1.80598415651741 1.80598415651741 1.80598415651741
"1985" 1.80097268558571 1.80097268558571 1.80097268558571
"1986" 1.79597512111095 1.79597512111095 1.79597512111095
"1987" 1.79099142450375 1.79099142450375 1.79099142450375
"1988" 1.78602155728181 1.78602155728181 1.78602155728181
"1989" 1.78106548106962 1.78106548106962 1.78106548106962
"1990" 1.77612315759817 1.77612315759817 1.77612315759817
"1991" 1.77119454870463 1.77119454870463 1.77119454870463
"1992" 1.76627961633206 1.76627961633206 1.76627961633206
"1993" 1.76137832252915 1.76137832252915 1.76137832252915
"1994" 1.75649062944988 1.75649062944988 1.75649062944988
"1995" 1.98508476124 1.98508476124 1.98508476124
"1996" 1.73585052168699 1.73585052168699 1.73585052168699
"1997" 1.64728620606098 1.64728620606098 1.64728620606098
"1998" -99 NA NA
"1999" -99 NA NA
"2000" -99 NA NA
"2001" -99 NA NA
"2002" -99 NA NA
"2003" -99 NA NA
"2004" -99 NA NA
"2005" -99 NA NA
"2006" -99 NA NA
"2007" -99 NA NA
"2008" -99 NA NA
"2009" -99 NA NA
"2010" -99 NA NA
"2011" -99 NA NA
"2012" -99 NA NA
"2013" -99 NA NA
"2014" -99 NA NA
"2015" -99 NA NA
"2016" -99 NA NA
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
