"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" -99 NA NA
"1972" -99 NA NA
"1973" -99 NA NA
"1974" -99 NA NA
"1975" -99 NA NA
"1976" -99 NA NA
"1977" -99 NA NA
"1978" -99 NA NA
"1979" -99 NA NA
"1980" -99 NA NA
"1981" -99 NA NA
"1982" -99 NA NA
"1983" -99 NA NA
"1984" -99 NA NA
"1985" -99 NA NA
"1986" -99 NA NA
"1987" -99 NA NA
"1988" -99 NA NA
"1989" -99 NA NA
"1990" 1.30218068535826 1.30218068535826 1.30218068535826
"1991" 1.62928348909657 1.62928348909657 1.62928348909657
"1992" 2.1993769470405 2.1993769470405 2.1993769470405
"1993" 1.33644859813084 1.33644859813084 1.33644859813084
"1994" 2.14018691588785 2.14018691588785 2.14018691588785
"1995" 1.00311526479751 1.00311526479751 1.00311526479751
"1996" -99 NA NA
"1997" -99 NA NA
"1998" -99 NA NA
"1999" -99 NA NA
"2000" -99 NA NA
"2001" -99 NA NA
"2002" -99 NA NA
"2003" -99 NA NA
"2004" -99 NA NA
"2005" -99 NA NA
"2006" -99 NA NA
"2007" -99 NA NA
"2008" -99 NA NA
"2009" -99 NA NA
"2010" -99 NA NA
"2011" -99 NA NA
"2012" -99 NA NA
"2013" -99 NA NA
"2014" -99 NA NA
"2015" -99 NA NA
"2016" -99 NA NA
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
