Binomial	ID	year	popvalue
Carcharodon_carcharias	19642	1950	0.153
Thunnus_thynnus	19169	1950	231625.49
Morus_bassanus	11172	1950	570
Salmo_salar	6110	1950	1744
Vanellus_vanellus	6069	1950	4
Passerella_arborea	3374	1950	4
Marmota_bobak	599	1950	23750
Carcharodon_carcharias	19642	1951	0.269
Thunnus_thynnus	19169	1951	262643.99
Morus_bassanus	11172	1951	225
Podiceps_cristatus	6665	1951	1
Salmo_salar	6110	1951	2093
Vanellus_vanellus	6069	1951	6
Passerella_arborea	3374	1951	23
Carcharodon_carcharias	19642	1952	0.323
Thunnus_thynnus	19169	1952	277510.99
Morus_bassanus	11172	1952	450
Salmo_salar	6110	1952	969
Vanellus_vanellus	6069	1952	16
Passerella_arborea	3374	1952	19
Carcharodon_carcharias	19642	1953	0.348
Thunnus_thynnus	19169	1953	280039.98
Bubo_bubo	10479	1953	1
Vanellus_vanellus	6069	1953	23
Passerella_arborea	3374	1953	18
Branta_canadensis	3265	1953	8000
Dama_dama	556	1953	42
Poecile_montanus	412	1953	0
Carcharodon_carcharias	19642	1954	0.232
Thunnus_thynnus	19169	1954	289062.48
Bubo_bubo	10479	1954	2
Vanellus_vanellus	6069	1954	25
Passerella_arborea	3374	1954	26
Branta_canadensis	3265	1954	10500
Poecile_montanus	412	1954	0
Carcharodon_carcharias	19642	1955	0.304
Thunnus_thynnus	19169	1955	287575.97
Pelecanus_crispus	18240	1955	76
Castor_fiber	11887	1955	275
Bubo_bubo	10479	1955	2
Vanellus_vanellus	6069	1955	20
Tamias_minimus	3472	1955	9.3
Passerella_arborea	3374	1955	25
Branta_canadensis	3265	1955	10000
Carcharodon_carcharias	19642	1956	0.298
Thunnus_thynnus	19169	1956	297944.46
Pelecanus_crispus	18240	1956	61
Castor_fiber	11887	1956	275
Bubo_bubo	10479	1956	1
Salmo_salar	6110	1956	486
Vanellus_vanellus	6069	1956	16
Syncerus_caffer	5255	1956	500
Tamias_minimus	3472	1956	18.3
Passerella_arborea	3374	1956	85
Branta_canadensis	3265	1956	11500
Poecile_montanus	412	1956	0
Carcharodon_carcharias	19642	1957	0.168
Clupea_harengus	19210	1957	27919
Thunnus_thynnus	19169	1957	309621.95
Pelecanus_crispus	18240	1957	57
Bubo_bubo	10479	1957	1
Salmo_salar	6110	1957	822
Vanellus_vanellus	6069	1957	16
Syncerus_caffer	5255	1957	750
Tamias_minimus	3472	1957	4.4
Passerella_arborea	3374	1957	22
Branta_canadensis	3265	1957	15000
Poecile_montanus	412	1957	0
Carcharodon_carcharias	19642	1958	0.271
Clupea_harengus	19210	1958	27184
Clupea_harengus	19208	1958	81192
Thunnus_thynnus	19169	1958	315559.44
Pelecanus_crispus	18240	1958	30
Bubo_bubo	10479	1958	1
Vanellus_vanellus	6069	1958	15
Tamias_minimus	3472	1958	9.3
Passerella_arborea	3374	1958	45
Branta_canadensis	3265	1958	17500
Poecile_montanus	412	1958	0
Syncerus_caffer	148	1958	27000
Carcharodon_carcharias	19642	1959	0.261
Carcharodon_carcharias	19498	1959	0.897
Clupea_harengus	19210	1959	35590
Clupea_harengus	19208	1959	76574
Thunnus_thynnus	19169	1959	300989.93
Pelecanus_crispus	18240	1959	85
Anser_albifrons	12357	1959	8352
Castor_fiber	11887	1959	358
Morus_bassanus	11174	1959	44526
Bubo_bubo	10479	1959	1
Vanellus_vanellus	6069	1959	25
Canis_lupus	4809	1959	20
Tamias_minimus	3472	1959	2.4
Passerella_arborea	3374	1959	15
Branta_canadensis	3265	1959	10000
Poecile_montanus	412	1959	16
Carcharodon_carcharias	19642	1960	0.17
Carcharodon_carcharias	19498	1960	0.887
Clupea_harengus	19210	1960	47791
Clupea_harengus	19208	1960	62882
Thunnus_thynnus	19169	1960	282856.93
Pelecanus_crispus	18240	1960	90
Anser_albifrons	12357	1960	6835
Morus_bassanus	11172	1960	925
Fulica_americana	10573	1960	129.97
Bubo_bubo	10479	1960	1
Oncorhynchus_gorbuscha	6091	1960	25
Vanellus_vanellus	6069	1960	25
Prunella_modularis	6052	1960	477
Phylloscopus_sibilatrix	6043	1960	118
Canis_lupus	4809	1960	22
Tamias_minimus	3472	1960	5.4
Cervus_elaphus	3424	1960	1500
Passerella_arborea	3374	1960	2
Branta_canadensis	3265	1960	24000
Marmota_bobak	599	1960	18900
Turdus_merula	475	1960	1528
Poecile_montanus	412	1960	1
Carcharodon_carcharias	19642	1961	0.166
Carcharodon_carcharias	19498	1961	0.868
Clupea_harengus	19210	1961	48742
Clupea_harengus	19208	1961	53899
Thunnus_thynnus	19169	1961	277108.92
Pelecanus_crispus	18240	1961	127
Anser_albifrons	12357	1961	8549
Castor_fiber	11887	1961	530
Carcharias_taurus	10875	1961	4.05
Fulica_americana	10573	1961	274.32
Bubo_bubo	10479	1961	2
Fratercula_arctica	8128	1961	100
Salmo_salar	6110	1961	344
Oncorhynchus_gorbuscha	6091	1961	480
Vanellus_vanellus	6069	1961	17
Prunella_modularis	6052	1961	854
Phylloscopus_sibilatrix	6043	1961	192
Rangifer_tarandus	5494	1961	3608
Canis_lupus	4809	1961	22
Tamias_minimus	3472	1961	9.4
Passerella_arborea	3374	1961	19
Branta_canadensis	3265	1961	19000
Branta_canadensis	3263	1961	15280
Turdus_merula	475	1961	3194
Poecile_montanus	412	1961	6
Syncerus_caffer	148	1961	29500
Carcharodon_carcharias	19642	1962	0.172
Carcharodon_carcharias	19498	1962	0.897
Clupea_harengus	19210	1962	52485
Clupea_harengus	19208	1962	63954
Thunnus_thynnus	19169	1962	264723.4
Pelecanus_crispus	18240	1962	29
Anser_albifrons	12357	1962	9802
Carcharias_taurus	10875	1962	1.01
Fulica_americana	10573	1962	250.83
Bubo_bubo	10479	1962	2
Fratercula_arctica	8128	1962	101.1
Salmo_salar	6110	1962	1306
Oncorhynchus_gorbuscha	6091	1962	80
Vanellus_vanellus	6069	1962	20
Prunella_modularis	6052	1962	1311
Phylloscopus_sibilatrix	6043	1962	213
Syncerus_caffer	5255	1962	750
Canis_lupus	4809	1962	23
Tamias_minimus	3472	1962	8.5
Passerella_arborea	3374	1962	25
Branta_hutchinsii	3266	1962	300
Branta_canadensis	3265	1962	17000
Branta_canadensis	3263	1962	17740
Branta_bernicla	3259	1962	5080
Myodes_rufocanus	552	1962	2.63
Turdus_merula	475	1962	3381
Troglodytes_troglodytes	468	1962	140
Poecile_montanus	412	1962	3
Carcharodon_carcharias	19642	1963	0.223
Carcharodon_carcharias	19498	1963	0.906
Clupea_harengus	19210	1963	63261
Clupea_harengus	19208	1963	58590
Thunnus_thynnus	19169	1963	237310.4
Pelecanus_crispus	18240	1963	51
Anser_albifrons	12357	1963	7363
Gadus_morhua	11096	1963	17.7
Carcharias_taurus	10875	1963	0.76
Fulica_americana	10573	1963	132.35
Bubo_bubo	10479	1963	1
Connochaetes_taurinus	8466	1963	3000
Fratercula_arctica	8128	1963	70.8
Salmo_salar	6110	1963	887
