Binomial	ID	year	popvalue
Melanogrammus_aeglefinus	25466	1950	377.419
Scomberomorus_maculatus	19200	1950	38211
Grus_americana	1048	1950	29
Grus_americana	1047	1950	34
Branta_leucopsis	300	1950	550
Melanogrammus_aeglefinus	25466	1951	429.032
Scomberomorus_maculatus	19200	1951	37291
Grus_americana	1048	1951	26
Grus_americana	1047	1951	31
Melanogrammus_aeglefinus	25466	1952	422.58
Scomberomorus_maculatus	19200	1952	35234
Grus_americana	1048	1952	21
Grus_americana	1047	1952	25
Melanogrammus_aeglefinus	25466	1953	680.645
Scomberomorus_maculatus	19200	1953	33957
Grus_americana	1048	1953	20
Grus_americana	1047	1953	21
Melanogrammus_aeglefinus	25466	1954	754.838
Scomberomorus_maculatus	19200	1954	33310
Grus_americana	1048	1954	20
Grus_americana	1047	1954	24
Melanogrammus_aeglefinus	25466	1955	729.032
Scomberomorus_maculatus	19200	1955	32568
Grus_americana	1048	1955	20
Grus_americana	1047	1955	21
Melanogrammus_aeglefinus	25466	1956	625.806
Phalacrocorax_carbo	25338	1956	4
Spheniscus_demersus	25322	1956	60
Scomberomorus_maculatus	19200	1956	31827
Grus_americana	1048	1956	20
Grus_americana	1047	1956	28
Melanogrammus_aeglefinus	25466	1957	435.483
Phalacrocorax_carbo	25338	1957	22
Scomberomorus_maculatus	19200	1957	30512
Grus_americana	1048	1957	22
Grus_americana	1047	1957	24
Melanogrammus_aeglefinus	25466	1958	312.903
Phalacrocorax_carbo	25334	1958	86
Scomberomorus_maculatus	19200	1958	28948
Grus_americana	1048	1958	22
Grus_americana	1047	1958	26
Acrocephalus_sechellensis	2	1958	30
Melanogrammus_aeglefinus	25466	1959	335.483
Scomberomorus_maculatus	19200	1959	27141
Stercorarius_parasiticus	12101	1959	64
Catharacta_skua	12100	1959	19
Anser_fabalis	12074	1959	197
Grus_americana	1048	1959	22
Grus_americana	1047	1959	32
Melanogrammus_aeglefinus	25466	1960	422.58
Rangifer_tarandus	19783	1960	5021
Scomberomorus_maculatus	19200	1960	25245
Stercorarius_parasiticus	12101	1960	65
Catharacta_skua	12100	1960	20
Anser_fabalis	12074	1960	113
Eudromias_morinellus	12065	1960	4
Eudromias_morinellus	12057	1960	0
Chalinolobus_tuberculatus	4929	1960	5
Grus_americana	1048	1960	30
Grus_americana	1047	1960	33
Branta_leucopsis	298	1960	20000
Melanogrammus_aeglefinus	25466	1961	403.225
Rangifer_tarandus	19783	1961	6059
Scomberomorus_maculatus	19200	1961	23459
Stercorarius_parasiticus	12101	1961	67
Catharacta_skua	12100	1961	20
Anser_fabalis	12074	1961	210
Eudromias_morinellus	12065	1961	15
Eudromias_morinellus	12057	1961	0
Grus_americana	1048	1961	31
Grus_americana	1047	1961	36
Dendrocygna_bicolor	1042	1961	5160
Melanogrammus_aeglefinus	25466	1962	374.193
Rangifer_tarandus	19783	1962	6888
Scomberomorus_maculatus	19200	1962	23051
Stercorarius_parasiticus	12101	1962	71
Catharacta_skua	12100	1962	25
Anser_fabalis	12074	1962	215
Eudromias_morinellus	12065	1962	11
Eudromias_morinellus	12057	1962	2
Grus_americana	1048	1962	31
Grus_americana	1047	1962	39
Dendrocygna_bicolor	1042	1962	5160
Melanogrammus_aeglefinus	25466	1963	358.064
Rangifer_tarandus	19783	1963	6462
Scomberomorus_maculatus	19200	1963	21380
Mycteroperca_microlepis	19197	1963	9999
Stercorarius_parasiticus	12101	1963	64
Catharacta_skua	12100	1963	30
Anser_fabalis	12074	1963	81
Eudromias_morinellus	12065	1963	22
Eudromias_morinellus	12057	1963	24
Fulmarus_glacialoides	11421	1963	32
Grus_americana	1048	1963	34
Grus_americana	1047	1963	32
Dendrocygna_bicolor	1042	1963	5050
Muscicapa_striata	387	1963	1
Melanogrammus_aeglefinus	25466	1964	367.741
Rangifer_tarandus	19783	1964	7709
Scomberomorus_maculatus	19200	1964	20161
Mycteroperca_microlepis	19197	1964	9802
Stercorarius_parasiticus	12101	1964	69
Catharacta_skua	12100	1964	20
Catharacta_skua	12088	1964	0
Stercorarius_parasiticus	12087	1964	0
Anser_fabalis	12074	1964	86
Eudromias_morinellus	12065	1964	2
Eudromias_morinellus	12057	1964	13
Fulmarus_glacialoides	11421	1964	27
Grus_americana	1048	1964	30
Grus_americana	1047	1964	33
Dendrocygna_bicolor	1042	1964	5060
Muscicapa_striata	387	1964	1
Melanogrammus_aeglefinus	25466	1965	367.741
Plegadis_falcinellus	23114	1965	50
Rangifer_tarandus	19783	1965	8956
Lopholatilus_chamaeleonticeps	19201	1965	3052.321941
Scomberomorus_maculatus	19200	1965	19208
Mycteroperca_microlepis	19197	1965	9382
Stercorarius_parasiticus	12101	1965	70
Catharacta_skua	12100	1965	11
Catharacta_skua	12088	1965	0
Stercorarius_parasiticus	12087	1965	0
Anser_fabalis	12074	1965	136
Eudromias_morinellus	12065	1965	1
Eudromias_morinellus	12057	1965	35
Fulmarus_glacialoides	11421	1965	25
Grus_americana	1048	1965	30
Grus_americana	1047	1965	42
Dendrocygna_bicolor	1042	1965	7340
Muscicapa_striata	387	1965	2.5
Melanogrammus_aeglefinus	25466	1966	422.58
Rangifer_tarandus	19783	1966	10413
Lopholatilus_chamaeleonticeps	19201	1966	3046.625274
Scomberomorus_maculatus	19200	1966	18827
Mycteroperca_microlepis	19197	1966	8780
Stercorarius_parasiticus	12101	1966	120
Catharacta_skua	12100	1966	18
Catharacta_skua	12088	1966	2
Stercorarius_parasiticus	12087	1966	0
Anser_fabalis	12074	1966	98
Eudromias_morinellus	12065	1966	3
Eudromias_morinellus	12057	1966	14
Fulmarus_glacialoides	11421	1966	19
Ateles_geoffroyi	10942	1966	5
Carcharodon_carcharias	9057	1966	3.9
Grus_americana	1048	1966	35
Grus_americana	1047	1966	44
Dendrocygna_bicolor	1042	1966	860
Muscicapa_striata	387	1966	2
Melanogrammus_aeglefinus	25466	1967	445.161
Phalacrocorax_carbo	25334	1967	2
Plegadis_falcinellus	23114	1967	80
Rangifer_tarandus	19783	1967	12288
Lopholatilus_chamaeleonticeps	19201	1967	3040.544869
Scomberomorus_maculatus	19200	1967	18265
Mycteroperca_microlepis	19197	1967	8091
Catharacta_skua	12100	1967	11
Catharacta_skua	12088	1967	2
Stercorarius_parasiticus	12087	1967	0
Anser_fabalis	12074	1967	111
Eudromias_morinellus	12065	1967	3
Eudromias_morinellus	12057	1967	21
Fulmarus_glacialoides	11421	1967	30
Carcharodon_carcharias	9057	1967	1.9
Grus_americana	1048	1967	38
Grus_americana	1047	1967	43
Fulica_americana	1044	1967	761
Dendrocygna_bicolor	1042	1967	1940
Muscicapa_striata	387	1967	2.5
Melanogrammus_aeglefinus	25466	1968	403.225
Rangifer_tarandus	19783	1968	13953
Lopholatilus_chamaeleonticeps	19201	1968	3031.036212
Scomberomorus_maculatus	19200	1968	17963
Mycteroperca_microlepis	19197	1968	7450
Catharacta_skua	12100	1968	10
Catharacta_skua	12088	1968	2
Stercorarius_parasiticus	12087	1968	0
Anser_fabalis	12074	1968	57
Anser_rossii	12067	1968	431
Eudromias_morinellus	12065	1968	4
Eudromias_morinellus	12057	1968	20
Fulmarus_glacialoides	11421	1968	24
Ateles_geoffroyi	10942	1968	5
Carcharodon_carcharias	9057	1968	3.5
Enhydra_lutris	9056	1968	0
Enhydra_lutris	9055	1968	75
Grus_americana	1048	1968	39
Grus_americana	1047	1968	48
Dendrocygna_bicolor	1042	1968	1360
Muscicapa_striata	387	1968	4
Melanogrammus_aeglefinus	25466	1969	300
