Binomial	ID	year	popvalue
Uta_stansburiana	8954	1960	46
Uta_stansburiana	8955	1961	72
Uta_stansburiana	8954	1961	64
Uta_stansburiana	8955	1962	64
Uta_stansburiana	8954	1962	54
Uta_stansburiana	8955	1963	57
Uta_stansburiana	8954	1963	39
Uta_stansburiana	8955	1964	110
Uta_stansburiana	8954	1964	81
Uta_stansburiana	8953	1966	57
Uta_stansburiana	8952	1966	52
Uta_stansburiana	8951	1966	67
Uta_stansburiana	8950	1966	74
Clemmys_guttata	10413	1967	127
Uta_stansburiana	8953	1967	50
Uta_stansburiana	8952	1967	70
Uta_stansburiana	8951	1967	88
Uta_stansburiana	8950	1967	94
Atelopus_ignescens	5797	1967	0.38
Uta_stansburiana	8953	1968	23
Uta_stansburiana	8952	1968	38
Uta_stansburiana	8951	1968	42
Uta_stansburiana	8950	1968	62
Cyclura_pinguis	264	1968	2.03
Uta_stansburiana	8953	1969	14
Uta_stansburiana	8952	1969	24
Uta_stansburiana	8951	1969	58
Uta_stansburiana	8950	1969	38
Uta_stansburiana	8953	1970	32
Uta_stansburiana	8952	1970	55
Uta_stansburiana	8951	1970	52
Uta_stansburiana	8950	1970	55
Chiropterotriton_dimidiatus	21236	1971	15.4545
Chiropterotriton_multidentatus	21235	1971	29.9091
Anolis_apletophallus	17697	1971	4.37
Uta_stansburiana	8953	1971	30
Uta_stansburiana	8952	1971	57
Uta_stansburiana	8951	1971	18
Uta_stansburiana	8950	1971	44
Ambystoma_cingulatum	4634	1971	7.9
Anolis_limifrons	2372	1971	80
Pseudoeurycea_nigromaculata	21241	1972	3.6702
Parvimolge_townsendi	21240	1972	0.8546
Thorius_pennatulus	21238	1972	1.6912
Chiropterotriton_dimidiatus	21236	1972	10.8182
Chiropterotriton_multidentatus	21235	1972	44.3636
Anolis_apletophallus	17697	1972	3.94
Clemmys_guttata	10413	1972	233
Uta_stansburiana	8953	1972	28
Uta_stansburiana	8952	1972	54
Uta_stansburiana	8951	1972	22
Uta_stansburiana	8950	1972	38
Anolis_limifrons	2372	1972	55
Sceloporus_scalaris	25478	1973	14
Craugastor_bransfordii	19567	1973	30
Craugastor_talamancae	19553	1973	1
Hypopachus_pictiventris	19552	1973	8
Oophaga_pumilio	19551	1973	26
Strabomantis_biporcatus	19511	1973	3
Anolis_apletophallus	17697	1973	3.7
Clemmys_guttata	10413	1973	222
Anolis_limifrons	2372	1973	40
Sceloporus_scalaris	25479	1974	26
Sceloporus_scalaris	25478	1974	23
Lacerta_agilis	23571	1974	4
Pseudoeurycea_nigromaculata	21241	1974	0.431
Parvimolge_townsendi	21240	1974	0.054
Thorius_pennatulus	21238	1974	5.8021
Chiropterotriton_dimidiatus	21236	1974	34.5455
Chiropterotriton_multidentatus	21235	1974	37.8182
Pseudoeurycea_unguidentis	21233	1974	2.3636
