Binomial	ID	year	popvalue
Aerodramus_maximus	8519	1956	1e+06
Branta_sandvicensis	4598	1956	24
Branta_sandvicensis	4598	1958	22
Aerodramus_maximus	8519	1962	4e+06
Branta_sandvicensis	4598	1962	37
Numenius_tahitiensis	12054	1963	7
Branta_sandvicensis	4598	1963	30
Numenius_tahitiensis	12054	1964	23
Branta_sandvicensis	4598	1964	9
Branta_sandvicensis	4598	1965	48
Ducula_spilorrhoa	8967	1966	3.1
Atrichornis_clamosus	8564	1966	50.38
Branta_sandvicensis	4598	1966	76
Ducula_spilorrhoa	8967	1967	4
Atrichornis_clamosus	8564	1967	50.46
Branta_sandvicensis	4598	1967	54
Telespiza_cantans	199	1967	7779
Ducula_spilorrhoa	8967	1968	3
Atrichornis_clamosus	8564	1968	50.55
Branta_sandvicensis	4598	1968	46
Telespiza_cantans	199	1968	7900
Ducula_spilorrhoa	8967	1969	1.4
Atrichornis_clamosus	8564	1969	50.63
Branta_sandvicensis	4598	1969	45
Telespiza_cantans	199	1969	9710
Atrichornis_clamosus	10415	1970	45
Ducula_spilorrhoa	8967	1970	4
Atrichornis_clamosus	8564	1970	47.68
Vini_ultramarina	5075	1970	225
Branta_sandvicensis	4598	1970	114
Telespiza_cantans	199	1970	9005
Psophodes_nigrogularis	191	1970	60
Atrichornis_clamosus	10415	1971	44
Ducula_spilorrhoa	8967	1971	4.1
Atrichornis_clamosus	8564	1971	50.81
Branta_sandvicensis	4598	1971	31
Telespiza_cantans	199	1971	8370
Atrichornis_clamosus	10415	1972	50
Ducula_spilorrhoa	8967	1972	6.1
Atrichornis_clamosus	8564	1972	56.99
Branta_sandvicensis	4598	1972	113
Vini_ultramarina	200	1972	70
Telespiza_cantans	199	1972	10200
Atrichornis_clamosus	10415	1973	59
Ducula_spilorrhoa	8967	1973	5.8
Atrichornis_clamosus	8564	1973	66.22
Branta_sandvicensis	4598	1973	11
Telespiza_cantans	199	1973	10175
Pluvialis_fulva	12138	1974	5
Atrichornis_clamosus	10415	1974	66
Ducula_spilorrhoa	8967	1974	5.7
Atrichornis_clamosus	8564	1974	72.41
Aerodramus_maximus	8519	1974	1300000
Branta_sandvicensis	4598	1974	72
Telespiza_cantans	199	1974	9200
Pluvialis_fulva	12138	1975	21
Atrichornis_clamosus	10415	1975	69
Ducula_spilorrhoa	8967	1975	5
Malurus_splendens	8779	1975	37
Atrichornis_clamosus	8564	1975	78.59
Branta_sandvicensis	4598	1975	58
Vini_ultramarina	201	1975	275
Telespiza_cantans	199	1975	11680
Pluvialis_fulva	12138	1976	12
Atrichornis_clamosus	10415	1976	74
Ducula_spilorrhoa	8967	1976	6.1
Aplonis_opaca	8923	1976	64.897
Passer_montanus	8922	1976	14.426
Hypotaenidia_owstoni	8921	1976	49.961
Myzomela_rubratra	8917	1976	28.259
Alopecoenas_xanthonurus	8916	1976	17.835
Ptilinopus_roseicapilla	8915	1976	2.8413
Rhipidura_rufifrons	8914	1976	25.772
Dicrurus_macrocercus	8913	1976	219.372
Corvus_kubaryi	8912	1976	10.098
Streptopelia_bitorquata	8911	1976	116.279
Malurus_splendens	8779	1976	43
Atrichornis_clamosus	8564	1976	81.71
Petroica_traversi	5150	1976	7
Branta_sandvicensis	4598	1976	50
Telespiza_cantans	199	1976	20802
Numenius_tahitiensis	12054	1977	25
Atrichornis_clamosus	10415	1977	74
Ducula_spilorrhoa	8967	1977	9.9
Aplonis_opaca	8923	1977	68.976
Passer_montanus	8922	1977	12.787
Hypotaenidia_owstoni	8921	1977	33.239
Myzomela_rubratra	8917	1977	19.461
Alopecoenas_xanthonurus	8916	1977	20.913
Ptilinopus_roseicapilla	8915	1977	4.3484
Rhipidura_rufifrons	8914	1977	12.104
Dicrurus_macrocercus	8913	1977	275.544
Corvus_kubaryi	8912	1977	13.184
Streptopelia_bitorquata	8911	1977	107.67
Malurus_splendens	8779	1977	40
Melithreptus_lunatus	8766	1977	6.56
Gerygone_fusca	8765	1977	17.05
Pachycephala_rufiventris	8764	1977	43.47
Pomatostomus_temporalis	8763	1977	32.38
Petroica_phoenicea	8761	1977	3.73
Aquila_audax	8743	1977	62.46
Cacatua_galerita	8742	1977	22.21
Anthochaera_carunculata	8728	1977	21.24
Strepera_graculina	8727	1977	22.21
Manorina_melanocephala	8726	1977	14.22
Melanodryas_cucullata	8725	1977	16.69
Oreoica_gutturalis	8724	1977	7.46
Acanthiza_uropygialis	8723	1977	21.31
Climacteris_picumnus	8700	1977	52.23
Melithreptus_lunatus	8692	1977	11.8
Aviceda_subcristata	8691	1977	0.61
Pomatostomus_temporalis	8689	1977	11.8
Petroica_phoenicea	8687	1977	6.75
Climacteris_picumnus	8685	1977	21.83
Aquila_audax	8683	1977	21.54
Atrichornis_clamosus	8564	1977	81.79
Branta_sandvicensis	4598	1977	8
Haemorhous_mexicanus	3630	1977	0.2
Cardinalis_cardinalis	3629	1977	0.15
Zosterops_japonicus	3628	1977	6.58
Leiothrix_lutea	3627	1977	3
Himatione_sanguinea	3626	1977	19.24
Drepanis_coccinea	3625	1977	8.59
Loxops_coccineus	3624	1977	0.38
Manucerthia_mana	3623	1977	0.14
Hemignathus_wilsoni	3622	1977	0.1
Chlorodrepanis_virens	3621	1977	3.58
Myadestes_obscurus	3620	1977	2.82
Chasiempis_sandwichensis	3619	1977	2.51
Haemorhous_mexicanus	3618	1977	0
Cardinalis_cardinalis	3617	1977	0.14
Zosterops_japonicus	3616	1977	8.03
Himatione_sanguinea	3615	1977	10.16
Chlorodrepanis_virens	3614	1977	0.02
Myadestes_obscurus	3613	1977	1.4
Chasiempis_sandwichensis	3612	1977	0.6
Haemorhous_mexicanus	3611	1977	0.14
Cardinalis_cardinalis	3610	1977	0.02
Zosterops_japonicus	3609	1977	0.4
Leiothrix_lutea	3608	1977	0.02
Himatione_sanguinea	3607	1977	0.27
Drepanis_coccinea	3606	1977	0.09
Chlorodrepanis_virens	3605	1977	6.52
Myadestes_obscurus	3604	1977	0.17
Chasiempis_sandwichensis	3603	1977	0.76
Haemorhous_mexicanus	3602	1977	0.03
Cardinalis_cardinalis	3601	1977	0.13
Zosterops_japonicus	3600	1977	13.48
Leiothrix_lutea	3599	1977	1.94
Himatione_sanguinea	3598	1977	18.7
Drepanis_coccinea	3597	1977	2.91
Chlorodrepanis_virens	3596	1977	0.21
Myadestes_obscurus	3595	1977	1.17
Chasiempis_sandwichensis	3594	1977	1.64
Telespiza_cantans	199	1977	11320
Numenius_tahitiensis	12054	1978	5
Ducula_spilorrhoa	8967	1978	9
Aplonis_opaca	8923	1978	56.158
Passer_montanus	8922	1978	19.016
