Binomial	ID	year	popvalue
Naultinus_manukanus	17681	1978	29
Tiliqua_rugosa	11973	1978	343.7
Tiliqua_rugosa	11973	1979	395.5
Gavialis_gangeticus	5678	1979	107
Tiliqua_rugosa	11973	1980	390.4
Tiliqua_rugosa	11973	1981	313.5
Leiopelma_archeyi	641	1983	38
Leiopelma_archeyi	641	1984	80
Gavialis_gangeticus	5678	1985	605
Leiopelma_archeyi	641	1985	115
Leiopelma_archeyi	641	1986	180
Leiopelma_archeyi	641	1987	178
Leiopelma_pakeka	11325	1988	87
Oligosoma_whitakeri	10385	1988	18
Gavialis_gangeticus	5678	1988	820
Leiopelma_pakeka	642	1988	211
Leiopelma_archeyi	641	1988	189
Leiopelma_pakeka	11325	1989	91
Oligosoma_whitakeri	10385	1989	15.2509
Leiopelma_pakeka	642	1989	215
Leiopelma_archeyi	641	1989	143
Ctenophorus_nuchalis	25475	1990	0.457
Ctenophorus_isolepis	25474	1990	0.042
Toropuku_stephensi	17680	1990	0.52
Oligosoma_whitakeri	10385	1990	19.6349
Gavialis_gangeticus	5678	1990	982
Leiopelma_archeyi	641	1990	135
Ctenophorus_nuchalis	25475	1991	0.071
Ctenophorus_isolepis	25474	1991	0.329
Diplodactylus_conspicillatus	11321	1991	87
Rhynchoedura_ornata	11320	1991	245
Lucasium_stenodactylum	11319	1991	30
Ctenotus_regius	11318	1991	97
Ctenotus_leonhardii	11317	1991	39
Ctenotus_schomburgkii	11316	1991	79
Oligosoma_whitakeri	10385	1991	20.3064
Leiopelma_archeyi	641	1991	178
Ctenophorus_nuchalis	25475	1992	0.052
Ctenophorus_isolepis	25474	1992	0.923
Diplodactylus_conspicillatus	11321	1992	63
Rhynchoedura_ornata	11320	1992	299
Lucasium_stenodactylum	11319	1992	37
Ctenotus_regius	11318	1992	313
Ctenotus_leonhardii	11317	1992	86
Ctenotus_schomburgkii	11316	1992	154
Oligosoma_suteri	10386	1992	30.3736
Oligosoma_whitakeri	10385	1992	20.1628
Oligosoma_alani	10383	1992	4.0654
Gavialis_gangeticus	5678	1992	1065
Leiopelma_archeyi	641	1992	16
Ctenophorus_nuchalis	25475	1993	0.036
Ctenophorus_isolepis	25474	1993	0.781
Leiopelma_pakeka	11325	1993	97
Diplodactylus_conspicillatus	11321	1993	111
Rhynchoedura_ornata	11320	1993	317
Lucasium_stenodactylum	11319	1993	71
Ctenotus_regius	11318	1993	178
Ctenotus_leonhardii	11317	1993	78
Ctenotus_schomburgkii	11316	1993	145
Oligosoma_suteri	10386	1993	21.4653
Oligosoma_whitakeri	10385	1993	21.016
Oligosoma_alani	10383	1993	12.0352
Amalosia_lesueurii	8516	1993	60
Leiopelma_pakeka	642	1993	266
Leiopelma_archeyi	641	1993	40
Ctenophorus_nuchalis	25475	1994	0
Ctenophorus_isolepis	25474	1994	0.177
Varanus_komodoensis	17714	1994	0.6
Varanus_komodoensis	17713	1994	0.81
Leiopelma_pakeka	11325	1994	100
Diplodactylus_conspicillatus	11321	1994	83
Rhynchoedura_ornata	11320	1994	276
Lucasium_stenodactylum	11319	1994	53
Ctenotus_regius	11318	1994	397
Ctenotus_leonhardii	11317	1994	81
Ctenotus_schomburgkii	11316	1994	109
Oligosoma_suteri	10386	1994	21.4075
Oligosoma_whitakeri	10385	1994	20.9633
Oligosoma_alani	10383	1994	9.6421
Amalosia_lesueurii	8516	1994	58
Leiopelma_pakeka	642	1994	275
Ctenophorus_nuchalis	25475	1995	0
Ctenophorus_isolepis	25474	1995	0.919
Diplodactylus_conspicillatus	11321	1995	68
Rhynchoedura_ornata	11320	1995	251
Lucasium_stenodactylum	11319	1995	35
Ctenotus_regius	11318	1995	273
Ctenotus_leonhardii	11317	1995	74
Ctenotus_schomburgkii	11316	1995	102
Oligosoma_suteri	10386	1995	29.7988
Oligosoma_whitakeri	10385	1995	25.439
Oligosoma_alani	10383	1995	9.6226
Amalosia_lesueurii	8516	1995	61
Ctenophorus_nuchalis	25475	1996	0.026
Ctenophorus_isolepis	25474	1996	0.587
Leiopelma_pakeka	11325	1996	115
Diplodactylus_conspicillatus	11321	1996	70
Rhynchoedura_ornata	11320	1996	296
Lucasium_stenodactylum	11319	1996	51
Ctenotus_regius	11318	1996	83
Ctenotus_leonhardii	11317	1996	65
Ctenotus_schomburgkii	11316	1996	123
Oligosoma_suteri	10386	1996	39.3968
Oligosoma_whitakeri	10385	1996	26.9255
Oligosoma_alani	10383	1996	9.5796
Leiopelma_pakeka	642	1996	298
Leiopelma_pakeka	18843	1997	178.6558
Leiopelma_pakeka	11325	1997	111
Diplodactylus_conspicillatus	11321	1997	93
Rhynchoedura_ornata	11320	1997	224
Lucasium_stenodactylum	11319	1997	85
Ctenotus_regius	11318	1997	338
Ctenotus_leonhardii	11317	1997	169
Ctenotus_schomburgkii	11316	1997	170
Notechis_scutatus	10407	1997	99
Oligosoma_suteri	10386	1997	52.2131
Oligosoma_whitakeri	10385	1997	24.2469
Oligosoma_alani	10383	1997	12.7326
Leiopelma_pakeka	642	1997	278
Stegonotus_cucullatus	19739	1998	117
Tropidonophis_mairii	19738	1998	2083
Leiopelma_pakeka	18843	1998	159.9359
Liasis_fuscus	17707	1998	5.16
Antaresia_childreni	17706	1998	0.23
Tropidonophis_mairii	17705	1998	3.1
Stegonotus_cucullatus	17704	1998	0.66
Cryptophis_pallidiceps	17701	1998	0.08
Pseudonaja_nuchalis	17700	1998	0.02
Pseudechis_australis	17699	1998	0.09
Acanthophis_praelongus	17698	1998	0.03
Diplodactylus_conspicillatus	11321	1998	90
Rhynchoedura_ornata	11320	1998	240
Lucasium_stenodactylum	11319	1998	76
Ctenotus_regius	11318	1998	275
Ctenotus_leonhardii	11317	1998	76
Ctenotus_schomburgkii	11316	1998	138
Notechis_scutatus	10407	1998	156
Oligosoma_suteri	10386	1998	59.1958
Oligosoma_whitakeri	10385	1998	26.4579
Oligosoma_alani	10383	1998	9.8931
