ID,min_year,max_year
641,1983,1993
642,1988,2008
4953,2001,2005
4954,2001,2005
5678,1979,1992
7661,2002,2003
8467,1998,2003
8516,1993,1995
8556,2005,2006
8694,2004,2006
8695,2004,2006
8696,2004,2006
8697,2004,2006
8698,2004,2006
8699,2004,2006
10383,1992,1998
10385,1988,1999
10386,1992,1998
10407,1997,2008
11212,2003,2013
11213,2003,2009
11214,2003,2009
11316,1991,2005
11317,1991,2005
11318,1991,2005
11319,1991,2005
11320,1991,2005
11321,1991,2005
11325,1988,2008
11947,2005,2008
11948,2006,2008
11973,1978,1981
15204,2007,2010
15205,2007,2010
17680,1990,2002
17681,1978,2003
17698,1998,2009
17699,1998,2008
17700,1998,2008
17701,1998,2009
17702,1999,2009
17703,1999,2009
17704,1998,2009
17705,1998,2009
17706,1998,2009
17707,1998,2009
17708,2000,2008
17709,2003,2009
17713,1994,2004
17714,1994,2004
18334,2007,2010
18335,2007,2010
18336,2007,2010
18337,2007,2010
18338,2007,2010
18339,2007,2010
18340,2007,2010
18342,2007,2010
18345,2007,2010
18469,1999,2003
18589,2001,2015
18591,2001,2015
18594,2001,2015
18595,2001,2015
18598,2003,2015
18599,2003,2015
18601,2003,2015
18602,2003,2015
18843,1997,2002
19678,2012,2013
19679,2012,2013
19702,2011,2013
19723,2012,2013
19738,1998,2011
19739,1998,2011
19769,2001,2010
19804,2011,2013
25474,1990,1996
25475,1990,1996
25564,2014,2015
25565,2013,2014
25566,2014,2015
25567,2013,2014
25635,2012,2015
