ID,min_year,max_year
192,1981,2003
193,2001,2005
194,2001,2005
195,1989,1991
196,1977,1987
197,1975,1995
202,1958,1984
205,1979,1985
206,1966,1984
207,1966,1984
208,1979,1985
209,1966,1984
210,1976,2004
211,1966,1984
212,1988,1993
213,1980,1984
214,1966,1984
215,1979,1985
216,1980,2000
217,1966,1984
218,1956,1983
219,1979,1985
220,1963,1975
221,1969,1980
222,1978,1994
223,1977,1985
224,1985,1993
226,1977,2001
228,1985,1990
229,1974,1995
230,1974,2010
231,1982,1995
232,1997,1998
233,1996,1998
234,1972,2001
235,1989,1999
236,1953,2005
237,1970,2000
238,1975,2002
239,1979,1985
240,1976,1993
241,1982,1992
242,1983,1994
534,1973,1989
3589,1994,1996
4444,1966,1989
4812,1985,2000
4874,1986,1997
4875,1987,1997
4877,1987,1997
4878,1987,1997
4890,1981,2003
4895,1971,1998
4920,1986,1992
4921,1986,1992
4922,1993,1998
4929,1960,2000
5219,1986,1989
5220,1986,1989
5221,1986,1989
5222,1986,1989
5223,1986,1989
5224,1986,1989
5225,1986,1989
5226,1986,1989
5617,1979,1993
5618,1981,1993
5619,1981,1993
5620,1981,1993
5621,1979,1993
5622,1981,1993
5623,1981,1993
5624,1981,1993
5625,1987,1993
5626,1981,1993
5627,1981,1993
5628,1981,1993
5629,1981,1993
5630,1987,1993
5636,1982,2003
5661,1992,2005
5662,1992,2005
5663,1992,2001
5664,2001,2006
5665,1999,2002
5666,1974,2001
5686,1957,1987
5687,1967,1994
5688,1953,1986
5804,1987,1996
5918,1984,2006
5936,1984,2006
5937,1984,2006
5938,1984,2006
6136,2000,2006
6138,2000,2006
6139,2000,2006
6140,2000,2006
6141,2000,2006
6142,2000,2006
6143,2000,2006
6144,2000,2006
6145,2000,2006
6146,2000,2006
6147,2000,2006
6148,2000,2006
6149,2000,2006
6150,2000,2006
6205,1999,2000
6206,1999,2000
6207,1999,2000
6208,1999,2000
6258,1976,1979
6367,2001,2005
6458,1996,1998
6461,1991,1992
6469,2001,2002
6470,2001,2003
6507,2004,2006
6512,1996,2006
6517,1996,2006
6521,1996,2006
6523,1996,2006
6529,1996,2006
7968,1997,2005
7969,1997,2005
8485,1998,2001
8931,1999,2006
9100,2002,2005
10073,2004,2007
10074,2004,2007
10075,2004,2007
10076,2004,2007
10077,2004,2007
10079,2004,2007
10080,2004,2007
10360,1995,1999
10363,1995,1998
10364,1995,1998
10365,1995,1998
10366,1980,1984
10367,1989,2009
10370,2001,2005
10371,2001,2005
10372,2001,2005
10376,2001,2005
10378,2001,2005
10848,1966,2006
10850,2002,2005
10851,2002,2005
10852,1987,2006
10853,1972,2006
10950,2003,2004
10952,2005,2006
11026,2006,2010
11028,2006,2010
11030,2006,2010
11031,2006,2010
11033,2006,2010
11035,2006,2010
11036,2006,2010
11037,2006,2010
11038,2006,2010
11039,2006,2010
11040,2006,2010
11041,2006,2010
11042,2006,2010
11043,2006,2010
11044,2006,2010
11046,2006,2010
11047,2007,2011
11048,1978,2007
11050,1995,2001
11052,1996,2000
11053,2002,2006
11107,1974,2010
11108,1974,2010
11200,1976,2003
11301,2002,2006
11747,1973,1981
11748,1973,1981
11749,1973,1981
11750,1973,1981
11752,2001,2003
11753,1998,2012
11754,1998,2012
11755,1998,2012
11756,1998,2012
11757,1998,2012
11758,1998,2012
11760,1998,2012
11761,1998,2012
11762,1998,2012
11763,1998,2012
11764,1998,2012
11765,1998,2012
11766,1998,2012
11767,1998,2012
11769,1998,2012
11770,1998,2012
11771,1998,2012
11772,1998,2012
11773,1998,2012
11774,1998,2012
11775,1998,2012
11776,1998,2012
11777,1998,2012
18250,2012,2013
18274,1966,2015
18277,1950,2011
18282,2000,2011
18285,2000,2011
18290,1976,2010
18468,1993,1994
18472,1989,2002
18473,2010,2015
18772,2010,2011
18773,2010,2011
18774,2010,2011
18775,2010,2011
18776,2010,2011
18777,2010,2011
18778,2010,2011
18875,1991,2014
19531,2011,2013
19532,2007,2011
19547,2009,2012
19548,2000,2012
19705,1998,1999
19707,2011,2012
19749,2004,2014
21223,2011,2015
21224,2011,2015
21225,2011,2015
21229,2011,2015
21231,2011,2015
21232,2011,2015
21234,2011,2015
21237,2011,2015
21239,2011,2015
25275,1985,2015
25276,2004,2009
25277,2004,2009
25280,2004,2009
25281,1986,2015
25282,2004,2009
25283,2004,2009
25284,2004,2009
25285,2004,2009
25286,1995,2015
25287,2004,2009
25288,2004,2009
25289,1995,2015
25290,2004,2009
25291,2004,2009
25292,1995,2015
25293,1995,2015
25294,2004,2009
25295,2004,2009
25296,2004,2009
25298,2004,2009
25299,2004,2009
25300,2004,2009
25301,2004,2009
25302,2004,2009
25303,2004,2009
25304,2004,2009
25305,2004,2009
25306,2004,2009
25307,2004,2009
25308,2004,2009
25335,2011,2012
25558,2009,2013
25559,1950,2015
25560,2008,2008
25561,2008,2008
25562,2007,2015
25574,2007,2007
25592,2007,2015
