Binomial	ID	year	popvalue
Ophiodon_elongatus	12799	1950	47754.9466
Bubo_bubo	10478	1950	3
Haliaeetus_albicilla	8251	1950	24
Garrulus_glandarius	6014	1950	5
Emberiza_schoeniclus	6002	1950	0
Columba_palumbus	5992	1950	2
Columba_oenas	5991	1950	0
Accipiter_nisus	5948	1950	1
Loxodonta_africana	5594	1950	102
Gadus_morhua	4483	1950	333
Ophiodon_elongatus	12799	1951	47846.2709
Bubo_bubo	10478	1951	1
Haliaeetus_albicilla	8251	1951	24
Garrulus_glandarius	6014	1951	6
Falco_peregrinus	6006	1951	16
Emberiza_schoeniclus	6002	1951	0
Columba_palumbus	5992	1951	5
Columba_oenas	5991	1951	0
Accipiter_nisus	5948	1951	1
Gadus_morhua	4483	1951	369
Clupea_pallasii	4480	1951	77
Ophiodon_elongatus	12799	1952	47815.8295
Xiphias_gladius	10967	1952	110547
Bubo_bubo	10478	1952	1
Haliaeetus_albicilla	8251	1952	22
Garrulus_glandarius	6014	1952	6
Emberiza_schoeniclus	6002	1952	0
Columba_palumbus	5992	1952	2
Columba_oenas	5991	1952	0
Accipiter_nisus	5948	1952	0
Gadus_morhua	4483	1952	400
Clupea_pallasii	4480	1952	85.1
Ophiodon_elongatus	12799	1953	48302.8919
Xiphias_gladius	10967	1953	102371
Bubo_bubo	10478	1953	3
Haliaeetus_albicilla	8251	1953	20
Morus_bassanus	8146	1953	16910
Periparus_ater	6031	1953	0
Garrulus_glandarius	6014	1953	5
Emberiza_schoeniclus	6002	1953	0
Columba_palumbus	5992	1953	5
Columba_oenas	5991	1953	0
Accipiter_nisus	5948	1953	1
Gadus_morhua	4483	1953	419
Clupea_pallasii	4480	1953	84.8
Ophiodon_elongatus	12799	1954	47694.0639
Xiphias_gladius	10967	1954	94399.7
Bubo_bubo	10478	1954	3
Haliaeetus_albicilla	8251	1954	19
Periparus_ater	6031	1954	131
Garrulus_glandarius	6014	1954	7
Emberiza_schoeniclus	6002	1954	0
Columba_palumbus	5992	1954	4
Columba_oenas	5991	1954	0
Spatula_querquedula	5962	1954	1
Accipiter_nisus	5948	1954	1
Gadus_morhua	4483	1954	391
Clupea_pallasii	4480	1954	97
Ophiodon_elongatus	12799	1955	47328.7671
Xiphias_gladius	10967	1955	86908.1
Bubo_bubo	10478	1955	3
Haliaeetus_albicilla	8251	1955	19
Garrulus_glandarius	6014	1955	4
Emberiza_schoeniclus	6002	1955	0
