ID,min_year,max_year
278,1950,1994
297,1959,1996
2871,1966,2015
2880,1966,2015
2881,1966,2015
2884,1966,2015
2907,1966,2015
2908,1967,2015
2909,1966,2015
2911,1966,2015
2912,1967,2015
2913,1966,2015
2914,1966,2015
2915,1967,2015
2916,1966,2015
2917,1967,2015
2918,1967,2015
2919,1966,2015
2920,1966,2015
2921,1968,2007
2922,1966,2015
2923,1966,2015
2924,1966,2015
2925,1968,2015
2926,1968,2015
2927,1966,2015
2928,1966,2015
2929,1966,2015
2930,1968,2015
2931,1967,2015
2932,1968,2015
2933,1967,2015
2934,1966,2015
2941,1966,2015
2942,1968,2015
2948,1966,2015
2949,1967,2015
2954,1966,2015
2968,1966,2015
2969,1968,2015
2970,1966,2015
2971,1966,2015
2972,1967,2015
2973,1966,2015
2974,1966,2015
2975,1966,2015
2976,1967,2015
2977,1966,2015
2978,1966,2015
2979,1966,2015
2980,1967,2015
2981,1967,2015
2982,1966,2015
2983,1970,2015
2984,1966,2015
2985,1966,2015
2986,1968,2015
2987,1966,2015
2988,1968,2015
2989,1967,2015
2990,1966,2015
2991,1967,2015
2992,1968,2015
2993,1968,2015
2994,1968,2015
2995,1968,2015
2996,1968,2015
2997,1968,2015
2999,1967,2015
3000,1966,2015
3001,1968,2015
3002,1968,2015
3003,1967,2015
3004,1966,2015
3005,1968,2015
3006,1967,2015
3007,1968,2015
3008,1966,2015
3009,1966,2015
3010,1966,2015
3011,1968,2015
3012,1966,2015
3013,1966,2015
3014,1967,2015
3015,1966,2015
3016,1966,2015
3017,1966,2015
3018,1966,2015
3019,1968,2015
3020,1968,2015
3021,1967,2015
3022,1967,2015
3023,1966,2015
3024,1967,2015
3025,1967,2015
3026,1967,2015
3027,1966,2015
3028,1967,2015
3029,1967,2015
3030,1967,2015
3031,1966,2015
3032,1966,2015
3033,1967,2015
3034,1966,2015
3035,1966,2015
3036,1966,2015
3037,1967,2015
3038,1966,2015
3039,1967,2015
3040,1968,2015
3041,1966,2015
3042,1968,2015
3043,1966,2015
3044,1966,2015
3045,1966,2015
3046,1966,2015
3047,1968,2015
3048,1966,2015
3049,1967,2015
3050,1967,2015
3051,1967,2015
3052,1968,2015
3053,1967,2011
3054,1968,2015
3055,1966,2015
3056,1968,2015
3057,1966,2015
3058,1967,2015
3059,1966,2015
3060,1966,2015
3061,1966,2015
3062,1966,2015
3063,1967,2015
3064,1966,2015
3065,1966,2015
3066,1966,2015
3067,1967,2015
3068,1966,2015
3069,1966,2015
3070,1966,2015
3071,1968,2015
3072,1968,2015
3073,1966,2015
3074,1968,2015
3075,1968,2015
3076,1966,2005
3077,1967,2015
3078,1967,2015
3079,1966,2015
3080,1966,2015
3081,1968,2015
3082,1966,2015
3083,1966,2015
3084,1967,2015
3085,1967,2015
3086,1967,2015
3087,1966,2015
3088,1966,2015
3089,1966,2015
3090,1966,2015
3091,1966,2015
3094,1966,2015
3095,1966,2015
3096,1966,2015
3097,1967,2015
3098,1966,2015
3099,1967,2015
3100,1967,2015
3101,1967,2015
3102,1966,2015
3103,1966,2015
3104,1966,2015
3105,1966,2015
3106,1966,2015
3107,1968,2015
3108,1968,2015
3109,1966,2015
3110,1966,2015
3111,1968,2015
3112,1966,2015
3113,1967,2015
3114,1968,2015
3115,1967,2015
3116,1968,2015
3117,1967,2015
3118,1968,2015
3119,1966,2015
3120,1967,2015
3121,1966,2015
3122,1967,2015
3123,1966,2015
3124,1966,2015
3125,1966,2015
3126,1967,2015
3127,1966,2015
3128,1968,2015
3129,1968,2015
3130,1966,2015
3131,1966,2015
3132,1966,2015
3133,1966,2015
3134,1966,2015
3135,1966,2015
3136,1966,2015
3137,1968,2015
3138,1966,2015
3139,1968,2015
3140,1968,2015
3141,1966,2015
3142,1966,2015
3143,1968,2015
3144,1966,2015
3145,1966,2015
3146,1966,2015
3147,1966,2015
3148,1966,2015
3149,1966,2015
3150,1966,2015
3151,1966,2015
3152,1966,2015
3153,1966,2015
3154,1966,2015
3155,1966,2015
3156,1966,2015
3157,1966,2015
3158,1966,2015
3159,1966,2015
3160,1966,2015
3161,1967,2015
3162,1966,2015
