Binomial	ID	year	popvalue
Uta_stansburiana	8954	1960	46
Uta_stansburiana	8955	1961	72
Uta_stansburiana	8954	1961	64
Uta_stansburiana	8955	1962	64
Uta_stansburiana	8954	1962	54
Uta_stansburiana	8955	1963	57
Uta_stansburiana	8954	1963	39
Uta_stansburiana	8955	1964	110
Uta_stansburiana	8954	1964	81
Uta_stansburiana	8953	1966	57
Uta_stansburiana	8952	1966	52
Uta_stansburiana	8951	1966	67
Uta_stansburiana	8950	1966	74
Clemmys_guttata	10413	1967	127
Uta_stansburiana	8953	1967	50
Uta_stansburiana	8952	1967	70
Uta_stansburiana	8951	1967	88
Uta_stansburiana	8950	1967	94
Uta_stansburiana	8953	1968	23
Uta_stansburiana	8952	1968	38
Uta_stansburiana	8951	1968	42
Uta_stansburiana	8950	1968	62
Uta_stansburiana	8953	1969	14
Uta_stansburiana	8952	1969	24
Uta_stansburiana	8951	1969	58
Uta_stansburiana	8950	1969	38
Uta_stansburiana	8953	1970	32
Uta_stansburiana	8952	1970	55
Uta_stansburiana	8951	1970	52
Uta_stansburiana	8950	1970	55
Aneides_aeneus	919	1970	95
Uta_stansburiana	8953	1971	30
Uta_stansburiana	8952	1971	57
Uta_stansburiana	8951	1971	18
Uta_stansburiana	8950	1971	44
Ambystoma_cingulatum	4634	1971	7.9
Clemmys_guttata	10413	1972	233
Uta_stansburiana	8953	1972	28
Uta_stansburiana	8952	1972	54
Uta_stansburiana	8951	1972	22
Uta_stansburiana	8950	1972	38
Sceloporus_scalaris	25478	1973	14
Clemmys_guttata	10413	1973	222
Sceloporus_scalaris	25479	1974	26
Sceloporus_scalaris	25478	1974	23
Clemmys_guttata	10413	1974	258
Clemmys_insculpta	10409	1974	84
Plethodon_jordani	956	1974	25
Sceloporus_scalaris	25479	1975	23
Clemmys_insculpta	10409	1975	82
Lampropeltis_getula	8781	1975	7
Plethodon_jordani	957	1975	44
Plethodon_jordani	956	1975	32
Sceloporus_scalaris	25479	1976	18
Clemmys_insculpta	10409	1976	85
Lampropeltis_getula	8781	1976	10
Plethodon_jordani	957	1976	45
Plethodon_jordani	956	1976	30
Clemmys_insculpta	10409	1977	86
Lampropeltis_getula	8781	1977	17
Plethodon_jordani	957	1977	65
Plethodon_jordani	956	1977	37
Tantilla_planiceps	12004	1978	2
Rhinocheilus_lecontei	12003	1978	3
Pituophis_catenifer	12002	1978	75
Masticophis_lateralis	12001	1978	3
Masticophis_flagellum	12000	1978	3
Hypsiglena_torquata	11999	1978	0
Lampropeltis_getula	11998	1978	11
Diadophis_punctatus	11997	1978	3
Crotalus_viridis	11996	1978	19
Coluber_constrictor	11995	1978	4
Arizona_elegans	11994	1978	3
Clemmys_insculpta	10409	1978	89
Terrapene_ornata	8956	1978	25
Lampropeltis_getula	8781	1978	6
Plethodon_jordani	957	1978	70
Plethodon_jordani	956	1978	35
