ID,min_year,max_year
919,1970,1999
920,1987,1996
921,1988,1996
922,1988,1996
923,1989,1996
924,1990,1996
925,1986,1996
956,1974,1981
957,1975,1990
3590,1982,1997
3591,1983,1996
4306,1990,1995
4541,2001,2005
4634,1971,1991
4826,1984,2003
4828,1984,2005
4896,1991,1996
6240,1988,1993
6325,1984,1985
6361,1999,2000
7665,1984,1994
7666,1984,1994
7667,1984,1994
7668,1984,1994
7669,1984,1994
7671,1984,1994
7811,1993,1995
7813,1993,1995
8754,1982,1984
8777,1989,1994
8778,1989,1994
8781,1975,2005
8833,1979,1982
8950,1966,1972
8951,1966,1972
8952,1966,1972
8953,1966,1972
8954,1960,1964
8955,1961,1964
8956,1978,1986
9085,1999,2001
10409,1974,1991
10413,1967,1974
11953,2000,2006
11954,2000,2006
11955,2000,2006
11956,2000,2006
11957,2000,2006
11958,2000,2006
11959,2000,2006
11960,2000,2006
11961,2000,2006
11963,2000,2006
11964,2000,2006
11965,2000,2006
11966,2000,2006
11975,1991,2006
11976,1999,2009
11977,2001,2003
11981,1997,2009
11982,1997,2009
11983,1999,2009
11989,1995,2011
11990,1992,2009
11991,1984,2005
11992,1984,2005
11994,1978,1997
11995,1978,1997
11996,1978,1997
11997,1978,1997
11998,1978,1997
11999,1978,1997
12000,1978,1997
12001,1978,1997
12002,1978,1997
12003,1978,1997
12004,1978,1997
12385,2003,2004
12406,1997,1999
12407,1997,1999
12416,1998,1999
12517,1981,1982
12521,1990,2010
17682,2009,2010
17683,2009,2010
17685,2009,2010
17686,2009,2010
17687,2009,2010
17696,2002,2011
17715,2002,2008
17716,2003,2008
17717,2003,2008
17718,2002,2008
17719,2003,2008
17751,2009,2010
17752,2009,2010
17753,1989,1994
17914,2006,2014
17916,2011,2013
18036,2004,2015
18037,2004,2015
18038,2004,2015
18332,2008,2010
18341,1992,1994
18703,1997,2001
18704,1997,2001
18706,1997,2001
18707,1997,2001
18848,2001,2003
19645,1999,2015
19727,1994,1995
21319,1993,2007
22783,2004,2006
23385,2011,2015
23386,2003,2011
25297,2006,2014
25309,2004,2012
25312,2004,2012
25313,2005,2012
25314,2005,2013
25315,2004,2014
25478,1973,1974
25479,1974,1976
25500,1994,1995
25503,1994,1995
25504,1994,1995
25585,2013,2014
