ID,min_year,max_year
243,1975,1982
244,1976,1986
245,1994,1995
246,1991,1995
247,1976,1995
248,1977,1992
249,1976,1989
250,1989,1996
251,1992,1995
252,1991,1997
253,1950,1990
254,1973,1998
255,2000,2004
256,1984,1992
3252,1961,2000
3263,1961,2000
3342,1999,2002
4692,1975,1982
4693,1975,1982
4694,1985,1992
5641,1976,2003
5642,2000,2003
5782,1997,2000
5784,1997,2000
5786,1997,2000
5788,1997,2000
5789,1997,2000
5790,1997,2000
5791,1997,2000
5793,1997,2000
5794,1997,2000
5796,1997,2000
5940,1999,2000
6015,1978,1986
6165,1986,1994
6233,2000,2001
6234,2000,2001
6272,2000,2001
6273,2000,2001
6293,2000,2001
6294,2000,2001
6295,2000,2001
6296,2000,2001
6312,2000,2001
6313,2000,2001
6315,2000,2001
6316,2000,2001
6337,2000,2001
6338,2000,2001
6357,2000,2001
6358,2000,2001
6359,2000,2001
6360,2000,2001
6418,1998,2004
6419,1998,2004
7455,1987,1997
7459,1987,1997
7460,1987,1997
7461,1987,1997
7462,1992,1997
7466,1987,1992
7472,1992,1997
7477,1987,1997
7484,1987,1997
7490,1992,1997
7492,1987,1997
7496,1987,1992
7497,1987,1997
7501,1987,1992
7502,1992,1997
7503,1987,1997
7507,1987,1997
7508,1987,1992
7509,1987,1997
7510,1992,1997
7511,1992,1997
7512,1987,1992
7513,1987,1997
7514,1987,1997
7515,1987,1997
7516,1987,1997
7517,1987,1997
7518,1987,1997
7519,1987,1997
7520,1987,1997
7521,1987,1997
7522,1987,1992
7523,1992,1997
7524,1987,1997
7525,1987,1997
7526,1987,1997
7527,1987,1997
7528,1987,1997
7529,1987,1997
7530,1992,1997
7531,1987,1997
7532,1987,1997
7533,1987,1997
7534,1987,1997
7535,1987,1992
7536,1987,1997
7537,1987,1997
7538,1987,1997
7539,1987,1997
7540,1992,1997
7541,1987,1997
7542,1992,1997
7543,1987,1997
7544,1987,1997
7545,1987,1997
7546,1987,1997
7547,1987,1997
7548,1987,1997
7549,1987,1997
7550,1987,1997
7552,1987,1997
7553,1987,1997
7554,1987,1997
7556,1987,1992
7557,1987,1997
7558,1987,1997
7559,1987,1997
7560,1987,1997
7561,1987,1997
7562,1987,1997
7563,1987,1997
7564,1987,1997
7565,1987,1997
7566,1987,1997
7567,1987,1997
7568,1987,1997
7569,1987,1997
7570,1987,1997
7571,1987,1997
7572,1987,1997
7573,1992,1997
7574,1987,1997
7575,1987,1997
7576,1987,1997
7577,1987,1997
7578,1987,1997
7579,1987,1997
7580,1987,1997
7581,1992,1997
7582,1987,1997
7583,1987,1997
7584,1987,1997
7585,1987,1997
7586,1992,1997
7587,1987,1997
7588,1992,1997
7589,1987,1997
7590,1987,1997
7591,1992,1997
7592,1992,1997
7593,1992,1997
7594,1992,1997
7595,1987,1997
7596,1987,1997
7597,1987,1997
7598,1987,1997
7599,1987,1997
7600,1987,1997
7601,1987,1992
7602,1987,1997
7603,1987,1997
7604,1987,1997
7605,1987,1997
7606,1987,1997
7607,1992,1997
7608,1987,1997
7609,1987,1997
7610,1987,1997
7611,1987,1997
7612,1987,1997
7613,1987,1997
7614,1987,1997
7615,1987,1997
7616,1992,1997
7617,1987,1997
7619,1987,1997
7620,1987,1992
7621,1987,1997
7622,1987,1997
7623,1987,1997
7624,1987,1992
7625,1987,1997
7626,1987,1997
7627,1987,1997
7629,1987,1997
7630,1992,1997
7631,1992,1997
7632,1987,1997
7633,1987,1997
7634,1987,1997
7635,1987,1997
7636,1987,1997
7637,1987,1997
7638,1987,1992
7639,1987,1997
7640,1987,1997
7641,1987,1997
7642,1987,1997
7643,1987,1997
7644,1987,1997
7645,1987,1997
7646,1987,1997
7647,1987,1997
7648,1987,1997
7649,1987,1997
7650,1987,1997
7651,1987,1997
7652,1987,1997
7653,1987,1997
7654,1987,1992
7655,1987,1997
7657,1992,1997
7658,1987,1997
7659,1987,1997
8681,2000,2001
8701,1994,1995
8702,1994,1995
8703,1994,1995
8704,1994,1995
8705,1994,1995
8751,2000,2001
8770,1994,1997
8774,1994,1995
8780,1999,2001
8839,2004,2005
8843,2004,2005
8844,2004,2005
8846,2004,2005
8854,1996,2005
8857,1996,2005
8861,1996,2005
8863,2000,2004
8866,1996,2005
8869,1996,2005
8875,2003,2004
8878,1996,2005
8890,1995,1996
9042,1994,1998
9043,1994,1998
9047,1990,1991
9048,1990,1991
9049,1990,1991
9050,1990,1991
10499,2004,2007
10502,2004,2006
10504,2004,2007
10505,2004,2007
10559,2009,2010
10675,1992,1993
10913,2006,2008
11098,1994,2009
11099,1994,2009
11101,1994,2009
11102,1994,2009
11324,2002,2003
11556,1993,1997
11561,2002,2005
11563,2003,2004
11779,1998,2008
11780,1998,2008
11781,1998,2008
11782,1998,2008
11786,1998,2008
11788,1998,2008
11789,1998,2008
11790,1998,2008
11791,1998,2008
11792,1998,2008
11793,1998,2008
11795,1998,2008
11803,1998,2008
11805,1998,2008
11807,1998,2008
11810,1998,2008
11812,1998,2008
11814,1998,2008
11816,1998,2008
11818,1998,2008
11820,1998,2008
11821,1998,2008
11824,1998,2008
11827,1998,2008
11831,1998,2008
11833,1998,2008
11838,1998,2008
11840,1998,2008
11843,1998,2008
11846,1998,2008
12048,1999,2001
12139,1995,1999
12140,2000,2004
12177,1995,2002
12426,1993,2005
12428,2002,2005
12625,1995,2010
17803,1999,2010
18540,2001,2003
18563,2003,2014
18564,2003,2014
18565,2003,2014
18566,2003,2014
18567,2003,2014
18568,2003,2014
18569,2003,2014
18570,2003,2014
18571,2003,2014
18572,2003,2014
18573,2003,2014
18575,2003,2014
18576,2003,2014
18578,2003,2014
18579,2003,2014
18580,2003,2014
18581,2003,2014
18582,2003,2014
18583,2003,2014
18584,2003,2014
18585,2003,2014
18587,2003,2014
18605,2008,2009
18608,2008,2009
18609,2008,2009
18610,2008,2009
18612,2008,2009
18614,2008,2009
18616,2008,2009
18617,2008,2009
18631,2003,2006
18632,2003,2006
18633,2003,2006
18634,2003,2006
18636,1992,1994
18637,1992,1994
18638,1992,1994
18639,1992,1994
18641,1992,1994
18642,1992,1994
18643,1992,1994
18644,1992,1994
18645,1992,1994
18646,1992,1994
18648,1992,1994
18649,1992,1994
18651,1991,2012
18652,1991,2012
18653,1991,2012
18654,1991,2011
18655,1991,2012
18656,1991,2012
18657,1991,2012
18659,1992,1994
18660,1992,1994
18669,2000,2008
18672,2000,2008
18679,2005,2015
18690,2005,2015
18780,2010,2012
18781,2010,2012
18782,2010,2012
18808,1968,1969
18816,1968,1969
18819,1968,1969
18820,1968,1969
18823,1968,1969
18826,1968,1969
18889,2012,2015
19704,1997,2012
19710,1997,2012
19736,2005,2005
19767,2008,2014
