population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
253,1,-0.0370370370370372,-0.0370370370370372,-0.0370370370370368,-0.0370370370370372,-0.0370370370370372,-0.0370370370370368,-0.0370370370370372,0.039375643152221,0.0393756431522214,0.039375643152221,0.039375643152221,0.0393756431522214,0.039375643152221,0.039375643152221,0.039375643152221,0.0393756431522214,0.039375643152221,0.039375643152221,0.0393756431522214,0.039375643152221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3263,1,0.0316347372336878,0.0486986479476679,0.0854485948902095,0.115916129095583,0.0946222403750285,0.0046737310524767,-0.109522499118278,-0.166147042001749,-0.112747979961613,0.0245923048826109,0.157658940895827,0.204286080867542,0.146295967406102,0.0291545615320024,-0.0856700008492686,-0.163769325455968,-0.200175481373389,-0.195082089071771,-0.151433702385718,-0.0810085366532816,0.0132488542907927,0.113961175210167,0.151619245158987,0.1088457689005,0.00888215295416828,-0.0553059766038499,-0.0604772132542744,-0.0194591311627335,0.0164379730086734,0.0343865250944004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3252,1,0.061695615793262,-0.0994328494999963,-0.0927361856539375,0.0969155798164136,0.274958013584262,0.233837294150265,-0.0177573009303882,-0.246576396121965,-0.23153176223274,-0.000505111216996923,0.190003811252164,0.121074660447201,-0.153617802527188,-0.355762251775829,-0.270835869730648,0.0160046468697717,0.228969768147147,0.303099838877559,0.254738938244689,0.149263382984304,0.00301725228025651,-0.156930095693346,-0.222301228238126,-0.16602678718073,-0.02570823061698,0.048248609064522,0.0182422737666088,-0.0909572901093516,-0.180270296960935,-0.224926800386176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18826,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18823,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18820,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18819,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18816,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18808,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
254,1,-1,-1,-1,-0.012660098044019,0.00605537476219675,0.0299730689709192,0.0392209170631455,0.0303835765166387,0.010467901303769,-0.00483234677395927,-0.002928843899483,0.0155670265800498,0.037351126387883,0.0471837934227406,0.0417396315166214,0.0220418676905625,-0.00345952873935307,-0.0225389130917404,-0.0266439900614095,-0.014544513983795,0.0107760509202393,0.035532962560707,0.0475982591023141,0.0445356901184109,0.0326800630425774,0.0207007886734756,0.0136139494331817,0.011532613276976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
255,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0208865128625186,-0.0208865128625186,-0.0208865128625189,-0.0208865128625186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4693,1,-1,-1,-1,-1,-1,-0.00014876828947985,-0.000148768289480294,-0.00014876828947985,-0.000148768289480294,-0.00014876828947985,-0.00014876828947985,-0.000148768289480294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4692,1,-1,-1,-1,-1,-1,0.0107682729500413,0.0107682729500413,0.0107682729500413,0.0107682729500413,0.0107682729500413,0.0107682729500413,0.0107682729500413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7658,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.139794000867204,-0.139794000867204,-0.139794000867204,-0.139794000867204,-0.139794000867204,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
243,1,-1,-1,-1,-1,-1,-0.11371580179835,-0.11371580179835,-0.11371580179835,-0.11371580179835,-0.11371580179835,-0.11371580179835,-0.11371580179835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
247,1,-1,-1,-1,-1,-1,-1,0.00827853703164516,0.00827853703164472,0.00827853703164516,0.00827853703164516,0.00827853703164472,0.148939013012066,0.00938875161084551,0.00938875161084551,0.00938875161084551,0.00938875161084551,-0.00625916774056368,-0.00625916774056368,-0.00625916774056368,-0.00625916774056368,-0.00625916774056368,-0.00625916774056368,-0.0324252162348486,-0.0324252162348486,-0.241819830546977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,1,-1,-1,-1,-1,-1,-1,-0.253813124213389,-0.25381312421339,-0.253813124213389,-0.25381312421339,-0.25381312421339,-0.25381312421339,-0.159040418239887,-0.159040418239888,-0.159040418239887,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6165,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0409349541026893,0.0412869949555392,0.041938315040893,0.0427106299645312,0.0434054442062721,0.0439037555851112,0.0441869515311648,0.0443007715451875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
246,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0779384652639386,0.0779384652639386,0.0779384652639386,0.0779384652639386,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
245,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0362121726544449,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5641,1,-1,-1,-1,-1,-1,-1,-0.0384068620332774,-0.0384068620332769,-0.0384068620332769,-0.0384068620332774,-0.0384068620332774,-0.0384068620332769,-0.0384068620332774,-0.0384068620332769,-0.0384068620332774,-0.0384068620332769,-0.0384068620332774,-0.0384068620332769,-0.0384068620332769,-0.0384068620332774,-0.0384068620332769,-0.0384068620332774,-0.0384068620332774,-0.0384068620332769,-0.0384068620332769,-0.0384068620332774,-0.0384068620332774,-0.0384068620332769,-0.0384068620332774,-0.0384068620332769,-0.0384068620332774,-0.0384068620332769,0.223548534494251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5642,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.142667503568731,-1.25527250510331,0.653212513775344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
249,1,-1,-1,-1,-1,-1,-1,-0.0250572900878252,-0.0250572900878252,-0.0250572900878252,-0.0250572900878252,-0.0250572900878248,-0.0250572900878252,-0.0250572900878252,-0.0250572900878252,-0.0250572900878252,-0.0250572900878252,0.26747925543701,0.26747925543701,-0.079831549860526,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
