"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Accipiter_striatus","Accipiter_striatus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0316926785166221,-0.0316926785166225,-0.0316926785166225,-0.0316926785166221,-0.0316926785166225,-0.0316926785166225,-0.0316926785166221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agelaius_xanthomus","Agelaius_xanthomus",26,1,NA,NA,NA,NA,NA,-0.11371580179835,-0.119750129660032,-0.119750129660032,-0.119750129660032,-0.119750129660031,-0.119750129660032,-0.0728633043332245,-0.074825833314521,-0.074825833314521,-0.074825833314521,0.00469437580542276,0.0173378931810628,0.0175139136074878,0.0178395736501646,0.0182257311119838,0.0185731382328542,0.0385276843694954,0.0299000668534182,0.0299380068580925,-0.066697845979161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alopochelidon_fucata","Alopochelidon_fucata",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215836249209525,0.215836249209525,0.215836249209525,0.215836249209525,0.215836249209525,-0.0115983893955371,-0.0115983893955374,-0.0115983893955374,-0.0115983893955374,-0.0115983893955374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amazilia_candida","Amazilia_candida",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0937034255907547,-0.0937034255907547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amazilia_lactea","Amazilia_lactea",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0954242509439325,0.0954242509439326,0.0954242509439325,0.0954242509439325,0.0954242509439325,-0.0416551884854166,-0.0416551884854164,-0.0416551884854166,-0.0416551884854164,-0.0416551884854166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amazilia_versicolor","Amazilia_versicolor",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0693574972449313,-0.0693574972449313,-0.0693574972449311,-0.0693574972449313,-0.0693574972449312,-0.0954242509439325,-0.0954242509439325,-0.0954242509439325,-0.0954242509439326,-0.0954242509439324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amazona_arausiaca","Amazona_arausiaca",3,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774509799928715,0.0774509799928715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amazona_auropalliata","Amazona_auropalliata",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113943352306837,0.0310739533744222,0.0310739533744224,0,0,0,NA
"Amazona_barbadensis","Amazona_barbadensis",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0536662305658404,0.0536662305658409,0.0536662305658409,0.0536662305658409,0.0536662305658409,0.0536662305658404,0.0536662305658409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amazona_leucocephala","Amazona_leucocephala",15,1,NA,NA,NA,NA,NA,NA,-0.0250572900878252,-0.0250572900878252,-0.0250572900878252,-0.0250572900878252,-0.0250572900878248,-0.0250572900878252,-0.0250572900878252,-0.0250572900878252,-0.0250572900878252,-0.0250572900878252,0.26747925543701,0.26747925543701,-0.079831549860526,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.211821223191732,-0.0383287483445285,-0.518447130481262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
