Binomial	ID	year	popvalue
Atelopus_ignescens	5797	1967	0.38
Cyclura_pinguis	264	1968	2.03
Chiropterotriton_dimidiatus	21236	1971	15.4545
Chiropterotriton_multidentatus	21235	1971	29.9091
Anolis_apletophallus	17697	1971	4.37
Anolis_limifrons	2372	1971	80
Pseudoeurycea_nigromaculata	21241	1972	3.6702
Parvimolge_townsendi	21240	1972	0.8546
Thorius_pennatulus	21238	1972	1.6912
Chiropterotriton_dimidiatus	21236	1972	10.8182
Chiropterotriton_multidentatus	21235	1972	44.3636
Anolis_apletophallus	17697	1972	3.94
Anolis_limifrons	2372	1972	55
Craugastor_bransfordii	19567	1973	30
Craugastor_talamancae	19553	1973	1
Hypopachus_pictiventris	19552	1973	8
Oophaga_pumilio	19551	1973	26
Strabomantis_biporcatus	19511	1973	3
Anolis_apletophallus	17697	1973	3.7
Anolis_limifrons	2372	1973	40
Pseudoeurycea_nigromaculata	21241	1974	0.431
Parvimolge_townsendi	21240	1974	0.054
Thorius_pennatulus	21238	1974	5.8021
Chiropterotriton_dimidiatus	21236	1974	34.5455
Chiropterotriton_multidentatus	21235	1974	37.8182
Pseudoeurycea_unguidentis	21233	1974	2.3636
Pseudoeurycea_smithi	21230	1974	56.9091
Craugastor_bransfordii	19567	1974	44
Craugastor_talamancae	19553	1974	0
Hypopachus_pictiventris	19552	1974	6
Oophaga_pumilio	19551	1974	31
Strabomantis_biporcatus	19511	1974	3
Anolis_apletophallus	17697	1974	3.78
Anolis_limifrons	2372	1974	45
Pseudoeurycea_goebeli	25663	1975	3.07
Pseudoeurycea_rex	25662	1975	1.15
Pseudoeurycea_brunnata	25659	1975	1.69
Pseudoeurycea_brunnata	25657	1975	0.18
Dendrotriton_bromeliacius	21252	1975	20.688
Bolitoglossa_lincolni	21251	1975	5.2038
Bolitoglossa_morio	21250	1975	1.2489
Pseudoeurycea_brunnata	21249	1975	36.843
Pseudoeurycea_goebeli	21248	1975	64.2498
Dendrotriton_bromeliacius	21247	1975	2.8448
Bolitoglossa_lincolni	21246	1975	2.2897
Bolitoglossa_morio	21245	1975	0.9714
Pseudoeurycea_goebeli	21244	1975	4.6487
Bolitoglossa_rostrata	21243	1975	56.7563
Pseudoeurycea_rex	21242	1975	77.7797
Pseudoeurycea_unguidentis	21233	1975	6.7273
Pseudoeurycea_smithi	21230	1975	91.2727
Anolis_apletophallus	17697	1975	3.24
Anolis_limifrons	2372	1975	23
Cyclura_cornuta	263	1975	2000
Pseudoeurycea_nigromaculata	21241	1976	0.3688
Parvimolge_townsendi	21240	1976	0.8546
Thorius_pennatulus	21238	1976	1.6912
Chiropterotriton_dimidiatus	21236	1976	0.4545
Chiropterotriton_multidentatus	21235	1976	5.6364
Pseudoeurycea_unguidentis	21233	1976	1.8182
Pseudoeurycea_smithi	21230	1976	28
Anolis_apletophallus	17697	1976	5.1
Anolis_limifrons	2372	1976	115
Anolis_stratulus	25461	1977	8
Anolis_evermanni	25460	1977	18
Anolis_gundlachi	25459	1977	69
Anolis_apletophallus	17697	1977	4.62
Anolis_limifrons	2372	1977	75
Anolis_apletophallus	17697	1978	4.98
Anolis_limifrons	2372	1978	155
Chiropterotriton_dimidiatus	21236	1979	0.7273
Chiropterotriton_multidentatus	21235	1979	1.5455
Anolis_limifrons	2372	1979	62
Pseudoeurycea_unguidentis	21233	1980	1.2727
Pseudoeurycea_smithi	21230	1980	28
Anolis_limifrons	2372	1980	55
Anolis_stratulus	21261	1981	11
Anolis_evermanni	21260	1981	78
Anolis_gundlachi	21259	1981	560
Chiropterotriton_dimidiatus	21236	1981	3.1818
Chiropterotriton_multidentatus	21235	1981	0.4545
Pseudoeurycea_unguidentis	21233	1981	1.2727
Pseudoeurycea_smithi	21230	1981	7.8182
Anolis_apletophallus	17697	1981	3.94
Atelopus_ignescens	5799	1981	0.34
Anolis_limifrons	2372	1981	35
Pseudoeurycea_nigromaculata	21241	1982	2.024
Parvimolge_townsendi	21240	1982	0.054
Thorius_pennatulus	21238	1982	0.072
Chiropterotriton_dimidiatus	21236	1982	2.0909
Chiropterotriton_multidentatus	21235	1982	0.7273
Anolis_apletophallus	17697	1982	3.36
Anolis_limifrons	2372	1982	28
Pseudoeurycea_nigromaculata	21241	1983	0
Parvimolge_townsendi	21240	1983	0
Thorius_pennatulus	21238	1983	0
Rhinella_dapsilis	8927	1983	0.0194
Allobates_marchesianus	8926	1983	0.0651
Adenomera_andreae	8925	1983	1.3569
Anolis_limifrons	2391	1983	12.1
Anolis_limifrons	2390	1983	10.8
Anolis_limifrons	2389	1983	12.1
Anolis_limifrons	2388	1983	1.9
Anolis_limifrons	2387	1983	3.6
Anolis_limifrons	2386	1983	1.5
Anolis_limifrons	2385	1983	0.2
Anolis_limifrons	2384	1983	2.6
Anolis_limifrons	2383	1983	0
Anolis_limifrons	2382	1983	1.9
Anolis_limifrons	2381	1983	0.8
Anolis_limifrons	2380	1983	0
Anolis_limifrons	2379	1983	0.8
Anolis_limifrons	2378	1983	0.3
Anolis_limifrons	2377	1983	13.2
Anolis_limifrons	2376	1983	8.3
Anolis_limifrons	2375	1983	4
Anolis_limifrons	2374	1983	4.2
Anolis_limifrons	2373	1983	9.6
Anolis_limifrons	2372	1983	2
Pseudoeurycea_unguidentis	21233	1984	1.8182
Pseudoeurycea_smithi	21230	1984	1.8182
Anolis_apletophallus	17697	1984	0.1
Rhinella_dapsilis	8927	1984	0
Allobates_marchesianus	8926	1984	0.1231
Adenomera_andreae	8925	1984	0.3629
Liolaemus_lutzae	8693	1984	21.2
Anolis_limifrons	2391	1984	14.3
Anolis_limifrons	2390	1984	7
Anolis_limifrons	2389	1984	3.8
Anolis_limifrons	2388	1984	2.5
Anolis_limifrons	2387	1984	3.7
Anolis_limifrons	2386	1984	0.6
Anolis_limifrons	2385	1984	0.4
Anolis_limifrons	2384	1984	4.9
Anolis_limifrons	2383	1984	0.5
Anolis_limifrons	2382	1984	0.3
Anolis_limifrons	2381	1984	1.9
Anolis_limifrons	2380	1984	0.3
Anolis_limifrons	2379	1984	0.5
Anolis_limifrons	2378	1984	1.1
Anolis_limifrons	2377	1984	7.1
Anolis_limifrons	2376	1984	3.3
Anolis_limifrons	2375	1984	3.1
Anolis_limifrons	2374	1984	3.8
Anolis_limifrons	2373	1984	7.9
Anolis_limifrons	2372	1984	3
Liolaemus_gracilis	10917	1985	6.7
Liolaemus_multimaculatus	10916	1985	7.3
Rhinella_proboscidea	10846	1985	2.67
Rhinella_proboscidea	10845	1985	0.1
Anomaloglossus_stepheni	10844	1985	1
Anomaloglossus_stepheni	10843	1985	0.61
Anomaloglossus_stepheni	10842	1985	0.2
Allobates_marchesianus	10840	1985	0.24
Pristimantis_fenestratus	10839	1985	0.2
Pristimantis_fenestratus	10837	1985	0.24
Adenomera_andreae	10835	1985	1.8
Adenomera_andreae	10834	1985	1.21
Adenomera_andreae	10832	1985	0.4
Anolis_limifrons	2391	1985	9.6
Anolis_limifrons	2390	1985	7.6
Anolis_limifrons	2389	1985	4.6
Anolis_limifrons	2388	1985	6.1
Anolis_limifrons	2387	1985	7.6
Anolis_limifrons	2385	1985	1.5
Anolis_limifrons	2384	1985	6.1
Anolis_limifrons	2383	1985	3.2
Anolis_limifrons	2382	1985	2
Anolis_limifrons	2381	1985	6.8
Anolis_limifrons	2380	1985	2
Anolis_limifrons	2379	1985	1.4
Anolis_limifrons	2378	1985	1.5
Anolis_limifrons	2377	1985	8.6
Anolis_limifrons	2376	1985	9
Anolis_limifrons	2375	1985	6.5
Anolis_limifrons	2374	1985	1.3
Anolis_limifrons	2373	1985	5.1
Anolis_limifrons	2372	1985	3
Anolis_apletophallus	17697	1986	3.3
Pristimantis_toftae	6241	1986	0.25
Phyllomedusa_vaillantii	6238	1986	0.645
Trachycephalus_coriaceus	6237	1986	1.235
Dendropsophus_sarayacuensis	6211	1986	0.47
Anolis_limifrons	2391	1986	14.7
Anolis_limifrons	2390	1986	16.2
Anolis_limifrons	2389	1986	5.2
Anolis_limifrons	2387	1986	5.8
Anolis_limifrons	2385	1986	5.1
Anolis_limifrons	2384	1986	5.8
Anolis_limifrons	2383	1986	1.3
Anolis_limifrons	2382	1986	8.5
Anolis_limifrons	2381	1986	4.2
Anolis_limifrons	2380	1986	3.1
Anolis_limifrons	2379	1986	3.7
Anolis_limifrons	2378	1986	3.9
Anolis_limifrons	2377	1986	4.2
Anolis_limifrons	2376	1986	19.2
Anolis_limifrons	2375	1986	12.1
Anolis_limifrons	2374	1986	5.8
Anolis_limifrons	2373	1986	7.4
Anolis_limifrons	2372	1986	25
Eleutherodactylus_coqui	19732	1987	36
Anolis_sagrei	18730	1987	5.3
Anolis_lineatopus	18666	1987	1.1
Anolis_grahami	18665	1987	3.4
Anolis_apletophallus	17697	1987	3.75
Eleutherodactylus_coqui	6220	1987	55
Anolis_limifrons	2372	1987	42
Eleutherodactylus_coqui	19732	1988	23
Anolis_apletophallus	17697	1988	3.92
Homonota_fasciata	10923	1988	0.039
