ID,min_year,max_year
263,1975,1995
264,1968,1991
2372,1971,1989
2373,1983,1986
2374,1983,1986
2375,1983,1986
2376,1983,1986
2377,1983,1986
2378,1983,1986
2379,1983,1986
2380,1983,1986
2381,1983,1986
2382,1983,1986
2383,1983,1986
2384,1983,1986
2385,1983,1986
2386,1983,1984
2387,1983,1986
2388,1983,1985
2389,1983,1986
2390,1983,1986
2391,1983,1986
5797,1967,2000
5799,1981,2000
6211,1986,1990
6220,1987,1995
6237,1986,1990
6238,1986,1990
6241,1986,1990
7832,1990,2007
7833,1990,2007
7834,1990,2000
7835,1990,2000
7836,1990,2001
7837,1990,2007
7970,2005,2007
7971,1997,2007
7972,1997,2007
7973,1997,2007
7974,1999,2006
7975,1999,2005
7976,1997,2007
7977,1999,2007
7978,1997,2006
7979,1997,2007
7980,1997,2007
7981,1999,2007
7983,1997,2007
7984,2005,2007
7985,1997,2007
7986,1998,2005
7987,1997,2007
7988,1998,2005
7989,1997,2005
7990,2000,2005
7991,1998,2007
7992,1997,2006
7993,2002,2007
7994,1997,2005
7995,1997,2007
7996,2005,2007
7997,1997,2007
7998,1998,2007
8693,1984,2006
8925,1983,1984
8926,1983,1984
8927,1983,1984
10393,1995,2005
10531,1995,2004
10832,1985,2007
10834,1985,2007
10835,1985,2007
10837,1985,2007
10839,1985,2007
10840,1985,2007
10842,1985,2007
10843,1985,2007
10844,1985,2007
10845,1985,2007
10846,1985,2007
10916,1985,1995
10917,1985,1995
10918,1988,1989
10919,1988,1989
10920,1988,1989
10921,1988,1989
10922,1988,1989
10923,1988,1989
10931,2001,2003
10932,2001,2003
10935,2007,2008
10936,1996,1998
10938,1993,1994
11498,1998,1999
11501,1998,1999
11504,1998,1999
11505,1998,1999
11506,1998,1999
11507,1998,1999
11508,1998,1999
11509,1998,1999
11510,1998,1999
11511,1998,1999
11942,1996,2000
17650,2002,2005
17651,1999,2005
17697,1971,2010
17710,2002,2010
18344,2001,2002
18665,1987,2000
18666,1987,2000
18730,1987,2000
19510,2000,2001
19511,1973,1974
19521,2007,2009
19551,1973,1974
19552,1973,1974
19553,1973,1974
19558,2005,2006
19561,1997,1998
19562,1997,1998
19563,2007,2009
19564,2007,2009
19565,2007,2009
19567,1973,1974
19568,2007,2009
19569,2007,2009
19570,2007,2009
19571,2007,2009
19577,1997,1998
19671,2007,2009
19672,2007,2009
19673,2007,2009
19674,2007,2009
19675,2009,2010
19677,2010,2011
19682,2007,2009
19685,2008,2009
19686,2008,2009
19687,2009,2010
19688,2008,2009
19689,2008,2009
19690,2007,2009
19724,2007,2009
19732,1987,1995
19735,1989,1995
19737,1989,1995
19776,2007,2009
19789,2009,2010
19790,2008,2009
19791,2007,2009
19793,1997,1998
19796,2008,2009
19798,2008,2009
21230,1974,1999
21233,1974,1999
21235,1971,1997
21236,1971,1997
21238,1972,1999
21240,1972,1999
21241,1972,1999
21242,1975,2006
21243,1975,2006
21244,1975,2006
21245,1975,2006
21246,1975,2006
21247,1975,2006
21248,1975,2006
21249,1975,2006
21250,1975,2006
21251,1975,2006
21252,1975,2006
21259,1981,1990
21260,1981,1990
21261,1981,1990
21262,1989,1990
21265,2001,2010
25310,1999,2012
25311,2002,2007
25455,2005,2006
25456,2005,2006
25457,2005,2006
25459,1977,2012
25460,1977,2012
25461,1977,2012
25511,2008,2015
25514,1998,1999
25604,2003,2008
25606,2003,2008
25607,2003,2008
25610,2003,2008
25612,2003,2008
25613,2003,2008
25632,1997,2000
25643,2002,2009
25644,2002,2009
25647,2002,2009
25651,2002,2009
25657,1975,2006
25659,1975,2006
25662,1975,2006
25663,1975,2006
26467,2003,2008
26468,2003,2008
26469,2003,2008
26473,2003,2008
26474,2003,2008
26476,2003,2008
26478,2003,2008
26486,2003,2008
26487,2003,2008
26488,2003,2008
26489,2003,2008
26490,2003,2008
26491,2003,2008
26492,2003,2008
26493,2003,2008
26494,2003,2008
26499,2003,2008
