ID,min_year,max_year
257,1976,1988
258,1975,1983
259,1972,1995
260,1983,1997
261,1973,1994
262,1976,1986
4597,1987,1997
4599,1987,1997
4600,1987,1997
4601,1987,1997
4602,1987,1997
4603,1987,1997
4610,1991,1993
4612,1991,1993
4876,1975,1992
4887,1980,1998
5631,1970,1999
5632,1972,1999
5633,1972,1999
5767,1990,1994
5772,1990,1994
5776,1990,1994
5779,1990,1994
5813,1990,1994
5899,1990,1994
5901,1990,1994
5902,1990,1994
5903,1990,1994
5906,1990,1994
5908,1990,1994
5911,1990,1994
5912,1990,1994
5913,1990,1994
5914,1990,1994
5915,1990,1994
5916,1990,1994
5917,1990,1994
5923,1997,1998
5926,1989,1993
5928,1989,1993
6425,1997,2002
6468,1979,1986
6473,1993,1994
8548,1983,2002
8682,1992,1999
8686,1992,1999
8688,1992,1999
8690,2004,2006
8706,2003,2004
8707,2003,2004
8708,1987,1996
8712,2002,2006
8715,2002,2006
8719,2002,2006
8721,2002,2006
8722,2002,2004
8732,1979,1999
8753,1998,1999
8755,1998,1999
8756,1998,1999
8758,1998,1999
8759,1998,1999
8760,1998,1999
8823,2001,2006
8824,2001,2005
8826,1991,1992
8828,1991,1992
8829,1991,1992
8830,1991,1992
8831,1991,1992
8832,1991,1992
8834,1991,1992
8996,1990,2007
8997,1990,2007
9002,1989,1993
9003,1989,1993
9040,1964,2003
9044,1982,2005
9244,1982,1994
10507,2004,2007
10509,2004,2007
10510,2004,2007
10512,2004,2007
10519,2004,2007
10520,2004,2006
10914,1982,2003
10915,1981,2005
10939,1991,2001
10942,1966,2003
10964,1989,2006
11097,2006,2008
11298,1985,2007
11446,1972,1982
11559,1980,1994
11619,1982,1986
11621,1951,1959
11801,2006,2008
11804,2006,2008
11809,2006,2008
14542,1978,2000
14834,1992,2003
14939,1981,1989
14940,2004,2011
14941,2009,2010
14942,2008,2009
14944,2009,2010
14945,2008,2011
14957,1991,1992
14973,2006,2010
18241,1997,2009
18251,2006,2007
18272,2006,2009
18283,1999,2001
18295,2003,2004
18301,1999,2001
18302,1999,2001
18304,2001,2007
18314,1973,2000
18483,2005,2007
18484,2002,2003
18485,2002,2003
18495,2005,2015
18500,2005,2006
18517,1974,1975
18518,1974,1975
18519,1974,1975
18520,1974,1975
18521,2005,2015
18536,1993,1994
18537,1993,1994
18538,1993,1994
18539,2001,2003
18559,2002,2004
18560,2002,2004
18574,2003,2004
18577,2003,2004
18586,2003,2004
18603,2003,2006
18604,2003,2006
18606,2003,2006
18607,2003,2006
18611,2003,2006
18613,2003,2006
18615,2003,2006
18619,2000,2013
18620,1997,2013
18621,2003,2006
18622,1997,2013
18623,2003,2006
18624,1997,2013
18625,2003,2006
18626,1997,2013
18627,2003,2006
18628,2003,2006
18629,2003,2006
18630,2003,2006
18640,2006,2007
18647,2006,2007
18650,2006,2007
18658,1996,1999
18667,2010,2011
18673,2006,2015
18674,2005,2015
18676,2005,2015
18678,2005,2015
18681,2005,2015
18683,2005,2015
18685,2005,2015
18686,2005,2015
18691,2005,2015
18692,2005,2015
18693,2005,2015
18694,2005,2015
18729,1994,1995
18736,1994,1995
18738,1994,1995
18741,1994,1995
18742,1994,1995
18743,1994,1995
18786,2009,2010
18792,2006,2007
18793,2006,2007
18796,2006,2007
18803,1995,1996
18805,1994,1995
18831,1994,1995
18833,1994,1995
18860,2004,2005
18862,2004,2005
18877,2008,2012
18878,2008,2012
18880,2008,2012
18882,2008,2012
18885,2008,2012
18892,2009,2015
19509,2006,2007
19524,2005,2009
19530,2004,2008
19549,2005,2009
19566,2005,2009
19691,2012,2015
19692,2012,2015
19706,2005,2009
19712,2013,2015
19795,2004,2006
25553,2000,2012
25554,2000,2012
25555,2000,2012
25556,2000,2012
25557,2000,2012
