ID,min_year,max_year
265,1966,2004
266,1970,2000
267,1974,2004
268,1960,1977
269,1950,1978
270,1966,2004
271,1975,1998
272,1984,1997
273,1978,1997
274,1989,1997
275,1978,1997
276,1982,1994
277,1983,2005
279,1950,1991
280,1960,1995
281,1982,1994
282,1960,1977
283,1975,1994
284,1975,1998
285,1975,1998
286,1983,1992
287,1986,1996
288,1979,2003
289,1955,2006
290,1981,1995
291,1968,1996
292,1955,1996
293,1966,2000
294,1988,1999
295,1970,1990
296,1990,1995
298,1960,1996
299,1972,1996
300,1950,1993
301,1989,1997
302,1983,1995
303,1970,2000
304,1966,2004
305,1975,1998
306,1973,1992
307,1982,1992
308,1973,1992
310,1978,1997
311,1979,1997
312,1975,1998
313,1975,1998
314,1963,1982
315,1975,1998
316,1975,1998
317,1970,1997
318,1975,1998
319,1975,1998
320,1975,1998
321,1975,1998
322,1975,1998
323,1975,1998
324,1995,2000
325,1991,2000
326,1991,2000
327,1991,2000
328,1992,2000
329,1993,2000
330,1991,2000
331,1994,2000
332,1991,2000
333,1991,2000
334,1991,2000
335,1994,2000
336,1970,1993
337,1978,2000
338,1989,2000
339,1975,1998
340,1975,1998
341,1958,1988
342,1966,2004
343,1975,1998
344,1984,1996
345,1970,2000
346,1966,2004
347,1975,1998
348,1978,1997
349,1978,1997
350,1975,1998
351,1961,1991
352,1970,1998
353,1966,2004
354,1975,1998
355,1981,1996
356,1978,1995
357,1975,1998
358,1963,1982
359,1975,1998
360,1980,1999
361,1977,1988
362,1982,1994
363,1980,1994
364,1984,1994
365,1980,1994
366,1983,1997
367,1982,1994
368,1975,1998
369,1975,1998
370,1975,1998
371,1970,1996
372,1975,1998
373,1986,1997
374,1960,1977
375,1975,1998
376,1975,1998
377,1990,2001
378,1990,2001
379,1990,2001
380,1990,2001
381,1990,2001
382,1990,2001
383,1966,2004
384,1951,1980
385,1970,2000
386,1975,1998
387,1963,1982
388,1960,1977
389,1966,2004
390,1975,1998
391,1970,1999
392,1975,1998
393,1991,2000
394,1991,2000
395,1991,2000
396,1991,2000
397,1991,2000
398,1991,2000
399,1991,2000
400,1991,2000
401,1991,2000
402,1975,1998
403,1983,1995
404,1975,1998
