ID,min_year,max_year
640,1980,1982
6961,1991,1998
7112,1989,2003
7114,1989,2003
7115,1989,2003
8827,1996,2000
10388,1997,2009
10389,1997,2009
10390,1993,2009
10391,1995,2009
10394,1994,2009
10395,1997,2009
10396,1997,2009
10397,1995,2009
10398,1989,2008
10399,1989,2009
10400,1987,2008
10402,1987,2008
10408,2002,2003
10410,1974,1981
11950,2005,2009
11951,2005,2009
12005,1982,1990
12006,1982,1990
12007,1981,2010
17688,1994,2005
17689,1994,2005
17690,1988,2004
17691,1988,2004
17692,2002,2007
17693,2002,2007
17694,2002,2007
17711,1980,2005
17712,1999,2006
17756,1992,2013
17757,1992,2013
17758,1992,2013
18829,1992,1993
18830,1992,1993
18832,1992,1993
18834,1992,1993
19094,1994,2015
19095,1994,2015
19096,1994,2015
19097,1994,2015
19098,1995,2015
19099,1994,2015
19100,1994,2015
19620,1999,2013
21267,2005,2015
21268,2005,2015
21269,2005,2015
23087,1980,1999
23571,1974,2015
23572,1979,1983
23657,1976,1990
25400,1978,1981
