"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Acanthodactylus_scutellatus","Acanthodactylus_scutellatus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120176837183676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anguis_fragilis","Anguis_fragilis",22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096238194315815,0.105494176282804,0.110933100631361,0.0991154069305158,0.071397112441848,0.0411172386259366,0.0189472964704289,0.00591481574057218,-0.000628807603555881,-0.000346261723061403,0.00786695449377683,0.0203569443075193,0.0295944401336317,0.0304510242339036,0.0232977800730252,0.0113151562892124,-0.00240432917912337,-0.0145354863567393,-0.0214840231587687,-0.0223309973851307,-0.0206159402525676
"Bufo_bufo","Bufo_bufo",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.200400896022024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coronella_austriaca","Coronella_austriaca",35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0946607141138274,0.0883288784775043,0.0774022574864563,0.0520625458773627,0.0319769130593981,0.0058619865952757,-0.0139784581615503,-0.022808916502621,-0.0270342192494467,-0.0350046385526553,-0.045863078326305,-0.0491672002007549,-0.0365112103451108,-0.0127961883338483,0.00662364549530392,-0.0201713057904485,-0.0101992183562443,0.000952417948271833,0.0132084828676038,0.0246101482875618,0.0313645304147636
"Elaphe_dione","Elaphe_dione",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.380211241711606,0.414973347970818,-0.159700842867512,0.0457574905606751,NA,NA,NA,NA,NA,NA
"Elaphe_quatuorlineata","Elaphe_quatuorlineata",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euleptes_europaea","Euleptes_europaea",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.187990482355389,0.0177287669604318,-0.356547323513813,0.389971079000762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hierophis_viridiflavus","Hierophis_viridiflavus",28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0829909374356566,-0.0822365772618652,-0.031950278324437,-0.0302171181823273,-0.0266980854601134,-0.0213672167660183,-0.0155740823784731,-0.0107293389390615,-0.00673241913700318,-0.00245037395929726,0.00233580906419451,0.00633379962969938,0.00836491581383181,0.00881546993995408,NA,NA,NA,NA,NA,NA
"Lacerta_agilis","Lacerta_agilis",120,1,NA,NA,NA,NA,0.0947812406207531,0.103148180118007,0.11160049949208,0.104418901873217,0.0724684789486942,-0.159998853146888,-0.00912911898924151,-0.022786307839354,0.0706167653974021,-0.0864760425949572,-0.106995948879077,-0.108874924474185,-0.0849255102882581,-0.0492793701910501,-0.0467055877351005,-0.0610912261716601,-0.0826921828389874,-0.0977745739062584,-0.112260428731343,-0.135012743702785,-0.0617529738254101,-0.0434769742569541,-0.00324191438554877,0.034904812547664,0.0645479754844829,0.0843726281933141,0.0906218201295002,0.0898418334203815,0.082472835579711,0.0706761388533032,0.0813658867836559,0.0536612174734567,0.00652924360048718,-0.0466900810880419,-0.0951503207065073,-0.121611298652403,-0.123672908572674,-0.123137103670091,-0.144838048482207,-0.186340228550379,-0.218467097713731
"Lacerta_bilineata","Lacerta_bilineata",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.17338358985636,0,0.123578545080853,0.241282947891552,NA,NA,NA,NA,NA,NA,NA,NA
