Binomial	ID	year	popvalue
Myodes_rufocanus	554	1950	590
Marmota_bobak	599	1950	23750
Ursus_arctos	632	1950	860
Myodes_glareolus	5825	1950	20
Myodes_rufocanus	5831	1950	15
Macaca_fuscata	5837	1950	200
Macaca_sylvanus	5839	1950	1.28
Macaca_sylvanus	5840	1950	1.1
Apodemus_sylvaticus	6176	1950	19.5
Myodes_glareolus	6196	1950	58.5
Canis_lupus	27571	1950	25
Lynx_lynx	27818	1950	86
Lynx_lynx	27830	1950	53
Rupicapra_rupicapra	27918	1950	169
Myodes_rufocanus	554	1951	0
Myodes_glareolus	5825	1951	1
Myodes_rufocanus	5831	1951	0
Macaca_sylvanus	5839	1951	1.3
Macaca_sylvanus	5840	1951	1.15
Apodemus_sylvaticus	6176	1951	36
Myodes_glareolus	6196	1951	23.5
Ovibos_moschatus	10392	1951	10
Canis_lupus	27571	1951	11
Meles_meles	27685	1951	1.27
Lynx_lynx	27830	1951	31
Rupicapra_rupicapra	27918	1951	247
Cervus_elaphus	543	1952	56
Myodes_rufocanus	554	1952	15
Ursus_arctos	632	1952	1500
Myodes_glareolus	5825	1952	6
Myodes_rufocanus	5831	1952	1
Macaca_sylvanus	5839	1952	1.4
Macaca_sylvanus	5840	1952	1.2
Apodemus_sylvaticus	6176	1952	16.5
Myodes_glareolus	6196	1952	69
Ovibos_moschatus	10392	1952	11
Bison_bonasus	10734	1952	1
Ursus_arctos	10782	1952	166
Canis_lupus	27571	1952	12
Lynx_lynx	27830	1952	35
Rupicapra_rupicapra	27918	1952	294
Myodes_rufocanus	554	1953	105
Dama_dama	556	1953	42
Ovis_aries	603	1953	11
Ursus_arctos	632	1953	1650
Myodes_glareolus	5825	1953	6
Myodes_rufocanus	5831	1953	5
Macaca_fuscata	5837	1953	240
Macaca_sylvanus	5839	1953	1.41
Macaca_sylvanus	5840	1953	1.28
Mustela_erminea	5863	1953	0.8
Apodemus_sylvaticus	6176	1953	19.5
Myodes_glareolus	6196	1953	31.5
Ovibos_moschatus	10392	1953	13
Bison_bonasus	10734	1953	3
Canis_lupus	27571	1953	12
Lynx_lynx	27830	1953	31
Rupicapra_rupicapra	27918	1953	351
Myodes_rufocanus	554	1954	150
Ursus_arctos	632	1954	2000
Myodes_glareolus	5825	1954	7
Myodes_rufocanus	5831	1954	10
Macaca_fuscata	5837	1954	300
Macaca_sylvanus	5839	1954	1.3
