population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
11049,1,0.02833122539736,0.0278875677677997,0.027186361229611,0.0262276057827964,0.0250113014273525,0.0235633373544939,0.0219872703290629,0.0203089895422712,0.018528494994118,0.0166457866846046,0.014688118120088,0.012764503325998,0.0109021958086926,0.00910119556816991,0.00736150260443358,0.00569729713796674,0.00416530005071181,0.00277969156315372,0.00154047167529603,0.00044764038713474,-0.000501117976739796,-0.00131506611797327,-0.00199651971197801,-0.00254547875875399,-0.00296194325829946,-0.00325852997007825,-0.00348570593193065,-0.00365608790332184,-0.00376967588424826,-0.00382646987471214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
604,1,0.0421836061353694,0.0421626712138818,0.0416947791314086,0.0403862770878061,0.0382675226850595,0.0356865393678387,0.0329359056194172,0.0301148809147909,0.0273061894329485,0.0247179811162248,0.0225804640181904,0.020967359891696,0.0197510153071894,0.0186635247658384,0.0173817297880647,0.0156899062985987,0.0137133818759327,0.0119692696418794,0.0110309187232824,0.0110536456501871,0.0116576113473534,0.0122831485313626,0.0126072375698894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11051,1,-1,-1,-1,-1,-1,-0.0510545010206613,-0.0510545010206611,-0.0510545010206611,-0.0510545010206613,-0.0510545010206611,-0.0510545010206613,-0.0510545010206611,-0.0510545010206613,-0.0510545010206611,-0.0510545010206611,-0.0637517525248827,-0.0637517525248825,-0.0637517525248825,-0.0637517525248825,-0.0637517525248825,-0.033447777295998,-0.0334477772959978,-0.0334477772959979,-0.033447777295998,-0.0334477772959979,-0.0334477772959979,-0.0334477772959979,-0.0334477772959979,-0.0334477772959979,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
605,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00212143798989128,0.00212143798989128,0.00212143798989173,0.00212143798989128,0.00212143798989128,0.00212143798989128,0.00212143798989173,0.00212143798989128,0.00212143798989128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11024,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0458811569694002,-0.0474726051645862,-0.0485747802182607,-0.0463003079249793,-0.0393711406120718,-0.0291102905240841,-0.0183161751862374,-0.00931916689573353,-0.00292340627163434,0.00121237700435273,0.0036249834729345,0.00466389759438934,-1,-1,-1,-1,-1
11023,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0122831853323963,0.0111829704509979,0.00911611386327049,0.0064684294993721,0.00350640977926742,0.000114497967389937,-0.0041312619917494,-0.00960049224742121,-0.0161454808932087,-0.0228409274337581,-0.0282080304468318,-0.031013539223506,-1,-1,-1,-1,-1
11022,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0154914089776432,-0.0154914089776845,-0.0154914089776366,-0.0154914089773668,-0.0154914089769076,-0.0154914089764748,-0.0154914089763427,-0.0154914089766576,-0.0154914089773475,-0.0154914089781699,-0.0154914089788425,-0.0154914089791887,-1,-1,-1,-1,-1
11021,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.024525948369326,0.0245259483695935,0.0245259483697847,0.0245259483694197,0.0245259483682742,0.0245259483665574,0.024525948364752,0.0245259483633006,0.024525948362393,0.0245259483619669,0.024525948361842,0.0245259483618367,-1,-1,-1,-1,-1
11020,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0356215916657837,0.0340421455535695,0.0313482316560877,0.0280926133340458,0.0237391985338533,0.0168236427917242,0.00666749160146418,-0.00517867458686228,-0.0154919996214328,-0.0216729793515449,-0.0236655712324476,-0.0236243600445855,-1,-1,-1,-1,-1
11019,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0121598596759006,0.0116156457506731,0.0100938256806703,0.00679582750252761,0.000548486067574183,-0.00962578917754642,-0.023491005513082,-0.039058192843006,-0.0532580745117048,-0.0635212197873857,-0.069085323108482,-0.0710510570398116,-1,-1,-1,-1,-1
11018,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.000835685131473057,-0.0696206362462301,-0.11321705457942,-0.0361421749820205,0.119587862562649,0.181341557133385,0.0154525783818204,-0.31755570311653,-0.596123039101685,-0.640667211809708,-0.484304174441551,-0.327822924635365,-1,-1,-1,-1,-1
11017,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.018751523255236,0.0157156868055459,0.00977416563419919,0.00188153372312705,-0.00698790675444905,-0.016444282277704,-0.0264954209243776,-0.036976009433491,-0.0471626444198705,-0.0558708640809621,-0.0619322567344197,-0.0648078088215118,-1,-1,-1,-1,-1
11016,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0752190700466368,0.0409517986199623,0.00440431634437377,0.0042317987929239,0.0378968039888126,0.0589738809905977,0.0283093405970951,-0.037350906703295,-0.0752889806704444,-0.0396249978520777,0.0476638118025074,0.115958375754554,-1,-1,-1,-1,-1
