ID,min_year,max_year
175,1975,1996
176,1975,1996
177,1982,1989
178,1975,1996
179,1975,1996
180,1975,1996
263,1975,1995
264,1968,1991
640,1980,1982
2372,1971,1989
2373,1983,1986
2374,1983,1986
2375,1983,1986
2376,1983,1986
2377,1983,1986
2378,1983,1986
2379,1983,1986
2380,1983,1986
2381,1983,1986
2382,1983,1986
2383,1983,1986
2384,1983,1986
2385,1983,1986
2386,1983,1984
2387,1983,1986
2388,1983,1985
2389,1983,1986
2390,1983,1986
2391,1983,1986
3590,1982,1997
3591,1983,1996
4306,1990,1995
4541,2001,2005
4896,1991,1996
4953,2001,2005
4954,2001,2005
5678,1979,1992
6361,1999,2000
6961,1991,1998
7112,1989,2003
7114,1989,2003
7115,1989,2003
7811,1993,1995
7813,1993,1995
8467,1998,2003
8516,1993,1995
8552,1975,2008
8556,2005,2006
8557,1975,1982
8558,1975,1982
8566,1975,1982
8578,1975,1982
8693,1984,2006
8777,1989,1994
8778,1989,1994
8781,1975,2005
8827,1996,2000
8833,1979,1982
8950,1966,1972
8951,1966,1972
8952,1966,1972
8953,1966,1972
8954,1960,1964
8955,1961,1964
8956,1978,1986
9085,1999,2001
10383,1992,1998
10385,1988,1999
10386,1992,1998
10388,1997,2009
10389,1997,2009
10390,1993,2009
10391,1995,2009
10393,1995,2005
10394,1994,2009
10395,1997,2009
10396,1997,2009
10397,1995,2009
10398,1989,2008
10399,1989,2009
10400,1987,2008
10402,1987,2008
10403,1995,2008
10404,1995,2007
10405,1995,2008
10406,1995,2008
10407,1997,2008
10408,2002,2003
10409,1974,1991
10410,1974,1981
10413,1967,1974
10531,1995,2004
10916,1985,1995
10917,1985,1995
10918,1988,1989
10919,1988,1989
10920,1988,1989
10921,1988,1989
10922,1988,1989
10923,1988,1989
10931,2001,2003
10932,2001,2003
10935,2007,2008
10936,1996,1998
10938,1993,1994
11212,2003,2013
11213,2003,2009
11214,2003,2009
11316,1991,2005
11317,1991,2005
11318,1991,2005
11319,1991,2005
11320,1991,2005
11321,1991,2005
11778,2003,2011
11942,1996,2000
11947,2005,2008
11948,2006,2008
11950,2005,2009
11951,2005,2009
11953,2000,2006
11954,2000,2006
11955,2000,2006
11956,2000,2006
11957,2000,2006
11958,2000,2006
11959,2000,2006
11960,2000,2006
11961,2000,2006
11963,2000,2006
11964,2000,2006
11965,2000,2006
11966,2000,2006
11973,1978,1981
11975,1991,2006
11976,1999,2009
11977,2001,2003
11981,1997,2009
11982,1997,2009
11983,1999,2009
11989,1995,2011
11990,1992,2009
11991,1984,2005
11992,1984,2005
11994,1978,1997
11995,1978,1997
11996,1978,1997
11997,1978,1997
11998,1978,1997
11999,1978,1997
12000,1978,1997
12001,1978,1997
12002,1978,1997
12003,1978,1997
12004,1978,1997
12005,1982,1990
12006,1982,1990
12007,1981,2010
12517,1981,1982
12521,1990,2010
15204,2007,2010
15205,2007,2010
17650,2002,2005
17651,1999,2005
17680,1990,2002
17681,1978,2003
17682,2009,2010
17683,2009,2010
17685,2009,2010
17686,2009,2010
17687,2009,2010
17688,1994,2005
17689,1994,2005
17690,1988,2004
17691,1988,2004
17692,2002,2007
17693,2002,2007
17694,2002,2007
17695,2001,2006
17696,2002,2011
17697,1971,2010
17698,1998,2009
17699,1998,2008
17700,1998,2008
17701,1998,2009
17702,1999,2009
17703,1999,2009
17704,1998,2009
17705,1998,2009
17706,1998,2009
17707,1998,2009
17708,2000,2008
17709,2003,2009
17710,2002,2010
17711,1980,2005
17712,1999,2006
17713,1994,2004
17714,1994,2004
17715,2002,2008
17716,2003,2008
17717,2003,2008
17718,2002,2008
17719,2003,2008
17741,1974,1997
17742,1974,1997
17743,1974,1997
17744,1974,1997
17745,1974,1997
17751,2009,2010
17752,2009,2010
17753,1989,1994
17756,1992,2013
17757,1992,2013
17758,1992,2013
18332,2008,2010
18334,2007,2010
18335,2007,2010
18336,2007,2010
18337,2007,2010
18338,2007,2010
18339,2007,2010
18340,2007,2010
18341,1992,1994
18342,2007,2010
18344,2001,2002
18345,2007,2010
18589,2001,2015
18591,2001,2015
18594,2001,2015
18595,2001,2015
18598,2003,2015
18599,2003,2015
18601,2003,2015
18602,2003,2015
18665,1987,2000
18666,1987,2000
18730,1987,2000
19094,1994,2016
19095,1994,2016
19096,1994,2016
19097,1994,2016
19098,1995,2016
19099,1994,2016
19100,1994,2016
19620,1999,2013
19645,1999,2015
19678,2012,2013
19679,2012,2013
19702,2011,2013
19723,2012,2013
19738,1998,2011
19739,1998,2011
19769,2001,2010
19801,2002,2014
19804,2011,2013
21259,1981,1990
21260,1981,1990
21261,1981,1990
21262,1989,1990
21265,2001,2010
21266,2007,2015
21267,2005,2016
21268,2005,2016
21269,2005,2016
21319,1993,2007
22783,2004,2006
23087,1980,1999
23385,2011,2016
23386,2003,2011
23571,1974,2016
23572,1979,1983
23657,1976,1990
25297,2006,2014
25309,2004,2012
25312,2004,2012
25313,2005,2012
25314,2005,2013
25315,2004,2014
25400,1978,1981
25459,1977,2012
25460,1977,2012
25461,1977,2012
25474,1990,1996
25475,1990,1996
25478,1973,1974
25479,1974,1976
25514,1998,1999
25564,2014,2015
25565,2013,2014
25566,2014,2015
25567,2013,2014
25632,1997,2000
25635,2012,2015
