"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Acanthodactylus_scutellatus","Acanthodactylus_scutellatus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120176837183676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthophis_praelongus","Acanthophis_praelongus",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113013984856961,0.113013984857122,0.113013984857336,0.113013984857451,0.11301398485744,0.113013984857345,0.113013984857243,0.113013984857179,0.113013984857146,0.113013984857127,0.113013984857116,NA,NA,NA,NA,NA,NA,NA
"Alsophis_antiguae","Alsophis_antiguae",21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0204249547972204,0.0204249547959461,0.0204249547936033,0.0204249547911619,0.0876570397799724,0.076988978354002,0.0560934695906585,0.172743663748601,0.0998246809399845,0.12801626955723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amalosia_lesueurii","Amalosia_lesueurii",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0147232568207063,0.0219018414478298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ameivula_ocellifera","Ameivula_ocellifera",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2498774732166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphibolurus_muricatus","Amphibolurus_muricatus",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507382143998346,-0.0592618873467666,-0.149037782929361,NA,NA,NA,NA,NA,NA
"Anguis_fragilis","Anguis_fragilis",23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081368753964967,0.107762172436193,0.130589142152858,0.119105106013446,0.0770333312216751,0.0334718442597559,0.00765991959562173,-0.00397138926481011,-0.0100445143754442,-0.00871167960920394,0.00502495331575092,0.0258655055143047,0.0405301608507425,0.0408427410444556,0.0288343894026393,0.0106924750871675,-0.00819997043986076,-0.0216216752900462,-0.021955671618199,-0.00631541415111814,0.0172731133608748,0.0338470204835053
"Anolis_apletophallus","Anolis_apletophallus",27,1,NA,-0.00854317719281494,-0.00854317719281517,-0.00854317719281417,-0.00854317719281128,-0.00854317719280606,-0.00854317719279907,-0.00854317719279019,-0.00854317719277742,-0.00854317719275621,-0.00854317719272424,-0.00854317719268277,-0.00854317719263076,-0.00854317719257136,-0.00854317719250852,-0.00854317719245296,-0.00854317719240866,-0.0085431771923799,-0.00854317719236652,-0.00854317719236319,-0.00854317719236464,-0.00854317719237085,-0.00854317719238012,-0.00854317719239556,-0.00854317719241665,-0.00854317719244291,-0.00854317719247327,-0.00854317719250769,-0.00854317719254555,-0.00854317719258652,-0.00854317719263109,-0.00854317719267816,-0.00854317719272663,-0.00854317719277492,-0.00854317719282038,-0.0085431771928613,-0.00854317719289827,-0.00854317719292763,-0.008543177192947,-0.00854317719295572,NA,NA,NA,NA,NA,NA
"Anolis_evermanni","Anolis_evermanni",5,1,NA,NA,NA,NA,NA,NA,NA,-0.0100623576603245,-0.0100623576603247,-0.0100623576603247,-0.0100623576603245,0.0289730739417299,0.0289730739417299,0.0289730739417299,0.0289730739417299,0.02897307394173,0.0289730739417299,0.0289730739417299,0.02897307394173,-0.161186681866997,-0.0100623576603247,-0.0100623576603247,-0.0100623576603245,-0.0100623576603247,-0.0100623576603247,-0.0100623576603247,-0.0100623576603245,-0.0100623576603247,-0.0100623576603245,-0.0100623576603247,-0.0100623576603247,-0.0100623576603245,-0.0100623576603248,-0.0100623576603246,-0.0100623576603247,-0.0100623576603247,-0.0100623576603245,-0.0100623576603247,-0.0100623576603247,-0.0100623576603246,-0.0100623576603246,-0.0100623576603247,NA,NA,NA,NA
"Anolis_grahami","Anolis_grahami",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00851224142632057,0.00851224142632057,0.00851224142632057,0.00851224142632057,0.00851224142632057,0.00851224142632057,0.00851224142632068,-0.0880456295278407,-0.0880456295278406,-0.00851666964939024,-0.00851666964939013,0.112654640862931,0.112654640862931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
