Binomial	ID	year	popvalue
Phalacrocorax_carbo	25338	1956	4
Phalacrocorax_carbo	25338	1957	22
Phalacrocorax_carbo	25334	1958	86
Phalacrocorax_carbo	25334	1967	2
Pelecanus_rufescens	4716	1968	600
Pelecanus_rufescens	684	1970	446
Phalacrocorax_carbo	25334	1970	100
Pelecanus_rufescens	4716	1971	705
Phalacrocorax_carbo	25330	1971	7
Phalacrocorax_carbo	25334	1971	2
Pelecanus_onocrotalus	25368	1974	130
Phoeniconaias_minor	686	1975	5056800
Phalacrocorax_carbo	25330	1975	10
Phalacrocorax_carbo	25337	1977	24
Phalacrocorax_carbo	25330	1978	30
Phalacrocorax_carbo	25333	1979	30
Phalacrocorax_carbo	25337	1979	59
Phalacrocorax_carbo	25338	1979	5
Phalacrocorax_carbo	25330	1980	31
Phalacrocorax_carbo	25334	1980	46
Phalacrocorax_carbo	25330	1981	23
Phalacrocorax_carbo	25373	1981	114.17
Larus_cirrocephalus	25341	1983	2
Phalacrocorax_carbo	25331	1984	36
Larus_cirrocephalus	25341	1984	0
Bugeranus_carunculatus	677	1985	14000
Phalacrocorax_carbo	25331	1985	152
Larus_cirrocephalus	25341	1985	3
Phalacrocorax_carbo	25331	1986	174
Larus_cirrocephalus	25341	1986	7
Ephippiorhynchus_senegalensis	10051	1987	22
Phalacrocorax_carbo	25331	1987	141
Larus_cirrocephalus	25341	1987	0
Ephippiorhynchus_senegalensis	10051	1988	27
Phalacrocorax_carbo	25331	1988	124
Larus_cirrocephalus	25341	1988	133
Ephippiorhynchus_senegalensis	10051	1989	32
Phalacrocorax_carbo	25331	1989	163
Larus_cirrocephalus	25341	1989	0
Pelecanus_onocrotalus	25368	1989	6000
Ephippiorhynchus_senegalensis	10051	1990	19
Phalacrocorax_carbo	25331	1990	138
Larus_cirrocephalus	25341	1990	95
Charadrius_pecuarius	8657	1991	176.5
Ephippiorhynchus_senegalensis	10051	1991	26
Phalacrocorax_carbo	25331	1991	164
Larus_cirrocephalus	25341	1991	2
Sarkidiornis_melanotos	5324	1992	1330
Anas_acuta	5504	1992	20820
Spatula_querquedula	5505	1992	12395
Plectropterus_gambensis	5516	1992	1448
Podiceps_nigricollis	5587	1992	4200
Charadrius_pecuarius	8657	1992	44.5
Ephippiorhynchus_senegalensis	10051	1992	50
Phalacrocorax_carbo	25331	1992	174
Phalacrocorax_carbo	25334	1992	3
Phalacrocorax_carbo	25337	1992	18
Phalacrocorax_carbo	25338	1992	1
Larus_cirrocephalus	25341	1992	14
Tachybaptus_ruficollis	5342	1993	2800
Alopochen_aegyptiaca	5343	1993	4420
Mareca_penelope	5344	1993	1930
Spatula_clypeata	5345	1993	1960
Aythya_fuligula	5346	1993	1300
Anas_acuta	5347	1993	490
Charadrius_pecuarius	8657	1993	132.5
Himantopus_himantopus	9401	1993	450
Recurvirostra_avosetta	9402	1993	2048
Burhinus_senegalensis	9403	1993	68
Glareola_pratincola	9404	1993	217
Charadrius_dubius	9405	1993	30
Charadrius_hiaticula	9406	1993	120
Charadrius_pecuarius	9407	1993	34
Vanellus_spinosus	9411	1993	0
Limosa_limosa	9547	1993	11100
Tringa_nebularia	9551	1993	65
Tringa_ochropus	9552	1993	12
Tringa_glareola	9553	1993	70
Ephippiorhynchus_senegalensis	10051	1993	43
Calidris_minuta	12344	1993	0
Calidris_ferruginea	12345	1993	2730
Phalacrocorax_carbo	25331	1993	224
Phalacrocorax_carbo	25333	1993	0
Phalacrocorax_carbo	25334	1993	60
Phalacrocorax_carbo	25338	1993	12
Larus_cirrocephalus	25341	1993	120
Phoeniconaias_minor	686	1994	4028617
Pelecanus_rufescens	4722	1994	361
Ceryle_rudis	4727	1994	109
Charadrius_pecuarius	8657	1994	47
Himantopus_himantopus	9401	1994	313
Recurvirostra_avosetta	9402	1994	1366
Burhinus_senegalensis	9403	1994	63
Glareola_pratincola	9404	1994	1814
Charadrius_dubius	9405	1994	15
Charadrius_hiaticula	9406	1994	271
Charadrius_pecuarius	9407	1994	68
Vanellus_spinosus	9411	1994	444
Limosa_limosa	9547	1994	4090
Tringa_nebularia	9551	1994	80
Tringa_ochropus	9552	1994	8
Tringa_glareola	9553	1994	60
Calidris_minuta	12344	1994	18
Calidris_ferruginea	12345	1994	2817
Phalacrocorax_carbo	25331	1994	174
Larus_cirrocephalus	25341	1994	0
Pelecanus_rufescens	684	1995	177
Pelecanus_rufescens	4716	1995	700
Pelecanus_rufescens	4722	1995	121
Haliaeetus_vocifer	4725	1995	228
Ceryle_rudis	4727	1995	746
Dendrocygna_bicolor	5323	1995	105
Nettapus_auritus	5325	1995	19
Tachybaptus_ruficollis	5342	1995	3240
Alopochen_aegyptiaca	5343	1995	3120
Mareca_penelope	5344	1995	3365
Spatula_clypeata	5345	1995	2540
Aythya_fuligula	5346	1995	985
Anas_acuta	5347	1995	503
Charadrius_pecuarius	8657	1995	157.5
Himantopus_himantopus	9401	1995	1137
Recurvirostra_avosetta	9402	1995	1342
Burhinus_senegalensis	9403	1995	172
Glareola_pratincola	9404	1995	653
Charadrius_dubius	9405	1995	57
Charadrius_hiaticula	9406	1995	340
Charadrius_pecuarius	9407	1995	127
Vanellus_spinosus	9411	1995	524
Limosa_limosa	9547	1995	2210
Tringa_nebularia	9551	1995	144
Tringa_ochropus	9552	1995	13
Tringa_glareola	9553	1995	149
Calidris_minuta	12344	1995	15
Calidris_ferruginea	12345	1995	2476
Calidris_ferruginea	12472	1995	1473
Calidris_alba	12475	1995	195
