ID,min_year,max_year
675,1994,1998
676,1993,1999
677,1985,2002
678,1991,2004
679,1991,2004
680,1975,1995
681,1990,2000
682,1990,2000
683,1965,2005
684,1970,1995
685,1999,2001
686,1975,1994
3499,1965,2005
4716,1968,2008
4722,1994,2009
4725,1995,2009
4727,1994,2009
5271,1996,1997
5272,1996,1997
5274,1996,1997
5275,1996,1997
5276,1996,1997
5277,1996,1997
5278,1996,1997
5279,1996,1997
5280,1996,1997
5283,1996,1997
5284,1996,1997
5285,1996,1997
5286,1996,1997
5287,1996,1997
5288,1996,1997
5289,1996,1997
5290,1996,1997
5293,1996,1997
5312,1996,1997
5313,1996,1997
5314,1996,1997
5321,1995,1997
5322,1995,1997
5323,1995,1997
5324,1992,1998
5325,1995,1997
5342,1993,1997
5343,1993,1997
5344,1993,1997
5345,1993,1997
5346,1993,1997
5347,1993,1997
5372,1997,1998
5374,1997,1998
5383,1997,1998
5485,1997,1998
5487,1997,1998
5490,1997,1998
5491,1997,1998
5495,1996,1997
5496,1996,1997
5497,1996,1997
5501,1996,1997
5502,1997,1998
5504,1992,1998
5505,1992,1998
5506,1997,1998
5507,1996,1998
5511,1997,1998
5514,1997,1998
5515,1997,1998
5516,1992,1998
5517,1997,1998
5519,1996,1998
5520,1996,1998
5522,1996,1998
5528,1997,1998
5533,1996,1998
5534,1996,1998
5535,1996,1998
5536,1996,1998
5537,1996,1998
5538,1996,1998
5539,1996,1997
5540,1996,1998
5556,1996,1998
5557,1996,1998
5559,1996,1997
5562,1996,1997
5577,1996,1998
5578,1996,1998
5585,1997,1998
5586,1996,1998
5587,1992,1998
5591,1997,1998
5592,1997,1998
5599,1997,1998
5600,1997,1998
5601,1997,1998
5605,1997,1998
5609,1996,1998
5610,1996,1998
5612,1996,1998
5613,1996,1998
5614,1996,1998
6446,1996,1997
8657,1991,2000
8658,1991,2000
9317,1999,2001
9353,1999,2001
9354,1999,2001
9357,1999,2001
9359,1999,2001
9360,1999,2001
9361,1999,2001
9401,1993,1997
9402,1993,1997
9403,1993,1997
9404,1993,1997
9405,1993,1997
9406,1993,1997
9407,1993,1997
9411,1993,1997
9547,1993,1997
9551,1993,1997
9552,1993,1997
9553,1993,1997
10051,1987,1993
11131,1999,2009
11133,1999,2009
12344,1993,1998
12345,1993,1998
12472,1995,1997
12475,1995,1997
25330,1971,2003
25331,1984,2008
25332,2003,2008
25333,1979,2008
25334,1958,2008
25336,2000,2002
25337,1977,2007
25338,1956,2008
25341,1983,2007
25342,1996,2008
25368,1974,1996
25373,1981,2017
