Binomial	ID	year	popvalue
Protopterus_aethiopicus	17606	1958	0.025
Clarias_gariepinus	17605	1958	0.02
Bagrus_docmak	17604	1958	0.157
Oreochromis_variabilis	17603	1958	0.037
Oreochromis_esculentus	17602	1958	0.082
Protopterus_aethiopicus	17606	1959	0.032
Clarias_gariepinus	17605	1959	0.025
Bagrus_docmak	17604	1959	0.151
Oreochromis_variabilis	17603	1959	0.038
Oreochromis_esculentus	17602	1959	0.067
Clarias_gariepinus	26896	1960	12
Distichodus_schenga	26877	1960	3
Oreochromis_mortimeri	26876	1960	38
Labeo_altivelis	26871	1960	216
Hydrocynus_vittatus	26861	1960	58
Brycinus_imberi	26858	1960	63
Brycinus_imberi	5529	1960	3150
Clarias_gariepinus	26896	1961	29
Clarias_gariepinus	26895	1961	8.02
Schilbe_intermedius	26892	1961	0.15
Sargochromis_codringtonii	26888	1961	1
Sargochromis_codringtonii	26886	1961	0.16
Coptodon_rendalli	26884	1961	3
Coptodon_rendalli	26883	1961	1.15
Oreochromis_macrochir	26882	1961	0.31
Distichodus_schenga	26877	1961	4
Oreochromis_mortimeri	26876	1961	1
Oreochromis_mortimeri	26874	1961	12.08
Labeo_congoro	26873	1961	29.45
Labeo_altivelis	26871	1961	74
Labeo_altivelis	26870	1961	12.79
Distichodus_mossambicus	26868	1961	2.8
Hydrocynus_vittatus	26861	1961	40
Hydrocynus_vittatus	26860	1961	29.35
Brycinus_imberi	26858	1961	44
Brycinus_imberi	26857	1961	14.01
Mormyrops_anguilloides	26855	1961	0.01
Mormyrus_longirostris	26853	1961	0.19
Distichodus_schenga	26636	1961	3.99
Protopterus_aethiopicus	17606	1961	0.019
Clarias_gariepinus	17605	1961	0.019
Bagrus_docmak	17604	1961	0.114
Oreochromis_variabilis	17603	1961	0.026
Oreochromis_esculentus	17602	1961	0.023
Brycinus_imberi	5529	1961	2200
Clarias_gariepinus	26896	1962	16.55
Clarias_gariepinus	26895	1962	4.37
Schilbe_intermedius	26894	1962	0.91
Schilbe_intermedius	26892	1962	0.07
Synodontis_zambezensis	26889	1962	0.12
Sargochromis_codringtonii	26888	1962	1
Sargochromis_codringtonii	26886	1962	0.07
Coptodon_rendalli	26884	1962	0.45
Coptodon_rendalli	26883	1962	0.31
Oreochromis_macrochir	26882	1962	0.14
Distichodus_schenga	26877	1962	2.18
Oreochromis_mortimeri	26876	1962	21
Oreochromis_mortimeri	26874	1962	4.89
Labeo_congoro	26873	1962	12.25
Labeo_altivelis	26871	1962	29.64
Labeo_altivelis	26870	1962	9.61
Distichodus_mossambicus	26868	1962	1.15
Hydrocynus_vittatus	26861	1962	55.45
Hydrocynus_vittatus	26860	1962	25.76
Brycinus_imberi	26858	1962	19.36
Brycinus_imberi	26857	1962	13.54
Mormyrus_longirostris	26854	1962	0.09
Mormyrus_longirostris	26853	1962	0.01
Distichodus_schenga	26636	1962	1.7
Protopterus_aethiopicus	17606	1962	0.058
Clarias_gariepinus	17605	1962	0.044
Bagrus_docmak	17604	1962	0.173
Oreochromis_variabilis	17603	1962	0.04
Oreochromis_esculentus	17602	1962	0.125
Schilbe_intermedius	5530	1962	46
Brycinus_imberi	5529	1962	968
Clarias_gariepinus	26896	1963	13.33
Clarias_gariepinus	26895	1963	2.63
Schilbe_intermedius	26894	1963	2.91
Schilbe_intermedius	26892	1963	1.05
Sargochromis_codringtonii	26888	1963	0.41
Sargochromis_codringtonii	26886	1963	0.05
Coptodon_rendalli	26884	1963	0.91
Coptodon_rendalli	26883	1963	0.1
Oreochromis_macrochir	26882	1963	0.02
Distichodus_schenga	26877	1963	0.91
Oreochromis_mortimeri	26876	1963	8.16
