ID,min_year,max_year
5091,1969,1992
5092,1969,1992
5094,1969,1992
5095,1969,1992
5096,1969,1992
5097,1969,1992
5098,1969,1992
5099,1969,1992
5100,1969,1992
5101,1969,1992
5109,1963,1973
5111,1979,1990
5112,1979,1990
5113,1965,1992
5114,1980,1990
5518,1964,1982
5521,1967,1982
5523,1964,1982
5525,1964,1982
5529,1960,1982
5530,1962,1982
5531,1970,1982
5558,1991,1993
5560,1991,1993
5561,1991,1993
5564,1991,1993
5565,1991,1993
5566,1991,1993
5567,1991,1993
5568,1991,1993
5570,1991,1993
5572,1991,1993
5574,1991,1993
5579,1981,1996
6255,1991,1993
6256,1991,1993
6274,1991,1993
6275,1991,1993
6276,1991,1993
6335,1991,1993
6336,1991,1993
8660,1973,1986
8661,1986,1990
9348,1986,1999
9351,1986,1999
9375,1995,2014
9376,1996,2005
9394,1996,2005
9490,1981,1992
9502,1981,1992
9503,1981,1992
9509,1981,1992
9644,1992,1995
9645,1994,1995
9650,1992,1995
9651,1992,1993
9656,1992,1995
9661,1992,1995
9665,1992,1995
11328,1999,2001
11359,1996,1997
17533,1999,2011
17602,1958,1970
17603,1958,1970
17604,1958,1970
17605,1958,1970
17606,1958,1970
17621,1991,2001
17622,1991,2001
17623,1991,2001
17624,1991,2001
17625,1991,2001
17626,1991,2001
17627,1991,2001
17628,2003,2004
17629,2003,2004
17633,1992,1993
17634,1992,1993
17638,2000,2003
17653,2007,2008
17654,2007,2008
17658,2005,2006
17659,2005,2006
17660,2005,2008
17661,2005,2008
17662,2005,2008
17663,2005,2006
17664,2005,2008
17665,2005,2006
17666,2005,2006
17667,2004,2005
17668,2004,2005
17669,2004,2008
17670,2003,2004
17671,2003,2004
17672,1996,2007
17673,1996,2007
17674,1996,2007
17675,1996,2007
17676,1996,2007
18476,2001,2007
18491,1980,1990
18618,1995,2000
18635,1995,2000
25453,1981,1987
26535,1999,2000
26538,1999,2000
26552,1992,1995
26556,1992,1995
26559,1992,1995
26636,1961,1975
26828,1974,1975
26849,1964,1975
26850,1964,1974
26851,1972,1975
26852,1968,1974
26853,1961,1975
26854,1962,1974
26855,1961,1974
26856,1964,1974
26857,1961,1975
26858,1960,1974
26860,1961,1975
26861,1960,1975
26868,1961,1964
26870,1961,1975
26871,1960,1974
26873,1961,1975
26874,1961,1975
26876,1960,1974
26877,1960,1974
26882,1961,1975
26883,1961,1974
26884,1961,1974
26886,1961,1975
26888,1961,1974
26889,1962,1975
26891,1964,1975
26892,1961,1975
26894,1962,1974
26895,1961,1975
26896,1960,1974
26898,1972,1975
26899,1972,1974
26928,1974,1978
26929,1975,1979
26930,1975,1980
26931,1975,1979
26932,1975,1977
26933,1975,1979
26934,1976,1979
26948,1975,1979
26949,1975,1979
26950,1974,1979
26952,1974,1979
26953,1978,1981
26954,1975,1979
26955,1975,1979
26959,1977,1979
26960,1979,1981
26962,1977,1980
26963,1977,1980
26967,1977,1981
26968,1977,1981
26969,1976,1980
26970,1977,1981
26971,1974,1979
26972,1975,1979
26973,1975,1979
26974,1975,1979
26975,1975,1979
26976,1975,1977
26977,1975,1979
26978,1975,1979
26979,1975,1979
26980,1975,1979
26981,1975,1979
26982,1975,1980
27261,1980,1988
27262,1980,1988
