"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Acanthopagrus_berda","Acanthopagrus_berda",33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0228847140816542,-0.022885186705772,-0.0228861853219593,-0.0228875896384353,-0.0228891123020827,-0.0419996480928801,-0.0391656121511653,-0.034030866011278,-0.0276986401091367,-0.0206265104610706,-0.0125742369981744,0.0655294359616406,0.161808658655135,0.165604292373102,0.0124517391395221,0.0473050896448559,0.0449204678564583,0.0433013763472925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alestes_baremoze","Alestes_baremoze",19,1,NA,NA,NA,NA,NA,0.251005092388771,-0.213497955766812,-0.0446698691948942,0.135493439961183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambassis_gymnocephalus","Ambassis_gymnocephalus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463127904763042,NA,NA,NA,NA,NA,NA
"Awaous_aeneofuscus","Awaous_aeneofuscus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.477121254719662,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bagrus_docmak","Bagrus_docmak",12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brycinus_imberi","Brycinus_imberi",44,1,0.0172850224752814,0.0652018174124762,-0.163238683533431,0.460497515582341,0.558055372936516,0.152734852598827,-0.149245365492612,-0.0448839193956413,-0.18244729370111,-0.0260977424742488,-0.0504391259876824,-0.0623160210056359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brycinus_leuciscus","Brycinus_leuciscus",8,1,NA,NA,NA,NA,NA,NA,NA,-0.229818555407212,0.670490644006256,0.374669045179763,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brycinus_macrolepidotus","Brycinus_macrolepidotus",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.662051026509833,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brycinus_nurse","Brycinus_nurse",10,1,NA,NA,NA,NA,0.00709830438737291,-0.887084023737299,0.321947095112409,-0.403385108441059,0.305252879293471,1,-0.47933228698377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brycinus_sadleri","Brycinus_sadleri",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.156641637787432,-0.156641637787432,-0.156641637787432,-0.156641637787432,-0.156641637787432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelon_dumerili","Chelon_dumerili",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.327213833293984,-0.327213833293984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
