Binomial	ID	year	popvalue
Crocodylus_niloticus	692	1967	700
Crocodylus_niloticus	692	1969	595
Crocodylus_niloticus	19785	1971	273
Crocodylus_niloticus	19785	1972	274
Crocodylus_niloticus	19785	1973	269
Crocodylus_niloticus	690	1975	62
Crocodylus_niloticus	694	1975	13
Crocodylus_niloticus	690	1980	30
Crocodylus_niloticus	694	1980	12
Crocodylus_niloticus	692	1984	250
Crocodylus_niloticus	690	1985	22
Crocodylus_niloticus	694	1985	10.5
Crocodylus_niloticus	18238	1985	67
Crocodylus_niloticus	19785	1985	515
Crocodylus_niloticus	18238	1986	75
Crocodylus_niloticus	19785	1986	503
Crocodylus_niloticus	18238	1987	62
Crocodylus_niloticus	18238	1988	92
Crocodylus_niloticus	19785	1988	505
Crocodylus_niloticus	691	1989	6.75
Crocodylus_niloticus	18238	1989	57
Crocodylus_niloticus	19785	1989	420
Crocodylus_niloticus	691	1990	11.83
Crocodylus_niloticus	693	1990	827
Crocodylus_niloticus	6410	1990	3.15
Crocodylus_niloticus	6412	1990	1.57
Crocodylus_niloticus	6413	1990	2.86
Crocodylus_niloticus	6414	1990	0.62
Crocodylus_niloticus	18238	1990	107
Crocodylus_niloticus	19785	1990	732
Crocodylus_niloticus	18238	1991	0
Pyxicephalus_adspersus	674	1992	225
Crocodylus_niloticus	18238	1992	0
Crocodylus_niloticus	19785	1992	789
Crocodylus_niloticus	691	1993	10.49
Crocodylus_niloticus	18238	1993	52
Crocodylus_niloticus	19785	1993	833
Pyxicephalus_adspersus	674	1994	220
Crocodylus_niloticus	19785	1994	745
Pyxicephalus_adspersus	674	1995	200
Crocodylus_niloticus	691	1995	10.1
Crocodylus_niloticus	693	1995	1139
Crocodylus_niloticus	6410	1995	2.63
Crocodylus_niloticus	6412	1995	1.59
Crocodylus_niloticus	6413	1995	2.84
Crocodylus_niloticus	6414	1995	0.7
Pyxicephalus_adspersus	674	1996	190
Crocodylus_niloticus	691	1996	19.98
Crocodylus_niloticus	6410	1996	5.55
Crocodylus_niloticus	6412	1996	1.67
Crocodylus_niloticus	6413	1996	5.6
Crocodylus_niloticus	6414	1996	2.5
Crocodylus_niloticus	17761	1996	13.6
Pyxicephalus_adspersus	674	1998	180
Crocodylus_niloticus	691	1999	16.9
Crocodylus_niloticus	6410	1999	3.55
Crocodylus_niloticus	6412	1999	2.27
Crocodylus_niloticus	6413	1999	6.1
Crocodylus_niloticus	6414	1999	0.6
Pyxicephalus_adspersus	674	2000	150
Pyxicephalus_adspersus	674	2002	65
Crocodylus_niloticus	11211	2003	478
Crocodylus_niloticus	17761	2003	22.2
Crocodylus_niloticus	18238	2003	35
Crocodylus_niloticus	11211	2004	472
Crocodylus_niloticus	18238	2004	29
Crocodylus_niloticus	11211	2005	757
Crocodylus_niloticus	18238	2005	0
Crocodylus_niloticus	11211	2006	448
Crocodylus_niloticus	17759	2006	7
Crocodylus_niloticus	17760	2006	188
Crocodylus_niloticus	18238	2006	0
Crocodylus_niloticus	18238	2007	22
Crocodylus_niloticus	18238	2008	7
Crocodylus_niloticus	17759	2009	21
Crocodylus_niloticus	17760	2009	194
Crocodylus_niloticus	18238	2009	7
Crocodylus_niloticus	19785	2009	223
Crocodylus_niloticus	19785	2010	315
Crocodylus_niloticus	19785	2011	279
Crocodylus_niloticus	19785	2012	276
