Binomial	ID	year	popvalue
Anseranas_semipalmata	653	1956	350000
Tringa_nebularia	8938	1965	73
Limosa_lapponica	8939	1965	93
Calidris_ferruginea	8940	1965	249
Numenius_madagascariensis	8941	1965	285
Calidris_ruficollis	8942	1965	1484
Tringa_nebularia	8938	1966	62
Limosa_lapponica	8939	1966	101
Calidris_ferruginea	8940	1966	433
Numenius_madagascariensis	8941	1966	273
Calidris_ruficollis	8942	1966	2590
Tringa_nebularia	8938	1967	57
Limosa_lapponica	8939	1967	87
Calidris_ferruginea	8940	1967	875
Numenius_madagascariensis	8941	1967	265
Calidris_ruficollis	8942	1967	2460
Oxyura_leucocephala	4611	1968	25
Tringa_nebularia	8938	1968	72
Limosa_lapponica	8939	1968	137
Calidris_ferruginea	8940	1968	948
Numenius_madagascariensis	8941	1968	262
Calidris_ruficollis	8942	1968	3105
Anas_superciliosa	652	1970	1500000
Oxyura_leucocephala	4611	1970	4
Oxyura_leucocephala	4611	1971	39
Anseranas_semipalmata	653	1972	50000
Oxyura_leucocephala	4611	1972	127
Tringa_brevipes	8819	1972	76
Calidris_ruficollis	12283	1972	6000
Pluvialis_squatarola	12402	1972	107
Himantopus_novaezelandiae	654	1973	53
Oxyura_leucocephala	4611	1973	111
Tringa_brevipes	8819	1973	83
Himantopus_novaezelandiae	654	1974	58
Pelecanus_conspicillatus	8817	1974	84
Calidris_ruficollis	8818	1974	4892
Tringa_brevipes	8819	1974	55
Microcarbo_melanoleucos	8825	1974	236
Calidris_ferruginea	8835	1974	4523
Numenius_madagascariensis	8836	1974	1145
Larus_novaehollandiae	8838	1974	4523
Tadorna_tadornoides	8928	1974	68
Limosa_lapponica	8929	1974	252
Larus_pacificus	8930	1974	347
Tringa_nebularia	8938	1974	82
Limosa_lapponica	8939	1974	133
Calidris_ferruginea	8940	1974	1444
Numenius_madagascariensis	8941	1974	195
Calidris_ruficollis	8942	1974	2495
Arenaria_interpres	12369	1974	200
Limosa_lapponica	12377	1974	110
Himantopus_novaezelandiae	654	1975	66
Pelecanus_conspicillatus	8817	1975	225
Calidris_ruficollis	8818	1975	6904
Tringa_brevipes	8819	1975	53
Microcarbo_melanoleucos	8825	1975	282
Calidris_ferruginea	8835	1975	6542
Numenius_madagascariensis	8836	1975	1299
Larus_novaehollandiae	8838	1975	2115
Tadorna_tadornoides	8928	1975	0
Limosa_lapponica	8929	1975	220
Larus_pacificus	8930	1975	218
Tringa_nebularia	8938	1975	97
Limosa_lapponica	8939	1975	127
Calidris_ferruginea	8940	1975	817
Numenius_madagascariensis	8941	1975	201
Calidris_ruficollis	8942	1975	2624
Calidris_ferruginea	12363	1975	11
Arenaria_interpres	12369	1975	114
Limosa_lapponica	12377	1975	120
Himantopus_novaezelandiae	654	1976	71
Anas_wyvilliana	6168	1976	67.5
Pelecanus_conspicillatus	8817	1976	168
Calidris_ruficollis	8818	1976	4338
Tringa_brevipes	8819	1976	56
Microcarbo_melanoleucos	8825	1976	193
Calidris_ferruginea	8835	1976	3007
Numenius_madagascariensis	8836	1976	1493
Larus_novaehollandiae	8838	1976	6852
Ixobrychus_sinensis	8910	1976	12.427
Todiramphus_cinnamominus	8918	1976	8.455
Lonchura_atricapilla	8919	1976	140.26
Tadorna_tadornoides	8928	1976	5
Limosa_lapponica	8929	1976	139
Larus_pacificus	8930	1976	254
Tringa_nebularia	8938	1976	74
Calidris_ferruginea	8940	1976	669
Numenius_madagascariensis	8941	1976	225
Calidris_ruficollis	8942	1976	3711
Fulica_alai	9025	1976	956
Fulica_alai	9028	1976	118
Fulica_alai	9029	1976	38
Fulica_alai	9030	1976	101
Fulica_alai	9031	1976	120.5
Calidris_ferruginea	12363	1976	40
Arenaria_interpres	12369	1976	130
Limosa_lapponica	12377	1976	80
Himantopus_novaezelandiae	654	1977	60
Anas_wyvilliana	6168	1977	135
Pelecanus_conspicillatus	8817	1977	156
Calidris_ruficollis	8818	1977	4670
Tringa_brevipes	8819	1977	11
Microcarbo_melanoleucos	8825	1977	373
Calidris_ferruginea	8835	1977	3356
Numenius_madagascariensis	8836	1977	1220
Larus_novaehollandiae	8838	1977	4210
Ixobrychus_sinensis	8910	1977	18.305
Todiramphus_cinnamominus	8918	1977	9.777
Lonchura_atricapilla	8919	1977	131.902
Tadorna_tadornoides	8928	1977	0
Limosa_lapponica	8929	1977	261
Larus_pacificus	8930	1977	282
Tringa_nebularia	8938	1977	109
Limosa_lapponica	8939	1977	118
Calidris_ferruginea	8940	1977	1167
Numenius_madagascariensis	8941	1977	218
Calidris_ruficollis	8942	1977	3784
Fulica_alai	9025	1977	1621
Fulica_alai	9028	1977	114
Fulica_alai	9029	1977	51.5
Fulica_alai	9030	1977	17
Fulica_alai	9031	1977	128.5
Gallinula_galeata	9032	1977	117
Gallinula_galeata	9033	1977	23
Calidris_ruficollis	12283	1977	8000
Calidris_ferruginea	12363	1977	131
Pluvialis_squatarola	12402	1977	89
Himantopus_novaezelandiae	654	1978	60
Anas_wyvilliana	6168	1978	115
Pelecanus_conspicillatus	8817	1978	40
Calidris_ruficollis	8818	1978	5869
Tringa_brevipes	8819	1978	28
Microcarbo_melanoleucos	8825	1978	211
Calidris_ferruginea	8835	1978	2734
Numenius_madagascariensis	8836	1978	1452
Larus_novaehollandiae	8838	1978	5491
Ixobrychus_sinensis	8910	1978	14.772
Todiramphus_cinnamominus	8918	1978	8.958
Lonchura_atricapilla	8919	1978	70.038
Tadorna_tadornoides	8928	1978	42
Limosa_lapponica	8929	1978	607
Larus_pacificus	8930	1978	250
