Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Anseranas_semipalmata,1,-0.0528186275008906,-0.0528186275008915,0.110386669821962,0.110386669821961,0.110386669821962,0.110386669821962,0.110386669821961,0.110386669821962,0.110386669821962,0.110386669821961,-0.130274788668716,-0.130274788668834,-0.130274788669032,-0.130274788669216,-0.130274788669304,-0.130274788669281,-0.130274788669202,-0.130274788669142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calidris_ruficollis,1,0.0136807696468684,0.011795415247208,-0.00857150678760488,-0.0081899992259753,-0.0090580196118902,-0.00891508610520283,-0.00956767504840483,-0.010987420631425,-0.012892759207429,-0.0150683489261216,-0.0175494351025039,-0.020414449193499,-0.0234924217188784,-0.019032992230682,-0.0202611358131791,-0.0204755469579635,-0.0195930882879863,-0.0171324741418754,-0.0126503779232008,-0.00651622070297331,0.000358594380532207,0.00708894923553383,0.0132329452709133,0.0184617570006156,0.0220626764978571,0.0232679224797686,0.0220076544139,0.0191638982389749,0.0160438465863928,0.0135201644152732,-0.0150049051516775,-0.0190315234595627,-0.0254388268862025,-0.0339316713571857,-0.043665683492588,-0.0531073960391069,-0.0603331543587856,-0.0427995701598993,NA,NA,NA,NA,NA,NA,NA
Numenius_madagascariensis,1,-0.01318553304319,-0.0132274599249831,-0.0132753488188575,-0.0133291997248146,-0.0109365053371537,-0.011304118721184,-0.0120059495258553,-0.0128497556230505,-0.0135377106468664,-0.0138251932054307,-0.0136168524371094,-0.0183088457782343,-0.0177692339877214,-0.0172816003694341,-0.0169457347060033,-0.0167290388862661,-0.0165237730819626,-0.0162732503340442,-0.0233146591784211,-0.0232318844717014,-0.0232800078011958,-0.0234259815639959,-0.0236228393596904,-0.0332051991158646,-5.31948791925974e-05,-0.0532395300593721,-0.0535099945905927,0.0410327367516581,-0.0314769121217732,-0.0264989723145816,-0.0180134498007216,-0.0202195795998902,-0.0221481695231902,-0.0235996695856068,-0.0246746009687888,-0.0255543656849975,-0.0262484457962197,-0.0266285166913762,NA,NA,NA,NA,NA,NA,NA
Calidris_ferruginea,1,0.0209857315515629,-0.00282635702285772,-0.0211350946802957,-0.0339404814207356,-0.0309093457132301,0.00662395038582601,0.0118865522428135,0.0164499275278971,0.0197758109008643,0.0236587352503398,0.028434892895524,0.106967475791316,0.0846603464448681,0.0547738748562279,0.023466512820834,-0.0051704762055798,-0.0304730811645931,-0.0559600921217484,-0.0500346167645895,-0.025553470532975,0.00446892906310237,0.0238682936685197,0.0258186593298906,0.0136169516841892,-0.0109520373316398,-0.0387520221645809,-0.0612031312054285,-0.0628979242302217,-0.0454514584921008,-0.0281324348131431,-0.0471725319133996,-0.0498189956003623,-0.0658615323853582,-0.05078644396053,-0.0509562185594068,-0.132571773803002,-0.0120450886833919,-0.203189630595466,-0.154172678905992,-0.163445120217207,-0.165272838420269,-0.166012173299519,NA,NA,NA
Limosa_lapponica,1,0.009229842764237,-0.00390280581900715,-0.0135073406870077,-0.0195837618402233,-0.00799725447121694,-0.00619097818433478,-0.00394542402050931,-0.00214451072772744,-0.00248877131615322,-0.00805780175036586,-0.01960936984314,-0.0300368094757516,-0.0276597962076413,-0.00931748400460715,0.0126073734956516,0.0214906008520885,0.014462608325838,0.0131420440798597,0.00913578015387234,0.00507633760978449,-0.00699630845080734,-0.0249751395694869,-0.0366864697761382,-0.0330550034102463,-0.0195780762910465,-0.008916682611738,-0.0040746842641679,-0.000862064505207372,0.00226927194998744,-0.0012089419914787,-0.0155876178039694,-0.030966134652042,-0.0308149439333649,-0.00304118045507081,0.0135479520854783,-0.00295276926016652,-0.0495054870902785,-0.0873762881700984,-0.0214376719278588,-0.0214376719278604,-0.0214376719278604,NA,NA,NA,NA
Tringa_nebularia,1,0.0123850462646931,0.0114288475893436,0.0101027304061767,0.00840669471519484,0.00637651929816174,0.00416250815232555,0.00181415333260215,-0.000718139814733787,-0.00337761655961555,-0.00592786874741758,-0.00820293452982312,-0.00973215536319816,-0.0102914771032907,-0.0100848171847838,-0.00948666560390166,-0.00876528877363847,-0.0080778401862196,-0.00765083710809877,-0.00782296099193425,-0.0697743679160923,-0.0706434075153504,-0.0716788435417176,-0.0726717707233689,-0.0162980695152857,-0.0175699951048631,-0.0183010279423719,-0.0182586209736817,-0.0172691635267537,-0.0153776484526427,-0.012830180165621,-0.00101017000642389,0.000518352685699552,0.00203173997426065,0.00342550071899228,0.00457387884059823,0.00538016992910728,0.00583774695163852,0.00601640074803189,NA,NA,NA,NA,NA,NA,NA
Oxyura_leucocephala,1,0.490293653046045,0.252160902161505,-0.0334490258878732,-0.00841730960644727,-0.00841730960644727,-0.00841730960644682,-0.00841730960644727,-0.00841730960644727,-0.00841730960644727,-0.00841730960644727,-0.00841730960644727,-0.00841730960644682,-0.00841730960644727,-0.00841730960644727,-0.00841730960644727,-0.00841730960644727,-0.00841730960644727,-0.133215081915582,-0.133215081915582,-0.25614830637675,-0.0579130908485338,-0.0397533684875582,-0.0698322935113989,-0.0947654657642268,-0.104114716032776,-0.09988878606391,-0.0926201127384141,-0.319118624785142,-0.0759726510951439,-0.246803776783423,-0.0822435970974509,-0.163153257795677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anas_superciliosa,1,-0.00881000118255049,-0.00881000118255049,-0.00881000118255049,-0.00881000118255137,-0.00881000118255049,-0.00881000118255049,-0.00881000118255049,-0.00881000118255049,-0.00881000118255049,-0.00881000118255049,-0.00881000118255049,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0392316795559222,-0.0410957244119632,-0.0438227642146893,-0.0457044834605331,0.074536719800274,-0.021429443575081,-0.10199271959936,-0.0766700901035868,0.00311759407822343,0.0268979174531597,-0.0193250815754342,-0.0500738903760501,-0.0150231121623218,0.0332719125253229,0.0209963175286323,-0.0516742419734625,-0.127404460082889,-0.330474068014463,NA,NA,NA,NA,NA,NA,NA
Pluvialis_squatarola,1,NA,NA,-0.00553679500306625,-0.00579934731165466,-0.00632445192883102,-0.00711210885459668,-0.00816231808895029,-0.00947558130753068,-0.0110539052128933,-0.0128977914806756,-0.0150072401108792,-0.0173822511035027,-0.0200054324389096,-0.0228072160385544,-0.0257702098827997,-0.0288944139716463,-0.0321798283050936,-0.035602184325854,-0.039064407804779,-0.0425422301845801,-0.0460356514652591,-0.0495446716468135,-0.0530428373506109,-0.056424335062111,-0.0596627114026784,-0.0627579663723148,-0.0657100999710187,-0.068497125334346,-0.0710310950045141,-0.0732900221170789,-0.0752739066720405,-0.0769827486693976,-0.0784145952207604,-0.0795616347725635,-0.0804219144364157,-0.0809954342123168,-0.0812821941002676,NA,NA,NA,NA,NA,NA,NA,NA
Tringa_brevipes,1,NA,NA,-0.102703520744142,-0.103782975872023,-0.10522666438147,-0.104296302688271,-0.0976476195786113,-0.0845179499224904,-0.0671091446664085,-0.0475065504036412,-0.0263226943582269,-0.00546784946028489,0.0102176805554206,0.016853764683159,0.0160829313282265,0.0129425284561802,0.00909360929299807,-0.0338146727903015,-0.0407354521604982,-0.0491099054827487,-0.0548775989089119,-0.0540656000054762,-0.0448980046349157,-0.0289253711329044,-0.0102225970296154,0.00644537297821174,0.017615903047567,0.0221902808456526,0.0211163424913386,0.0165182871630399,0.0110109287318297,0.00689019398172236,0.00512205358152912,-0.0489676663434895,-0.0472401463781455,-0.0459570874516486,NA,NA,NA,NA,NA,NA,NA,NA,NA
