ID,min_year,max_year
652,1970,1981
653,1956,1980
654,1973,1992
721,2003,2004
722,2003,2004
723,2003,2005
724,2003,2005
725,2003,2004
726,2003,2005
727,2003,2005
728,2004,2005
729,2003,2005
730,2003,2005
731,2003,2005
732,2003,2005
733,2003,2004
734,2003,2004
735,2003,2005
736,2003,2005
737,2003,2005
738,2003,2005
739,2003,2005
740,2003,2004
741,2003,2005
742,2003,2005
743,2003,2004
744,2003,2005
745,2003,2005
746,2003,2004
747,2003,2004
748,2003,2005
749,2003,2004
750,2003,2005
751,2003,2005
752,2003,2004
753,2003,2005
754,2003,2005
755,2003,2004
756,2003,2004
757,2003,2005
758,2003,2004
759,2003,2005
760,2003,2005
761,2003,2005
762,2003,2005
763,2003,2005
764,2003,2004
765,2003,2005
766,2003,2005
767,2003,2005
768,2003,2005
769,2003,2005
770,2003,2004
771,2003,2004
772,2003,2005
773,2003,2005
774,2003,2004
775,2003,2005
776,2003,2004
777,2003,2005
778,2003,2005
779,2003,2005
780,2003,2005
781,2003,2004
782,1990,2006
783,2003,2004
784,2003,2004
785,2003,2004
786,2003,2005
787,2003,2004
788,2003,2004
789,2003,2005
790,2003,2005
791,2003,2004
792,2003,2005
793,2003,2005
794,2003,2005
795,2003,2005
796,2003,2004
797,2003,2004
798,2003,2005
799,2003,2004
800,2003,2005
801,2004,2005
802,2003,2005
803,2003,2005
804,2003,2005
805,2003,2005
806,2003,2004
1330,1969,2002
4607,1987,2002
4611,1968,1973
5140,1980,1988
5166,1990,2006
5169,1990,2006
5170,1990,2006
6168,1976,2002
6388,1997,2002
6430,1990,2002
6459,1983,2006
8585,1990,2007
8591,1990,2007
8605,1994,2008
8653,1994,2008
8655,1994,2008
8659,1990,2007
8662,1990,2007
8663,1990,2007
8664,1994,2008
8665,1990,2007
8666,1994,2008
8667,1994,2008
8793,2000,2008
8794,2000,2008
8795,2000,2008
8797,2000,2008
8799,2000,2008
8817,1974,2007
8818,1974,2008
8819,1972,2006
8825,1974,2008
8835,1974,2008
8836,1974,2008
8838,1974,2008
8910,1976,1998
8918,1976,1998
8919,1976,1998
8928,1974,2008
8929,1974,2008
8930,1974,2008
8938,1965,2008
8939,1965,2008
8940,1965,2007
8941,1965,2008
8942,1965,2008
8943,1981,2003
8944,1981,2003
8948,1982,2003
8949,1982,2003
8958,1985,2005
8959,2002,2005
8960,1982,2008
8961,1982,2008
8962,1982,2008
8963,1982,2008
8964,1988,2008
9005,1980,2004
9006,1982,2006
9007,1980,2006
9008,1980,2005
9009,1980,2006
9010,1980,2002
9011,1984,2006
9025,1976,2003
9026,1976,2003
9027,1989,2003
9028,1976,2003
9029,1976,2003
9030,1976,1999
9031,1976,2003
9032,1977,2002
9033,1977,2002
9541,2000,2008
9544,2000,2007
9545,2000,2007
10422,2000,2006
10424,2000,2006
10428,2000,2006
10429,1996,2001
10460,2000,2001
10463,2000,2001
10580,1990,1993
10584,1989,1993
10585,1989,1993
10586,1990,1991
10589,1989,1993
10591,1989,1993
10592,1989,1993
10593,1989,1993
10594,1990,1993
10595,1990,1993
10596,1991,1993
10598,1989,1993
10600,1990,1992
10601,1990,1993
10602,1990,1993
10603,1990,1991
10604,1989,1992
10605,1989,1993
10606,1992,1993
10607,1989,1993
10608,1989,1992
10609,1989,1993
10610,1989,1992
10611,1991,1993
10612,1989,1993
10613,1991,1993
10620,1990,1993
10621,1990,1992
10622,1989,1992
10633,1989,1993
10634,1989,1993
10635,1991,1993
10636,1989,1993
10637,1989,1993
10639,1989,1992
10640,1989,1993
10641,1989,1993
10642,1989,1990
10643,1989,1993
10644,1991,1993
10658,1989,1993
10659,1991,1993
10660,1989,1993
10661,1989,1991
10662,1990,1991
10663,1989,1992
11448,1982,2007
11452,1982,2007
12016,1981,2000
12019,1993,1999
12022,1988,2000
12076,2002,2010
12176,2001,2008
12249,1987,2003
12268,1987,2003
12277,1982,1999
12283,1972,2007
12302,1983,2000
12348,1987,2003
12355,1982,2000
12359,1994,2003
12362,1987,2003
12363,1975,2012
12365,1987,2003
12368,2004,2008
12369,1974,2011
12370,2004,2008
12377,1974,2011
12392,1982,2000
12402,1972,2007
12477,1981,2009
12613,2008,2012
18237,2004,2007
18244,2004,2007
18247,2004,2007
18248,2004,2007
19720,2008,2015
27130,2008,2012
27131,2009,2012
27132,2008,2012
27133,2008,2012
27134,2008,2012
27135,2009,2012
27136,2008,2012
27137,2009,2012
27138,2008,2012
27139,2008,2010
27140,2008,2012
27141,2008,2012
27142,2008,2012
27143,2008,2012
27144,2008,2012
27145,2008,2012
27146,2008,2012
27147,2008,2012
27148,2008,2012
