"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" -99 NA NA
"1972" -99 NA NA
"1973" -99 NA NA
"1974" 1.27557683935568 1.27557683935568 1.27557683935568
"1975" 3.09577710056596 3.09577710056596 3.09577710056596
"1976" 3.63561166739225 3.63561166739225 3.63561166739225
"1977" -99 NA NA
"1978" -99 NA NA
"1979" -99 NA NA
"1980" -99 NA NA
"1981" -99 NA NA
"1982" -99 NA NA
"1983" -99 NA NA
"1984" -99 NA NA
"1985" 1.37071651090343 4.98339293972769 4.98339293972769
"1986" 1.63593057502314 4.46569504612898 7.34666074699673
"1987" 1.83886633144934 4.09524670658029 11.915571219773
"1988" 1.18051684721329 2.00255077936506 7.64930090787814
"1989" 1.36955111054198 2.00396926795138 10.544173950714
"1990" 1.41118797812832 2.0391358368788 11.2403004744052
"1991" 1.45156455211319 2.0805928503647 11.6174297613098
"1992" 1.47809180684846 2.00306026215871 12.1403656877754
"1993" 1.49829920567299 2.06422821760745 12.3770526618563
"1994" 1.26775577221613 1.56736482830214 10.8181891834105
"1995" 1.55069781369224 1.90008402530591 15.1398534925682
"1996" 1.35662695234584 1.53312278662605 14.8742164433564
"1997" 1.32579494466038 1.50565477090001 15.0698622465394
"1998" 1.44672775791876 1.56299380396157 17.088096594468
"1999" 1.34722830947805 1.41097790712826 16.3540706215903
"2000" 1.35747133722109 1.39840909745795 16.4228053130726
"2001" 1.41868891288637 1.46908290810051 17.6768852419433
"2002" 1.29970666827177 1.34983692016902 16.4089975183959
"2003" 1.17861830526676 1.31541719807964 14.7466938450084
"2004" 1.15746989209037 1.2706633323503 13.7577444044182
"2005" 1.39153691469478 1.59562284356689 17.1635155695724
"2006" 1.46704739191386 1.6117336644693 15.8096596224848
"2007" 1.36770593303752 1.55871474778288 14.6618464504274
"2008" 0.86118809064109 0.832337103223806 8.69462973253552
"2009" 0.537073938596012 0.5030718856156 5.33785357790624
"2010" 0.53333535375527 0.494559044197287 6.27201572117689
"2011" 0.738670630105617 0.581151369500934 8.62858903978417
"2012" 0.590847545465104 0.359125861540799 8.5315961920253
"2013" 0.566664713660065 0.35973431423576 8.14482980940056
"2014" 0.622428600792344 0.395134760413328 8.94633969567785
"2015" -99 NA NA
"2016" -99 NA NA
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
