Binomial	ID	year	popvalue
Oncorhynchus_tshawytscha	10578	1973	4594
Oncorhynchus_tshawytscha	10578	1974	5860
Oncorhynchus_tshawytscha	10578	1975	14222
Oncorhynchus_tshawytscha	10578	1976	16702
Channa_striata	10545	1984	19.26
Trichopodus_pectoralis	26840	1985	1554
Clarias_macrocephalus	26839	1985	295
Channa_striata	26837	1985	353
Macquaria_ambigua	26640	1985	13.33
Argyrosomus_japonicus	25665	1985	25.31
Argyrosomus_japonicus	25497	1985	14.82
Channa_striata	10545	1985	26.4
Pangasianodon_gigas	27191	1986	0.970538
Trichopodus_pectoralis	26840	1986	1680
Clarias_macrocephalus	26839	1986	589
Channa_striata	26837	1986	519
Macquaria_ambigua	26640	1986	12.6
Argyrosomus_japonicus	25665	1986	16.38
Argyrosomus_japonicus	25497	1986	14.54
Channa_striata	10534	1986	4.7
Pangasianodon_gigas	27191	1987	0.989568
Trichopodus_pectoralis	26840	1987	6649
Clarias_macrocephalus	26839	1987	506
Channa_striata	26837	1987	276
Macquaria_ambigua	26640	1987	10.24
Argyrosomus_japonicus	25665	1987	15.38
Argyrosomus_japonicus	25497	1987	8.15
Toxotes_chatareus	11271	1987	0.07
Nematalosa_erebi	11260	1987	4.54
Lates_calcarifer	11250	1987	5.58
Plicofollis_argyropleuron	11225	1987	1.01
Neoarius_leptaspis	11220	1987	0.91
Channa_striata	10534	1987	4.7
Lates_calcarifer	10527	1987	0
Lates_calcarifer	10525	1987	0
Lates_calcarifer	10524	1987	7.25
Pangasianodon_gigas	27191	1988	1.669618
Macquaria_ambigua	26640	1988	13.51
Argyrosomus_japonicus	25665	1988	6.95
Argyrosomus_japonicus	25497	1988	6.46
Toxotes_chatareus	11271	1988	0.06
Nematalosa_erebi	11260	1988	0.69
Lates_calcarifer	11250	1988	3.2
Plicofollis_argyropleuron	11225	1988	0.67
Neoarius_leptaspis	11220	1988	0.27
Lates_calcarifer	10527	1988	1.78
Lates_calcarifer	10525	1988	5.78
Lates_calcarifer	10524	1988	42.65
Pangasianodon_gigas	27191	1989	1.515555
Macquaria_ambigua	26640	1989	9.2
Argyrosomus_japonicus	25665	1989	10.67
Argyrosomus_japonicus	25497	1989	10.07
Toxotes_chatareus	11271	1989	0.02
Nematalosa_erebi	11260	1989	2.14
Lates_calcarifer	11250	1989	4.66
Plicofollis_argyropleuron	11225	1989	0.69
Neoarius_leptaspis	11220	1989	0.59
Lates_calcarifer	10527	1989	2.32
Lates_calcarifer	10525	1989	9.68
Lates_calcarifer	10524	1989	39.18
Pangasianodon_gigas	27191	1990	1.109298
Macquaria_ambigua	26640	1990	7.45
Argyrosomus_japonicus	25665	1990	20.6
Argyrosomus_japonicus	25497	1990	17.78
Lates_calcarifer	10527	1990	1.52
Lates_calcarifer	10525	1990	12.91
Lates_calcarifer	10524	1990	57.15
Lates_calcarifer	10523	1990	13.65
Pangasianodon_gigas	27191	1991	0.427436
Macquaria_ambigua	26640	1991	15.54
Argyrosomus_japonicus	25665	1991	30.02
Argyrosomus_japonicus	25497	1991	22.01
Anguilla_dieffenbachii	10558	1991	1.02
Anguilla_dieffenbachii	10557	1991	1.02
Anguilla_dieffenbachii	10556	1991	1
Anguilla_australis	10554	1991	1
Lates_calcarifer	10527	1991	4.09
Lates_calcarifer	10525	1991	3.4
Lates_calcarifer	10524	1991	89.88
Lates_calcarifer	10523	1991	4.09
Pangasianodon_gigas	27191	1992	0.448766
Macquaria_ambigua	26640	1992	8.97
Argyrosomus_japonicus	25665	1992	20.35
Argyrosomus_japonicus	25497	1992	15.84
Anguilla_dieffenbachii	10558	1992	0.678
Anguilla_dieffenbachii	10557	1992	0.871
Anguilla_dieffenbachii	10556	1992	0.57
Anguilla_australis	10554	1992	0.63
Lates_calcarifer	10527	1992	0
Lates_calcarifer	10525	1992	30.09
Lates_calcarifer	10524	1992	45.51
Lates_calcarifer	10523	1992	4.64
Pangasianodon_gigas	27191	1993	0.756075
Macquaria_ambigua	26640	1993	41.27
Argyrosomus_japonicus	25665	1993	23.82
Argyrosomus_japonicus	25497	1993	17.5
Anguilla_dieffenbachii	10558	1993	0.557
Anguilla_dieffenbachii	10557	1993	0.823
Anguilla_dieffenbachii	10556	1993	0.762
Anguilla_australis	10554	1993	1.5
Lates_calcarifer	10527	1993	1.82
Lates_calcarifer	10525	1993	8.51
Lates_calcarifer	10524	1993	26.61
Lates_calcarifer	10523	1993	7.21
Probarbus_labeamajor	6327	1993	2.5
Probarbus_jullieni	6326	1993	11.25
Pangasianodon_gigas	27191	1994	0.25881
Macquaria_ambigua	26640	1994	36.75
Argyrosomus_japonicus	25665	1994	53.85
Argyrosomus_japonicus	25497	1994	44.98
Anguilla_dieffenbachii	10558	1994	0.532
Anguilla_dieffenbachii	10557	1994	0.726
Anguilla_dieffenbachii	10556	1994	1.81
Anguilla_australis	10554	1994	1
Lates_calcarifer	10527	1994	2.37
Lates_calcarifer	10525	1994	3.02
Lates_calcarifer	10524	1994	27.16
Lates_calcarifer	10523	1994	13.15
Craterocephalus_stercusmuscarum	9283	1994	0
Hypseleotris_compressa	9277	1994	0
Planiliza_subviridis	9270	1994	1.65
Pseudomugil_signifer	9262	1994	10.84
Probarbus_labeamajor	6327	1994	0.5
Probarbus_jullieni	6326	1994	7.75
Pangasianodon_gigas	27191	1995	0.214007
Macquaria_ambigua	26640	1995	40.64
Argyrosomus_japonicus	25665	1995	41.94
Argyrosomus_japonicus	25497	1995	25.22
Anguilla_dieffenbachii	10558	1995	0.508
Anguilla_dieffenbachii	10557	1995	0.92
Anguilla_dieffenbachii	10556	1995	2.29
