ID,min_year,max_year
6209,1997,2003
6326,1993,1998
6327,1993,1998
7845,1995,2003
7846,1995,2003
7847,1995,2003
7848,1995,2003
7849,1995,2003
7850,1995,2003
7851,1995,2003
7852,1995,2003
9262,1994,2000
9270,1994,2000
9277,1994,2000
9283,1994,2000
9537,2005,2008
9538,2005,2008
9539,2005,2008
10523,1990,2001
10524,1987,2001
10525,1987,2001
10527,1987,2001
10534,1986,1987
10545,1984,1985
10552,1996,2002
10553,1996,2002
10554,1991,1999
10556,1991,1999
10557,1991,2000
10558,1991,1999
10578,1973,1976
11220,1987,2005
11225,1987,2005
11250,1987,2005
11260,1987,2005
11271,1987,2005
18475,1998,2013
18477,2011,2013
19383,2010,2013
25497,1985,2001
25617,1998,2012
25618,1998,2012
25665,1985,2014
26587,2006,2007
26592,2006,2007
26617,1997,2002
26628,1997,2002
26629,1997,2002
26630,1997,2002
26632,1997,2002
26633,1997,2002
26634,1997,2002
26635,1997,2002
26637,1997,2002
26640,1985,2013
26647,2005,2013
26666,2006,2012
26669,2006,2012
26673,2006,2012
26674,2006,2012
26677,2006,2012
26680,2006,2009
26682,2006,2012
26683,2006,2012
26699,2007,2009
26701,2007,2009
26702,2007,2009
26703,2007,2008
26704,2007,2009
26705,2007,2009
26706,2007,2009
26707,2007,2008
26708,2007,2009
26712,2007,2009
26713,2007,2008
26715,2008,2012
26829,2003,2013
26837,1985,1987
26839,1985,1987
26840,1985,1987
26844,2007,2009
26846,2007,2009
26847,2007,2008
26848,2007,2009
26863,2007,2009
26867,2007,2009
26869,2007,2009
26878,2007,2008
26907,2007,2008
26935,2000,2005
26936,2000,2005
26937,2000,2005
26938,2000,2005
26939,2000,2005
26940,2000,2005
26941,2000,2005
26942,2000,2005
26943,2000,2005
26944,2000,2005
26945,2000,2005
26946,2000,2005
26947,2000,2005
26951,2000,2004
26956,2000,2005
26957,2001,2005
26958,2000,2005
26961,2000,2005
26964,2000,2005
26965,2000,2005
26985,2000,2005
26986,2000,2005
26987,2000,2005
26988,2000,2005
26989,2000,2002
26990,2000,2005
26991,2000,2004
26992,2000,2005
26993,2000,2005
26994,2000,2005
26995,2000,2005
26996,2000,2002
26997,2000,2005
26998,2000,2005
26999,2002,2004
27000,2002,2005
27001,2000,2005
27002,2001,2002
27003,2000,2005
27004,2003,2005
27005,2001,2005
27006,2004,2005
27007,2004,2005
27008,2000,2005
27009,2000,2005
27010,2000,2005
27011,2000,2005
27012,2000,2005
27013,2000,2005
27014,2002,2005
27015,2000,2002
27016,2001,2005
27017,2000,2005
27018,2000,2005
27019,2000,2005
27020,2002,2005
27021,2002,2005
27022,2000,2004
27023,2000,2005
27024,2000,2005
27025,2000,2005
27026,2000,2005
27027,2000,2005
27028,2001,2005
27029,2000,2005
27030,2000,2005
27031,2003,2005
27032,2000,2005
27033,2000,2005
27034,2000,2005
27035,2000,2005
27036,2000,2003
27037,2003,2005
27038,2000,2001
27039,2000,2005
27040,2000,2005
27041,2001,2005
27042,2000,2005
27043,2001,2005
27044,2000,2005
27045,2001,2003
27046,2000,2005
27047,2001,2005
27048,2004,2005
27049,2000,2003
27050,2000,2005
27051,2000,2005
27052,2000,2005
27053,2000,2005
27054,2001,2005
27055,2000,2003
27056,2003,2005
27057,2000,2005
27058,2000,2005
27059,2002,2005
27060,2000,2005
27061,2000,2005
27062,2000,2005
27063,2000,2005
27064,2000,2005
27065,2000,2001
27066,2000,2005
27067,2000,2005
27068,2000,2005
27069,2000,2005
27070,2000,2005
27071,2000,2004
27072,2000,2005
27073,2000,2005
27074,2000,2004
27075,2000,2005
27076,2004,2005
27077,2000,2005
27078,2000,2005
27079,2002,2005
27080,2000,2005
27081,2000,2005
27082,2000,2005
27083,2000,2005
27084,2000,2004
27191,1986,1997
27238,2008,2011
27239,2007,2011
27240,2007,2010
27241,2007,2009
27242,2007,2011
27243,2007,2011
27244,2007,2011
27245,2007,2011
27246,2007,2011
27247,2007,2010
27248,2007,2011
27249,2007,2011
27250,2008,2011
27251,2007,2010
27252,2007,2010
27253,2009,2010
27254,2009,2011
27255,2008,2010
27256,2007,2010
27257,2007,2010
27258,2007,2010
