Binomial	ID	year	popvalue
Meristogenys_phaeomerus	695	1962	56
Meristogenys_phaeomerus	696	1962	62
Meristogenys_phaeomerus	697	1962	214
Phrynoidis_aspera	698	1962	83
Phrynoidis_aspera	699	1962	82
Phrynoidis_aspera	700	1962	52
Ingerophrynus_divergens	701	1962	40
Ingerophrynus_divergens	702	1962	0
Rentapia_hosii	703	1962	30
Rentapia_hosii	704	1962	37
Rentapia_hosii	705	1962	50
Limnonectes_blythii	706	1962	185
Limnonectes_blythii	707	1962	208
Limnonectes_blythii	708	1962	205
Chalcorana_chalconota	709	1962	77
Chalcorana_chalconota	710	1962	77
Chalcorana_chalconota	711	1962	97
Odorrana_hosii	712	1962	36
Odorrana_hosii	713	1962	35
Odorrana_hosii	714	1962	28
Limnonectes_ibanorum	715	1962	132
Limnonectes_ibanorum	716	1962	92
Limnonectes_ibanorum	717	1962	129
Pulchrana_signata	718	1962	50
Pulchrana_signata	719	1962	67
Pulchrana_signata	720	1962	183
Pseudemydura_umbrina	671	1963	22
Pseudemydura_umbrina	672	1963	53
Pseudemydura_umbrina	671	1964	23
Pseudemydura_umbrina	672	1964	75
Pseudemydura_umbrina	671	1965	18
Pseudemydura_umbrina	672	1965	97
Pseudemydura_umbrina	671	1966	17
Pseudemydura_umbrina	672	1966	102
Pseudemydura_umbrina	671	1967	16
Pseudemydura_umbrina	672	1967	76
Pseudemydura_umbrina	671	1968	17
Pseudemydura_umbrina	672	1968	61
Pseudemydura_umbrina	671	1969	16
Pseudemydura_umbrina	672	1969	60
Pseudemydura_umbrina	671	1970	18
Pseudemydura_umbrina	672	1970	58
Meristogenys_phaeomerus	695	1970	26
Meristogenys_phaeomerus	696	1970	14
Meristogenys_phaeomerus	697	1970	102
Phrynoidis_aspera	698	1970	14
Phrynoidis_aspera	699	1970	24
Phrynoidis_aspera	700	1970	17
Ingerophrynus_divergens	701	1970	9
Ingerophrynus_divergens	702	1970	5
Rentapia_hosii	703	1970	4
Rentapia_hosii	704	1970	4
Rentapia_hosii	705	1970	35
Limnonectes_blythii	706	1970	35
Limnonectes_blythii	707	1970	55
Limnonectes_blythii	708	1970	33
Chalcorana_chalconota	709	1970	40
Chalcorana_chalconota	710	1970	22
Chalcorana_chalconota	711	1970	64
Odorrana_hosii	712	1970	54
Odorrana_hosii	713	1970	4
Odorrana_hosii	714	1970	8
Limnonectes_ibanorum	715	1970	56
Limnonectes_ibanorum	716	1970	23
Limnonectes_ibanorum	717	1970	44
Pulchrana_signata	718	1970	10
Pulchrana_signata	719	1970	27
Pulchrana_signata	720	1970	35
Pseudemydura_umbrina	671	1971	17
Pseudemydura_umbrina	672	1971	51
Pseudemydura_umbrina	671	1972	18
Pseudemydura_umbrina	672	1972	39
