ID,min_year,max_year
643,1983,1997
644,1983,1997
645,1986,1998
646,1986,1998
647,1987,1997
648,1986,1997
649,1989,1998
650,1987,1997
651,1987,1997
655,1981,1995
656,1981,1995
657,1981,1995
658,1981,1995
659,1981,1995
660,1981,1995
661,1981,1995
662,1981,1995
663,1981,1995
664,1981,1995
665,1981,1995
666,1981,1995
667,1981,1995
668,1981,1995
669,1981,1995
670,1971,1994
671,1963,2001
672,1963,2001
673,1965,2001
695,1962,1984
696,1962,1984
697,1962,1984
698,1962,1984
699,1962,1984
700,1962,1984
701,1962,1984
702,1962,1984
703,1962,1984
704,1962,1984
705,1962,1984
706,1962,1984
707,1962,1984
708,1962,1984
709,1962,1984
710,1962,1984
711,1962,1984
712,1962,1984
713,1962,1984
714,1962,1984
715,1962,1984
716,1962,1984
717,1962,1984
718,1962,1984
719,1962,1984
720,1962,1984
811,1988,1994
812,1985,1995
813,1990,1994
814,1981,1998
815,1980,1990
817,1980,1990
818,1980,1990
3500,1976,1983
3501,1976,1983
3502,1974,1983
3503,1974,1983
3506,1975,1983
3507,1975,1983
3508,1975,1983
3509,1975,1983
3510,1975,1983
3511,1975,1983
4810,1993,2003
4811,1973,2003
4823,1999,2003
5174,1981,1995
5175,1987,1995
5176,1988,1995
5177,1989,1995
5178,1982,1996
5179,1983,1996
5180,1988,1996
5193,1990,2001
6252,1993,1994
6253,1993,1994
6254,1993,1994
6356,1993,1994
6472,1997,2000
7802,2005,2007
7803,2005,2007
7804,2005,2007
7805,2005,2007
7982,1996,1998
8471,2000,2007
11215,1997,2006
14954,2001,2008
14955,2001,2007
17726,1996,2002
17727,1996,2002
17728,1996,2002
17729,1996,2002
17730,1996,2002
17762,1990,1998
17763,1990,1998
17764,1990,1998
17765,1990,1998
17766,1990,1998
17767,1990,1998
17768,1977,2009
17769,1975,2008
17770,1975,2008
17772,1978,2009
17773,1977,2007
17774,1975,2008
17775,1976,2008
17776,1977,2007
17777,1977,2007
17778,1984,2009
17779,1976,2008
17780,1978,2007
18255,1978,2012
18257,1978,2013
18343,1987,1988
18593,2001,2015
18600,2003,2015
18868,1990,1992
18876,1991,2013
19384,2011,2014
19703,2005,2014
19708,1999,2014
19709,1999,2014
19711,1999,2014
19713,1999,2014
19714,2007,2014
19716,2007,2014
19772,2009,2010
19775,1993,2007
19829,2005,2016
19831,2005,2016
19832,2008,2016
25501,1985,1987
25664,2011,2017
