Binomial	ID	year	popvalue
Thalasseus_sandvicensis	11186	1950	2695
Melanogrammus_aeglefinus	1485	1950	101105
Melanogrammus_aeglefinus	1482	1950	69.6
Thalasseus_sandvicensis	11186	1951	2652
Melanogrammus_aeglefinus	1485	1951	95559
Melanogrammus_aeglefinus	1482	1951	77.1
Thalasseus_sandvicensis	11186	1952	2617
Melanogrammus_aeglefinus	1485	1952	100574
Melanogrammus_aeglefinus	1482	1952	75
Thalasseus_sandvicensis	11186	1953	2964
Melanogrammus_aeglefinus	1485	1953	98988
Melanogrammus_aeglefinus	1482	1953	97.4
Thalasseus_sandvicensis	11186	1954	3287
Melanogrammus_aeglefinus	1485	1954	120271
Melanogrammus_aeglefinus	1482	1954	75.4
Thalasseus_sandvicensis	11186	1955	2593
Melanogrammus_aeglefinus	1485	1955	126099
Melanogrammus_aeglefinus	1482	1955	62.8
Thalasseus_sandvicensis	11186	1956	3482
Cervus_elaphus	11167	1956	13804
Melanogrammus_aeglefinus	1485	1956	143271
Melanogrammus_aeglefinus	1482	1956	88.7
Thalasseus_sandvicensis	11186	1957	6566
Cervus_elaphus	11167	1957	14706
Melanogrammus_aeglefinus	1485	1957	137054
Melanogrammus_aeglefinus	1482	1957	82.4
Melanogrammus_aeglefinus	1478	1957	51049
Thalasseus_sandvicensis	11186	1958	3841
Cervus_elaphus	11167	1958	16507
Melanogrammus_aeglefinus	1485	1958	140062
Melanogrammus_aeglefinus	1482	1958	74.6
Melanogrammus_aeglefinus	1478	1958	51409
Plectrophenax_nivalis	12082	1959	20.171
Thalasseus_sandvicensis	11186	1959	4545
Cervus_elaphus	11167	1959	19507
Melanogrammus_aeglefinus	1485	1959	143040
Melanogrammus_aeglefinus	1482	1959	68.6
Melanogrammus_aeglefinus	1478	1959	48340
Plectrophenax_nivalis	12082	1960	20.0022
Thalasseus_sandvicensis	11188	1960	10022
Thalasseus_sandvicensis	11186	1960	4521
Cervus_elaphus	11169	1960	16733
Cervus_elaphus	11167	1960	21157
Melanogrammus_aeglefinus	1485	1960	174626
Melanogrammus_aeglefinus	1482	1960	70.1
Melanogrammus_aeglefinus	1478	1960	51101
Plectrophenax_nivalis	12082	1961	19.9466
Thalasseus_sandvicensis	11188	1961	11866
Thalasseus_sandvicensis	11186	1961	2471
Cervus_elaphus	11169	1961	10200
Cervus_elaphus	11167	1961	23857
Melanogrammus_aeglefinus	1485	1961	211328
Melanogrammus_aeglefinus	1482	1961	74.6
Melanogrammus_aeglefinus	1478	1961	47901
Melanogrammus_aeglefinus	1475	1961	47797
Plectrophenax_nivalis	12082	1962	11.9022
Thalasseus_sandvicensis	11188	1962	12347
Thalasseus_sandvicensis	11186	1962	3346
Cervus_elaphus	11169	1962	16530
Cervus_elaphus	11167	1962	24460
Aptenodytes_forsteri	10190	1962	5652
Melanogrammus_aeglefinus	1485	1962	201264
Melanogrammus_aeglefinus	1483	1962	38.5
Melanogrammus_aeglefinus	1482	1962	56.3
Melanogrammus_aeglefinus	1478	1962	52039
Melanogrammus_aeglefinus	1477	1962	355
Melanogrammus_aeglefinus	1475	1962	51875
Plectrophenax_nivalis	12082	1963	4.2546
Thalasseus_sandvicensis	11188	1963	4596
Thalasseus_sandvicensis	11186	1963	4910
Cervus_elaphus	11169	1963	17483
Cervus_elaphus	11167	1963	22218
Aptenodytes_forsteri	10190	1963	6246
Melanogrammus_aeglefinus	1485	1963	164252
Melanogrammus_aeglefinus	1483	1963	42
Melanogrammus_aeglefinus	1482	1963	54.6
Melanogrammus_aeglefinus	1478	1963	49706
Melanogrammus_aeglefinus	1477	1963	246
Melanogrammus_aeglefinus	1475	1963	49547
Plectrophenax_nivalis	12082	1964	3.5192
Thalasseus_sandvicensis	11188	1964	2267
Thalasseus_sandvicensis	11186	1964	5117
Cervus_elaphus	11169	1964	20871
Cervus_elaphus	11167	1964	21623
Aptenodytes_forsteri	10190	1964	6006
Melanogrammus_aeglefinus	1485	1964	128555
Melanogrammus_aeglefinus	1483	1964	38
Melanogrammus_aeglefinus	1482	1964	41
Melanogrammus_aeglefinus	1478	1964	44185
Melanogrammus_aeglefinus	1477	1964	201
Melanogrammus_aeglefinus	1475	1964	44128
Plectrophenax_nivalis	12082	1965	3.6336
Thalasseus_sandvicensis	11188	1965	875
Thalasseus_sandvicensis	11186	1965	2243
Cervus_elaphus	11169	1965	21000
Cervus_elaphus	11167	1965	21177
Aptenodytes_forsteri	10190	1965	5029
Melanogrammus_aeglefinus	1485	1965	145017
Melanogrammus_aeglefinus	1483	1965	36.5
Melanogrammus_aeglefinus	1482	1965	35.5
Melanogrammus_aeglefinus	1478	1965	45605
Melanogrammus_aeglefinus	1477	1965	165
Melanogrammus_aeglefinus	1475	1965	45556
Plectrophenax_nivalis	12082	1966	3.9179
Thalasseus_sandvicensis	11188	1966	1695
Thalasseus_sandvicensis	11186	1966	3127
Cervus_elaphus	11169	1966	20800
Cervus_elaphus	11167	1966	20582
Aptenodytes_forsteri	10190	1966	5780
Melanogrammus_aeglefinus	1485	1966	180505
Melanogrammus_aeglefinus	1483	1966	46
Melanogrammus_aeglefinus	1482	1966	26.4
Melanogrammus_aeglefinus	1478	1966	44027
Melanogrammus_aeglefinus	1477	1966	118
Melanogrammus_aeglefinus	1475	1966	43955
Plectrophenax_nivalis	12082	1967	5.5622
Thalasseus_sandvicensis	11188	1967	1200
Thalasseus_sandvicensis	11186	1967	3740
Cervus_elaphus	11169	1967	21800
Cervus_elaphus	11167	1967	23581
Aptenodytes_forsteri	10190	1967	5865
Melanogrammus_aeglefinus	1485	1967	112084
Melanogrammus_aeglefinus	1483	1967	44.5
Melanogrammus_aeglefinus	1482	1967	28.3
Melanogrammus_aeglefinus	1478	1967	42086
Melanogrammus_aeglefinus	1477	1967	107
Melanogrammus_aeglefinus	1475	1967	41962
Plectrophenax_nivalis	12082	1968	3.0703
Thalasseus_sandvicensis	11188	1968	1566
Thalasseus_sandvicensis	11186	1968	4563
Cervus_elaphus	11170	1968	12493
Cervus_elaphus	11169	1968	24980
Cervus_elaphus	11167	1968	24781
Aptenodytes_forsteri	10190	1968	5398
Melanogrammus_aeglefinus	1485	1968	75072
Melanogrammus_aeglefinus	1483	1968	38
Melanogrammus_aeglefinus	1482	1968	26.1
