Binomial	ID	year	popvalue
Grus_americana	1048	1950	29
Grus_americana	1050	1950	1
Grus_americana	1048	1951	26
Grus_americana	1050	1951	0
Grus_americana	1048	1952	21
Grus_americana	1048	1953	20
Grus_americana	1048	1954	20
Grus_americana	1048	1955	20
Grus_americana	1048	1956	20
Grus_americana	1048	1957	22
Grus_americana	1048	1958	22
Grus_americana	1048	1959	22
Grus_americana	1048	1960	30
Spatula_discors	1011	1961	13640
Dendrocygna_bicolor	1042	1961	5160
Grus_americana	1048	1961	31
Spatula_discors	1011	1962	2420
Dendrocygna_bicolor	1042	1962	5160
Grus_americana	1048	1962	31
Spatula_discors	1011	1963	3350
Dendrocygna_bicolor	1042	1963	5050
Grus_americana	1048	1963	34
Spatula_discors	1011	1964	2770
Dendrocygna_bicolor	1042	1964	5060
Grus_americana	1048	1964	30
Spatula_discors	1011	1965	4570
Dendrocygna_autumnalis	1041	1965	23060
Dendrocygna_bicolor	1042	1965	7340
Grus_americana	1048	1965	30
Spatula_discors	1011	1966	4990
Dendrocygna_autumnalis	1041	1966	10500
Dendrocygna_bicolor	1042	1966	860
Grus_americana	1048	1966	35
Butorides_striata	2872	1966	0.964799
Rallus_longirostris	2935	1966	0.805466
Spatula_discors	1011	1967	3860
Dendrocygna_autumnalis	1041	1967	6200
Dendrocygna_bicolor	1042	1967	1940
Grus_americana	1048	1967	38
Butorides_striata	2872	1967	0.889861
Rallus_longirostris	2935	1967	0.806053
Spatula_discors	1011	1968	5140
Dendrocygna_autumnalis	1041	1968	7330
Dendrocygna_bicolor	1042	1968	1360
Grus_americana	1048	1968	39
Butorides_striata	2872	1968	0.887798
Rallus_longirostris	2935	1968	0.766823
Spatula_discors	1011	1969	5140
Dendrocygna_autumnalis	1041	1969	8030
Dendrocygna_bicolor	1042	1969	820
Grus_americana	1048	1969	41
Butorides_striata	2872	1969	0.873758
Rallus_longirostris	2935	1969	0.732874
Spatula_discors	1011	1970	5320
Dendrocygna_autumnalis	1041	1970	3490
Dendrocygna_bicolor	1042	1970	500
Butorides_striata	2872	1970	0.878444
Rallus_longirostris	2935	1970	0.737977
Spatula_discors	1011	1971	5160
Dendrocygna_autumnalis	1041	1971	7410
Dendrocygna_bicolor	1042	1971	750
Butorides_striata	2872	1971	0.8275
