ID,min_year,max_year
991,1967,1993
992,1955,2002
994,1965,1981
995,1956,2001
996,1967,1993
998,1967,1993
999,1955,2002
1001,1955,2002
1002,1970,2016
1003,1967,1993
1005,1970,2016
1007,1955,2002
1008,1952,1977
1009,1970,2016
1010,1967,1993
1011,1961,2000
1013,1967,1993
1014,1955,2002
1016,1970,1995
1017,1970,2016
1018,1967,1993
1019,1955,2002
1021,1970,2016
1023,1965,1981
1024,1955,2002
1027,1965,1981
1029,1955,2002
1031,1970,2016
1032,1970,2016
1034,1970,2016
1035,1970,2014
1036,1967,1993
1037,1970,2016
1038,1967,1993
1039,1970,2016
1040,1967,1993
1041,1965,2000
1042,1961,2000
1043,1970,2016
1044,1967,1993
1045,1970,2011
1046,1970,2011
1047,1950,2008
1048,1950,2004
1049,1976,2004
1050,1950,1951
1051,2002,2004
1052,1959,1978
1053,1969,1989
1054,1957,1987
1055,1961,1982
1056,1972,1986
1057,1972,2016
1058,1984,1994
1059,1961,1986
1060,1968,2007
1061,1970,2016
1062,1970,2016
1063,1967,1993
1064,1990,2016
1065,1970,2016
1066,1970,2016
1068,1965,1981
1069,1970,2016
1070,1967,1993
1071,1970,2016
1072,1967,1993
1776,1970,2016
1777,1952,1993
2136,1980,1991
2137,1979,1988
2138,1980,1991
2139,1980,1991
2854,1966,2015
2855,1966,2015
2856,1967,2015
2857,1967,2015
2858,1967,2015
2859,1966,2015
2861,1966,2015
2863,1966,2015
2864,1966,2015
2865,1966,2007
2866,1966,2015
2867,1966,2015
2868,1966,2015
2869,1966,2015
2870,1966,2015
2872,1966,2015
2873,1966,2015
2874,1966,2015
2875,1966,2015
2876,1966,2015
2877,1967,2015
2878,1966,2015
2879,1966,2015
2882,1966,2015
2883,1967,2015
2885,1966,2015
2886,1966,2015
2887,1966,2015
2888,1966,2015
2889,1966,2015
2890,1966,2015
2891,1966,2015
2892,1966,2015
2893,1967,2015
2894,1966,2015
2895,1966,2015
2896,1966,2015
2897,1967,2015
2898,1967,2015
2899,1966,2015
2900,1966,2015
2901,1967,2015
2902,1966,2015
2903,1968,2015
2904,1966,2015
2905,1967,2015
2906,1966,2015
2910,1966,2015
2935,1966,2015
2936,1966,2015
2937,1966,2015
2938,1966,2011
2939,1966,2015
2940,1966,2015
2943,1966,2015
2944,1967,2015
2945,1967,2015
2946,1966,2015
2947,1966,2015
2950,1967,2015
2951,1966,2011
2952,1966,2015
2966,1966,2015
2998,1966,2015
3092,1966,2015
3093,1968,2015
3196,1966,2015
3284,1988,1994
3321,1982,1993
3322,1967,1993
4177,1970,2012
4178,1970,2014
4179,1970,2014
4180,1970,2014
4181,1970,2014
4182,1970,2014
4183,1970,2014
4184,1970,2014
4185,1970,2014
4186,1970,2014
4187,1970,2012
4188,1970,2012
4189,1970,2014
4190,1970,2014
4191,1970,2012
4192,1970,2014
4193,1970,2012
4194,1970,2014
4195,1970,2014
4196,1970,2014
4197,1970,2014
4198,1970,2014
4199,1970,2014
4200,1970,2014
4201,1970,2014
4202,1970,2014
4203,1970,2014
4204,1970,2014
4205,1970,2014
4206,1970,2012
4207,1970,2014
4208,1970,2014
4209,1970,2012
4210,1970,2014
4211,1970,2014
4212,1970,2014
4213,1980,2014
4214,1970,2014
4215,1968,2015
4216,1970,2014
4217,1970,2014
4218,1970,2014
4219,1970,2014
4220,1970,2014
4221,1970,2014
4222,1970,2014
4223,1970,2014
4224,1970,2014
4225,1970,2012
4226,1970,2014
4227,1970,2012
4228,1970,2014
4229,1970,2014
4230,1970,2014
4231,1970,2014
4232,1970,2014
4233,1970,2014
4234,1970,2016
4235,1970,2012
4236,1970,2014
4237,1970,2014
4238,1970,2014
4239,1970,2012
4240,1970,2014
4241,1970,2014
4242,1970,2014
4243,1970,2011
4244,1972,2012
4245,1970,2012
4246,1970,2012
4247,1970,2014
4248,1970,2012
4249,1970,2012
4250,1970,2014
4251,1970,2014
4252,1970,2014
4253,1970,2014
4254,1970,2014
4255,1970,2014
4256,1970,2014
4257,1970,2012
4258,1970,2014
4259,1970,2012
4260,1970,2014
4261,1970,2012
4262,1970,2012
4263,1970,2014
4264,1970,2014
4265,1970,2014
4266,1970,2014
4267,1970,2012
4268,1970,2014
4269,1970,2014
4270,1970,2014
4271,1970,2014
4272,1970,2012
4273,1970,2014
4274,1970,2012
4275,1970,2014
4276,1970,2014
4277,1990,2016
4345,1991,2001
4346,1991,2001
4347,1991,2001
4348,1991,2001
4538,1985,1991
4540,1975,1990
4555,1980,1993
6399,1991,2001
6403,1991,2001
6405,1991,2001
6406,1991,2001
8078,1981,1991
8090,1988,2007
8105,1996,2006
8223,1996,2007
8227,2005,2007
8228,2004,2007
8229,2005,2007
8230,2005,2007
8234,1996,2008
8449,1977,2004
8450,1977,2004
8451,1984,2004
8452,1971,1993
8454,1971,1993
8455,1971,1993
8547,1967,2015
9469,1985,2009
9470,1985,2009
9477,1994,2009
9481,1994,2009
9794,1992,2003
9795,1992,2003
12037,1981,2010
12061,1975,1995
12103,2000,2011
12104,2000,2011
12105,1971,1993
12106,1971,1993
12107,1971,1993
12109,2001,2002
12118,1993,1995
12186,1993,1995
12191,2000,2011
12202,1971,1999
12217,1984,2000
12221,1957,2006
12230,2000,2011
12232,1983,1986
12236,1983,1986
12245,2000,2011
12248,1983,1986
12420,1982,2006
12567,1991,1994
12904,1990,2013
12905,1990,2013
12913,1990,2012
12915,1990,2013
12916,1990,2013
12918,1971,2013
12924,1971,2013
12928,1971,2013
12930,1971,2013
12931,1971,2013
12938,1971,2013
12945,1971,2013
12946,1971,2013
12950,1971,2013
12953,1971,2013
12954,1971,2013
13058,1992,2005
13060,1992,2005
13061,1992,2005
13062,1992,2005
13064,1992,2005
13065,1992,2005
13067,1993,2005
13068,1993,2005
13073,1992,2005
13074,1993,2005
13075,1993,2005
13105,1992,2005
13106,1992,2005
13107,1992,2005
13108,1992,2005
13109,1992,2005
13110,1992,2005
13111,1993,2005
13112,1993,2005
13158,1970,2012
13164,1992,2005
13167,1992,2005
13170,1992,2005
13178,1992,2005
13181,1992,2005
13184,1992,2005
13185,1993,2005
13186,1993,2005
13188,1992,2005
13189,1992,2005
13190,1992,2005
13191,1992,2005
13192,1992,2005
13193,1992,2005
13194,1993,2005
13195,1993,2005
13205,1974,2013
13206,1974,2013
13208,1974,2013
13233,1975,2005
13242,1990,2013
13243,1990,2013
13246,1990,2013
13247,1990,2013
13248,1990,2013
13249,1990,2013
13250,1990,2013
13251,1990,2013
13252,1990,2013
13255,1990,2013
13256,1990,2013
13257,1971,2010
13258,1971,2013
13259,1971,2010
13260,1971,2013
13261,1971,2013
13266,1980,2016
13277,1974,2013
13286,1974,2013
13291,1974,2013
13296,1974,2013
13299,1970,2012
13307,1970,2012
13316,1971,1989
13317,1971,1989
13321,1971,1989
13324,1971,1989
13327,1971,1989
13328,1971,1989
13330,1971,1989
13347,1975,2005
13349,1985,2005
13351,1975,2005
13352,1975,2005
13362,1994,1995
13365,1994,1995
13371,1975,2005
13372,2000,2011
13373,1975,2005
13375,1975,2005
13376,1975,2005
13379,1975,2005
13382,1984,2000
13383,1994,1995
13386,1975,2005
13388,1975,2005
13395,1994,1995
13400,1975,2005
13401,1975,2005
13405,1985,1989
13407,1975,2005
13422,1995,1997
13426,1975,2005
13522,1970,2016
13523,1970,2016
13530,1970,2014
13535,1970,2016
13537,1971,2016
13539,1970,2016
13550,1970,2016
13564,1970,2016
13584,1970,2016
13586,1970,2016
13594,1970,2016
13615,1970,2016
13622,1970,2016
13626,1970,2016
13630,1970,2016
13651,1974,2016
13652,1970,2016
13698,1970,2012
13699,1970,2014
13700,1970,2014
13701,1970,2014
13702,1974,2014
13703,1974,2014
13704,1970,2014
13705,1970,2014
13706,1970,2014
13707,1970,2014
13708,1973,2014
13709,1970,2014
13710,1980,2014
13711,1970,2014
13730,1970,2012
13731,1970,2014
13732,1970,2014
13733,1970,2014
13751,1970,2012
13752,1970,2014
13768,1970,2014
13769,1974,2014
13770,1974,2014
13771,1970,2014
13772,1973,2014
13776,1970,2014
13777,1970,2014
13778,1970,2014
13783,1970,2012
13784,1970,2014
13785,1970,2014
13787,1970,2012
13788,1970,2014
13793,1970,2014
13794,1970,2014
13795,1970,2014
13796,1970,2014
13797,1970,2014
13798,1970,2014
13799,1970,2014
13800,1970,2014
13814,1970,2012
13815,1976,2014
13850,1970,2014
13890,1970,2012
13891,1971,2012
13892,1970,2014
13893,1970,2014
13894,1989,2014
13895,1970,2014
13896,1970,2014
13908,1970,2014
13909,1970,2014
14084,1989,2014
14085,1970,2014
14086,1970,2012
14087,1970,2014
14088,1970,2014
14089,1970,2014
14090,1974,2014
14091,1970,2014
14092,1970,2014
14093,1970,2014
14094,1970,2014
14095,1973,2014
14100,1970,2014
14101,1970,2014
14102,1977,2014
14103,1970,2014
14104,1970,2014
14105,1972,2014
14106,1970,2014
14107,1970,2014
14108,1970,2014
14109,1979,2014
14110,1970,2014
14111,1970,2014
14112,1973,2014
14134,1970,2012
14135,1970,2014
14136,1970,2014
14137,1970,2014
14138,1976,2014
14139,1970,2014
14144,1970,2012
14145,1970,2014
14146,1970,2014
14154,1971,2014
14155,1970,2014
14156,1975,2014
14157,1975,2014
14158,1970,2012
14159,1970,2014
14160,1973,2014
14199,1970,2012
14200,1970,2014
14201,1970,2014
14202,1970,2014
14203,1970,2014
14204,1970,2014
14215,1970,2014
14242,1970,2012
14250,1970,2014
14251,1973,2012
14252,1970,2014
14294,1970,2012
14295,1974,2012
14296,1970,2014
14297,1970,2014
14298,1970,2014
14299,1970,2014
14300,1989,2014
14301,1970,2014
14327,1970,2014
14328,1977,2014
14329,1970,2014
14330,1970,2014
14331,1986,2014
14339,1970,2014
14435,1970,2012
14442,1970,2014
14461,1987,2014
14462,1977,2014
14463,1973,2014
14464,1970,2014
14465,1970,2014
14547,1970,2014
14548,1995,2016
14562,1970,2016
14563,1970,2014
14564,1974,2014
14565,1970,2014
14566,1970,2016
14567,1970,2014
14568,1970,2014
14569,1970,2014
14570,1970,2014
14571,1970,2014
14572,1970,2014
14573,1973,2014
14574,1970,2016
14575,1970,2014
14576,1970,2012
14577,1970,2014
14578,1970,2014
14579,1970,2014
14580,1974,2014
14581,1970,2014
14582,1970,2014
14583,1970,2014
14584,1970,2014
14585,1973,2014
14586,1970,2012
14587,1970,2014
14588,1970,2014
14589,1970,2014
14590,1970,2014
14591,1970,2014
14592,1970,2014
14593,1970,2014
14594,1970,2016
14595,1970,2014
14596,1977,2014
14597,1970,2014
14598,1973,2014
14599,1990,2016
14600,1974,2014
14601,1970,2012
14602,1970,2012
14603,1970,2012
14604,1970,2014
14605,1973,2014
14606,1970,2014
14607,1970,2014
14611,1970,2016
14612,1970,2014
14613,1970,2016
14614,1970,2014
14615,1988,2014
14616,1973,2014
14617,1970,2016
14618,1970,2012
14619,1970,2016
14620,1970,2012
14621,1970,2014
14622,1970,2014
14623,1974,2014
14624,1974,2014
14625,1970,2014
14626,1970,2014
14627,1970,2014
14628,1970,2014
14629,1982,2014
14630,1980,2012
14631,1986,2014
14632,1970,2016
14633,1970,2012
14634,1970,2014
14640,1970,2012
14641,1970,2014
14642,1970,2014
14643,1977,2014
14644,1970,2014
14645,1973,2014
14646,1970,2012
14647,1970,2014
14648,1970,2014
14649,1970,2014
14650,1974,2014
14651,1974,2014
14652,1970,2014
14653,1970,2014
14654,1970,2014
14655,1974,2012
14656,1973,2014
14666,1972,2012
14667,1970,2014
14668,1977,2014
14669,1973,2014
14670,1973,2014
14671,1974,2012
14672,1970,2014
14679,1972,2012
14680,1970,2012
14681,1973,2014
14682,1970,2016
14683,1986,2014
14702,1970,2014
14703,1971,2016
14704,1970,2016
14705,1970,2012
14706,1982,2014
14709,1970,2014
14710,1974,2012
14711,1970,2014
14714,1995,2016
14715,1970,2014
14718,1970,2012
14719,1970,2014
14720,1970,2014
14721,1970,2014
14723,1970,2014
14724,1970,2012
14725,1970,2014
14726,1990,2012
14727,1970,2012
14728,1970,2014
14729,1970,2014
14730,1970,2014
14731,1970,2014
14732,1970,2014
14733,1970,2014
14734,1970,2016
14735,1977,2014
14736,1970,2014
14737,1970,2014
14738,1971,2014
14739,1973,2014
14753,1974,2014
14766,1970,2016
14767,1970,2014
14768,1970,2014
14769,1970,2016
14770,1970,2014
14771,1970,2014
14772,1970,2014
14773,1986,2014
14801,1974,2016
14802,1972,2012
14803,1970,2014
14804,1970,2014
14805,1974,2014
14806,1970,2014
14807,1974,2014
14830,1962,2003
17785,1972,2012
17797,2000,2011
17805,2000,2011
17873,1994,2005
18053,1989,2014
18101,1975,2014
18102,1970,2014
18103,1970,2014
18104,1973,2014
18105,1970,2014
18108,1970,2014
18109,1977,2014
18110,1986,2014
18111,1970,2014
18112,1970,2014
18113,1970,2014
18114,1970,2014
18115,1970,2014
18116,1982,2014
18117,1970,2014
18118,1970,2014
18119,1983,2014
18120,1976,2014
18121,1970,2014
18122,1972,2014
18123,1982,2014
18124,1979,2014
18126,1974,2014
18127,1970,2014
18128,1970,2014
18129,1971,2014
18156,1973,2014
18158,1974,2014
18159,1989,2014
18227,1974,2014
21342,1971,2016
21349,1970,2016
