Binomial	ID	year	popvalue
Myodes_glareolus	6196	1950	58.5
Cyanistes_caeruleus	6032	1950	6
Periparus_ater	6030	1950	4
Fringilla_coelebs	6010	1950	11
Erithacus_rubecula	6003	1950	28
Macaca_sylvanus	5840	1950	1.1
Macaca_fuscata	5837	1950	200
Myodes_glareolus	5825	1950	20
Myodes_glareolus	6196	1951	23.5
Cyanistes_caeruleus	6032	1951	13
Periparus_ater	6030	1951	3
Fringilla_coelebs	6010	1951	12
Erithacus_rubecula	6003	1951	28
Macaca_sylvanus	5840	1951	1.15
Myodes_glareolus	5825	1951	1
Myodes_glareolus	6196	1952	69
Cyanistes_caeruleus	6032	1952	9
Periparus_ater	6030	1952	3
Fringilla_coelebs	6010	1952	9
Erithacus_rubecula	6003	1952	30
Macaca_sylvanus	5840	1952	1.2
Myodes_glareolus	5825	1952	6
Thalassarche_melanophris	4596	1952	50
Spatula_discors	1008	1952	191
Myodes_glareolus	6196	1953	31.5
Cyanistes_caeruleus	6032	1953	13
Periparus_ater	6030	1953	2
Fringilla_coelebs	6010	1953	9
Erithacus_rubecula	6003	1953	33
Mustela_erminea	5863	1953	0.8
Macaca_sylvanus	5840	1953	1.28
Macaca_fuscata	5837	1953	240
Myodes_glareolus	5825	1953	6
Thalassarche_melanophris	4596	1953	144
Spatula_discors	1008	1953	166
Myodes_glareolus	6196	1954	64
Cyanistes_caeruleus	6032	1954	16
Periparus_ater	6030	1954	2
Fringilla_coelebs	6010	1954	8
Erithacus_rubecula	6003	1954	30
Mustela_erminea	5863	1954	6
Macaca_sylvanus	5840	1954	1.27
Macaca_fuscata	5837	1954	300
Myodes_glareolus	5825	1954	7
Spatula_discors	1008	1954	120
Myodes_glareolus	6196	1955	36.5
Cyanistes_caeruleus	6032	1955	10
Periparus_ater	6030	1955	1
Fringilla_coelebs	6010	1955	8
Erithacus_rubecula	6003	1955	23
Mustela_erminea	5863	1955	11.2
Macaca_sylvanus	5840	1955	1.2
Macaca_fuscata	5837	1955	350
Myodes_glareolus	5825	1955	21
Arctocephalus_gazella	5306	1955	51
Branta_bernicla	4690	1955	15550
Aythya_americana	1024	1955	0.54
Mareca_strepera	1019	1955	0.65
Anas_platyrhynchos	1014	1955	8.8
Spatula_discors	1008	1955	126
Spatula_discors	1007	1955	5.4
Anas_crecca	1001	1955	2
Spatula_clypeata	999	1955	1.65
Anas_acuta	992	1955	9.8
Myodes_glareolus	6196	1956	48
Cyanistes_caeruleus	6032	1956	14
Periparus_ater	6030	1956	2
Fringilla_coelebs	6010	1956	6
Erithacus_rubecula	6003	1956	24
Mustela_erminea	5863	1956	16
Macaca_sylvanus	5840	1956	1.23
Myodes_glareolus	5825	1956	11
Branta_bernicla	4690	1956	15550
