ID,min_year,max_year
819,1978,2000
820,1978,1985
821,1968,1988
822,1950,1983
823,1968,1988
824,1967,1987
825,1967,1987
826,1983,2018
827,1993,1997
828,1970,1980
829,1950,1977
830,1975,1988
831,1975,1986
832,1973,2004
833,1974,1984
834,1978,1994
835,1980,1993
836,1989,1996
837,1989,1996
838,1976,1993
839,1995,2000
840,1980,1987
841,1984,1990
842,1970,1995
843,1960,1995
844,1960,1995
845,1967,2000
846,1980,2002
847,1971,1996
848,1950,1993
849,1950,1993
850,1950,1993
851,1950,1993
852,1950,1994
853,1950,1993
854,1950,1994
855,1966,1993
856,1950,1994
857,1951,1995
858,1950,1994
859,1950,1992
860,1966,1994
861,1950,1993
862,1951,1995
863,1952,1995
864,1968,1993
865,1968,1993
866,1951,1995
867,1969,1991
868,1951,1995
869,1951,1994
870,1951,1995
871,1951,1995
872,1970,1995
873,1970,1990
874,1964,1990
876,1970,2003
877,1950,1983
878,1971,1977
879,1982,2018
880,1968,1991
881,1971,1995
882,1979,1995
883,1982,1995
884,1983,1994
885,1950,1993
886,1950,1993
887,1965,1991
888,1961,1988
889,1960,1988
890,1970,1988
891,1983,2000
892,1974,1991
893,1974,1988
894,1977,1991
895,1977,1990
896,1977,1991
897,1983,2000
898,1958,1980
900,1971,1992
901,1976,1988
902,1979,1994
903,1982,1992
4289,1993,2002
4290,1986,1994
4294,1975,2001
4295,1975,2001
4296,1984,2001
4297,1998,2001
4299,1970,1974
4300,1951,1993
4301,1960,1992
4302,1951,1993
4401,1974,2018
4404,1995,1998
4405,1995,1999
4406,1995,1999
4407,1997,1999
4408,1996,1999
4486,1998,2004
4488,1987,2010
4489,1993,2010
4490,1986,2010
4491,1990,2010
4492,1971,2010
4537,1998,1999
4562,1975,1976
4564,1970,1971
4566,1988,1997
4567,1993,1997
4568,1993,1997
4569,1993,1997
4570,1993,1997
4571,1984,1998
4572,1984,1998
4573,1984,1998
4574,1984,1998
4576,1954,1982
4577,1965,1988
4578,1965,1988
4579,1965,1988
4580,1951,1979
4581,1950,1979
4582,1978,1989
4583,1965,1981
4584,1965,1981
4585,1965,1981
4586,1965,1981
4630,1967,1992
4631,1967,1989
4637,1950,1995
4814,1969,1989
4815,1970,1981
4816,1975,1990
4818,1970,2000
4893,1965,1981
4990,1992,1995
4991,1992,1995
4992,1992,1995
4993,1992,1995
4994,1992,1995
4995,1992,1995
4996,1992,1995
4997,1992,1995
4998,1992,1995
4999,1992,1995
5014,1993,1995
5030,1991,1994
5031,1991,1994
5032,1991,1994
5033,1991,1994
5034,1991,1994
5035,1991,1994
5036,1991,1994
5037,1991,1994
5038,1991,1994
5039,1991,1994
5040,1991,1994
5041,1991,1994
5042,1991,1994
5043,1991,1994
5044,1991,1994
5045,1991,1994
5046,1991,1994
5047,1991,1994
5048,1991,1994
5049,1991,1994
5050,1991,1994
5051,1991,1994
5052,1991,1994
5053,1991,1994
5054,1991,1994
5055,1991,1994
5056,1991,1994
5057,1991,1994
5058,1991,1994
5059,1991,1994
5060,1991,1994
5071,1988,1990
5072,1989,1990
5073,1989,1990
5194,1979,1995
5195,1981,1995
5196,1980,1995
5197,1979,1995
5198,1979,1995
5199,1979,1995
5200,1980,1995
5201,1982,1995
5202,1982,1995
5203,1982,1995
5204,1983,1994
5205,1984,1994
5206,1984,1994
5207,1983,1995
5208,1983,1994
5209,1983,1994
5210,1983,1994
5211,1983,1994
5212,1983,1995
5213,1983,1995
5214,1983,1994
5215,1983,1994
5216,1983,1994
5217,1983,1994
5218,1983,1994
5699,1987,2006
5702,1987,2006
5703,1987,2006
5704,1987,2006
5705,1987,2006
5707,1992,2017
5709,1992,2017
5713,1992,2017
5714,1992,2017
5715,1992,2017
5717,1996,2006
5718,2001,2006
5719,2001,2006
5720,2001,2006
5721,2001,2006
5722,2004,2006
5723,2002,2005
