population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1077,1,-0.0293541974271432,-0.0293541974271432,-0.0293541974271432,-0.0293541974271427,-0.0293541974271432,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,-0.0304757868183223,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513209,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8615,1,-0.0238312545054946,-0.0238312545054948,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054948,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054945,-0.0238312545054948,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6071,1,-0.0864569680986134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12384,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.173000182078539,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4343,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4344,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12412,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.00432137378264,-2.00432137378264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11984,1,-0.0267941602332993,-0.0267941602332993,-0.0267941602332997,-0.0267941602332993,-0.0267941602332993,-0.0267941602332993,-0.0267941602332993,-0.0267941602332997,-0.0267941602332993,-0.0267941602332993,-0.00344439795670493,-0.00344439795670493,-0.00344439795670448,-0.00344439795670493,-0.00344439795670537,-0.00344439795670448,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670448,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,0.334030255766907,0.097615609397065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12935,1,-1,-1,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887998,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887998,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887998,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887993,0.0100343331887998,0.0100343331887993,0.0100343331887993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4342,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.755506292985746,0.598329001925545,0.298070381868306,-0.0608797500601053,-0.363874813454466,-0.53023470774868,-0.55301199918741,-0.495182464808522,-0.441903904643099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
