Binomial	ID	year	popvalue
Trichechus_manatus	1075	1968	38
Trichechus_manatus	1076	1970	11
Castor_canadensis	17854	1971	0.3
Castor_canadensis	18004	1973	2538
Castor_canadensis	17965	1975	3.4
Castor_canadensis	18004	1976	3282
Castor_canadensis	18004	1977	3312
Trichechus_manatus	1076	1979	25
Castor_canadensis	18004	1979	3316
Trichechus_manatus	1076	1980	34
Castor_canadensis	17854	1980	0.9
Castor_canadensis	18004	1980	3333
Castor_canadensis	18004	1981	3142
Trichechus_manatus	1075	1982	114
Castor_canadensis	18004	1982	3316
Lontra_canadensis	4561	1983	50
Castor_canadensis	18004	1983	3967
Lontra_canadensis	4561	1984	36
Trichechus_manatus	1076	1985	50
Castor_canadensis	18004	1986	2606
Lontra_canadensis	4843	1987	2.75
Castor_canadensis	17965	1987	3.1
Castor_canadensis	18004	1987	2398
Lontra_canadensis	4843	1988	1.5
Castor_canadensis	17784	1988	2.3
Castor_canadensis	18004	1988	2237
Lontra_canadensis	4843	1989	2.3
Castor_canadensis	17784	1989	2
Lontra_canadensis	4843	1990	2
Castor_canadensis	17784	1990	2.2
Castor_canadensis	18004	1990	3189
Lontra_canadensis	4843	1991	2.1
Trichechus_manatus	6364	1991	617
Trichechus_manatus	6365	1991	749
Castor_canadensis	17784	1991	1.9
Castor_canadensis	17854	1991	3
Lontra_canadensis	4843	1992	2.4
Castor_canadensis	4849	1992	40300
Castor_canadensis	4850	1992	40800
Castor_canadensis	4851	1992	27000
Castor_canadensis	17784	1992	1.8
Castor_canadensis	18004	1992	3367
Lontra_canadensis	4843	1993	3
Castor_canadensis	17784	1993	1.8
Lontra_canadensis	4843	1994	2.5
Castor_canadensis	17784	1994	1.2
Lontra_canadensis	4843	1995	2.5
Castor_canadensis	4849	1995	51800
Castor_canadensis	4850	1995	43100
Castor_canadensis	4851	1995	31700
Trichechus_manatus	6364	1995	842.5
Trichechus_manatus	6365	1995	800
Castor_canadensis	17784	1995	1.3
Castor_canadensis	18004	1995	3499
Lontra_canadensis	4843	1996	4
Trichechus_manatus	6364	1996	1116.5
Trichechus_manatus	6365	1996	1340
Castor_canadensis	17784	1996	1.5
Castor_canadensis	17854	1996	1.8
Trichechus_manatus	1075	1997	284
Lontra_canadensis	4843	1997	2.5
Trichechus_manatus	6364	1997	1123.5
Trichechus_manatus	6365	1997	845.5
Castor_canadensis	17784	1997	1
Lontra_canadensis	4843	1998	2.4
Castor_canadensis	4849	1998	45000
Castor_canadensis	4850	1998	22900
Castor_canadensis	4851	1998	22700
Castor_canadensis	17784	1998	0.9
Trichechus_manatus	1076	1999	147
Lontra_canadensis	4843	1999	2
Trichechus_manatus	6364	1999	1077
Trichechus_manatus	6365	1999	876.5
Lontra_canadensis	4843	2000	2.4
Lontra_canadensis	4843	2001	1.5
Castor_canadensis	4849	2001	38900
Castor_canadensis	4850	2001	20800
Castor_canadensis	4851	2001	19900
Lontra_canadensis	4843	2002	1.5
Lontra_canadensis	4843	2003	1.25
Lontra_canadensis	4843	2004	1.5
Castor_canadensis	18004	2004	1773
Lontra_canadensis	4843	2005	1.45
Castor_canadensis	4849	2005	40800
Castor_canadensis	4850	2005	29000
Castor_canadensis	4851	2005	23300
Castor_canadensis	17965	2007	3.5
Castor_canadensis	18004	2007	1632
Castor_canadensis	17854	2010	1.1
Castor_canadensis	18004	2010	1616
Castor_canadensis	18004	2013	1684
Castor_canadensis	18004	2016	2649
