Binomial	ID	year	popvalue
Fulica_americana	10573	1960	129.97
Podilymbus_gigas	1083	1960	200
Fulica_americana	10573	1961	274.32
Oxyura_jamaicensis	1067	1961	430
Bucephala_albeola	1033	1961	6250
Aythya_valisineria	1030	1961	705420
Aythya_collaris	1026	1961	126850
Aythya_americana	1025	1961	173700
Aythya_affinis	1022	1961	257340
Mareca_strepera	1020	1961	25780
Anas_fulvigula	1012	1961	90570
Anas_platyrhynchos	1006	1961	302860
Anas_crecca	1004	1961	1150
Spatula_clypeata	1000	1961	120
Mareca_americana	997	1961	12560
Anas_acuta	993	1961	260470
Fulica_americana	10573	1962	250.83
Oxyura_jamaicensis	1067	1962	2080
Bucephala_albeola	1033	1962	3910
Aythya_valisineria	1030	1962	370250
Aythya_collaris	1026	1962	164590
Aythya_americana	1025	1962	59210
Aythya_affinis	1022	1962	236550
Mareca_strepera	1020	1962	22950
Anas_fulvigula	1012	1962	53280
Anas_platyrhynchos	1006	1962	113940
Anas_crecca	1004	1962	7140
Spatula_clypeata	1000	1962	200
Mareca_americana	997	1962	17230
Anas_acuta	993	1962	180200
Fulica_americana	10573	1963	132.35
Oxyura_jamaicensis	1067	1963	26810
Bucephala_albeola	1033	1963	6800
Aythya_valisineria	1030	1963	332340
Aythya_collaris	1026	1963	90820
Aythya_americana	1025	1963	60810
Aythya_affinis	1022	1963	268720
Mareca_strepera	1020	1963	61690
Anas_fulvigula	1012	1963	80690
Anas_platyrhynchos	1006	1963	116210
Anas_crecca	1004	1963	8540
Spatula_clypeata	1000	1963	220
Mareca_americana	997	1963	37740
Anas_acuta	993	1963	177980
Fulica_americana	10573	1964	182.55
Oxyura_jamaicensis	1067	1964	16740
Bucephala_albeola	1033	1964	4320
Aythya_valisineria	1030	1964	617090
Aythya_collaris	1026	1964	71860
Aythya_americana	1025	1964	249080
Aythya_affinis	1022	1964	196410
Mareca_strepera	1020	1964	46050
Anas_fulvigula	1012	1964	67250
Anas_platyrhynchos	1006	1964	78550
Anas_crecca	1004	1964	8260
Spatula_clypeata	1000	1964	180
Mareca_americana	997	1964	68680
Anas_acuta	993	1964	221530
Fulica_americana	10573	1965	149.46
Oxyura_jamaicensis	1067	1965	22450
Bucephala_albeola	1033	1965	6910
Aythya_valisineria	1030	1965	593510
Aythya_collaris	1026	1965	54450
Aythya_americana	1025	1965	145570
Aythya_affinis	1022	1965	326170
Mareca_strepera	1020	1965	58810
Anas_fulvigula	1012	1965	71010
Anas_platyrhynchos	1006	1965	78880
Anas_crecca	1004	1965	1500
Spatula_clypeata	1000	1965	490
Mareca_americana	997	1965	38180
Anas_acuta	993	1965	273980
Fulica_americana	10573	1966	125.84
Oxyura_jamaicensis	1067	1966	37730
Bucephala_albeola	1033	1966	6650
Aythya_valisineria	1030	1966	371390
Aythya_collaris	1026	1966	64100
Aythya_americana	1025	1966	111750
Aythya_affinis	1022	1966	188060
Mareca_strepera	1020	1966	57590
Anas_fulvigula	1012	1966	78550
Anas_platyrhynchos	1006	1966	89000
Anas_crecca	1004	1966	1290
Spatula_clypeata	1000	1966	260
Mareca_americana	997	1966	13430
Anas_acuta	993	1966	150430
Fulica_americana	10573	1967	242.63
Oxyura_jamaicensis	1067	1967	42770
Bucephala_albeola	1033	1967	5460
Aythya_valisineria	1030	1967	385040
Aythya_collaris	1026	1967	60380
Aythya_americana	1025	1967	104780
Aythya_affinis	1022	1967	204690
Mareca_strepera	1020	1967	68320
Anas_fulvigula	1012	1967	59970
Anas_platyrhynchos	1006	1967	86960
Anas_crecca	1004	1967	4380
Spatula_clypeata	1000	1967	590
Mareca_americana	997	1967	13740
Anas_acuta	993	1967	128890
Fulica_americana	10573	1968	28.63
Oxyura_jamaicensis	1067	1968	56790
Bucephala_albeola	1033	1968	6160
Aythya_valisineria	1030	1968	510260
Aythya_collaris	1026	1968	55730
Aythya_americana	1025	1968	139790
Aythya_affinis	1022	1968	257960
Mareca_strepera	1020	1968	65090
Anas_fulvigula	1012	1968	65450
Anas_platyrhynchos	1006	1968	95010
Spatula_clypeata	1000	1968	680
Mareca_americana	997	1968	13270
Anas_acuta	993	1968	173400
Fulica_americana	10573	1969	51.2
Oxyura_jamaicensis	1067	1969	70630
Bucephala_albeola	1033	1969	6100
Aythya_valisineria	1030	1969	646670
