ID,min_year,max_year
993,1961,2000
997,1961,2000
1000,1961,2000
1004,1961,2000
1006,1961,2000
1012,1961,2000
1015,1970,2000
1020,1961,2000
1022,1961,2000
1025,1961,2000
1026,1961,2000
1030,1961,2000
1033,1961,2000
1067,1961,2000
1079,1985,1997
1080,1997,1998
1081,1997,1998
1082,1977,1995
1083,1960,1991
1084,1974,1993
4701,1996,1997
4731,1997,1998
4732,1997,1998
5227,1986,2004
5228,1986,2004
5229,1986,2004
5230,1986,2004
5231,1986,2004
7467,1987,1997
7468,1987,1997
7474,1987,1997
7478,1987,1997
7479,1987,1997
7480,1987,1997
7481,1987,1997
7482,1987,1997
7483,1987,1997
7485,1987,1997
7486,1987,1992
7491,1987,1992
7551,1987,1997
7555,1987,1997
7618,1987,1997
7628,1992,1997
8490,1973,1991
8492,1973,1991
8736,1999,2002
8737,1999,2002
8739,1999,2002
8740,1999,2002
8741,1999,2002
8841,2004,2005
8842,2004,2005
8848,1996,2005
8851,1996,2005
8852,1996,2005
8853,1996,2005
8855,1996,2005
8856,1996,2005
8858,1996,2005
8859,1996,2005
8860,1996,2005
8862,1996,2005
8864,1996,2005
8865,1996,2005
8867,2000,2005
8868,1996,2005
8871,1999,2005
8872,1996,2005
8873,1996,2005
8876,1997,2004
8879,1999,2005
8885,1996,2005
8886,1996,2004
10500,2004,2006
10503,2004,2007
10506,2005,2007
10573,1960,2000
10575,2000,2007
12419,2005,2011
12421,2000,2002
12627,1995,2009
14958,2003,2013
14959,2003,2013
14960,2003,2013
14961,2010,2013
25508,2006,2013
25509,2006,2013
